"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Aleutian East Borough,"2019","First Quarter(p)","99","2743","-4.5","1100","-1.9","Total, all industries","02013","AK"
Aleutian West Census Area,"2019","First Quarter(p)","169","4292","0.0","1111","-2.2","Total, all industries","02016","AK"
Anchorage Borough,"2019","First Quarter(p)","8289","145742","-0.4","1159","3.6","Total, all industries","02020","AK"
Bethel Census Area,"2019","First Quarter(p)","341","6750","-1.0","879","5.8","Total, all industries","02050","AK"
Bristol Bay Borough,"2019","First Quarter(p)","126","563","4.1","966","0.2","Total, all industries","02060","AK"
Denali Borough,"2019","First Quarter(p)","145","867","-11.9","1297","-0.3","Total, all industries","02068","AK"
Dillingham Census Area,"2019","First Quarter(p)","159","2064","-14.2","898","7.3","Total, all industries","02070","AK"
Fairbanks North Star Borough,"2019","First Quarter(p)","2279","35692","-0.1","1001","2.1","Total, all industries","02090","AK"
Haines Borough,"2019","First Quarter(p)","157","740","3.5","1049","19.2","Total, all industries","02100","AK"
Hoonah-Angoon Census Area,"2019","First Quarter(p)","136","604","5.2","650","-0.5","Total, all industries","02105","AK"
Juneau Borough,"2019","First Quarter(p)","1111","16546","0.7","996","-2.1","Total, all industries","02110","AK"
Kenai Peninsula Borough,"2019","First Quarter(p)","2064","18448","2.6","971","0.9","Total, all industries","02122","AK"
Ketchikan Gateway Borough,"2019","First Quarter(p)","588","6449","-1.1","920","1.0","Total, all industries","02130","AK"
Kodiak Island Borough,"2019","First Quarter(p)","497","5926","-3.4","889","2.1","Total, all industries","02150","AK"
Kusilvak Census Area,"2019","First Quarter(p)","140","1999","-15.4","611","22.0","Total, all industries","02158","AK"
Lake and Peninsula Borough,"2019","First Quarter(p)","120","793","-2.2","639","-0.3","Total, all industries","02164","AK"
Matanuska-Susitna Borough,"2019","First Quarter(p)","2223","23256","4.0","816","4.3","Total, all industries","02170","AK"
Nome Census Area,"2019","First Quarter(p)","303","4103","6.8","918","0.8","Total, all industries","02180","AK"
North Slope Borough,"2019","First Quarter(p)","246","13062","6.1","2306","6.7","Total, all industries","02185","AK"
Northwest Arctic Borough,"2019","First Quarter(p)","167","2826","3.2","1542","6.1","Total, all industries","02188","AK"
Petersburg Census Area,"2019","First Quarter(p)","168","1277","18.2","725","-9.9","Total, all industries","02195","AK"
Prince of Wales-Hyder Census Area,"2019","First Quarter(p)","239","2169","6.2","732","-0.8","Total, all industries","02198","AK"
Sitka Borough,"2019","First Quarter(p)","361","3918","1.4","873","1.4","Total, all industries","02220","AK"
Skagway Municipality,"2019","First Quarter(p)","136","485","0.0","822","1.1","Total, all industries","02230","AK"
Southeast Fairbanks Census Area,"2019","First Quarter(p)","244","2297","-3.6","1338","4.2","Total, all industries","02240","AK"
Valdez-Cordova Census Area,"2019","First Quarter(p)","562","4113","-0.6","1197","3.5","Total, all industries","02261","AK"
Wrangell City and Borough,"2019","First Quarter(p)","93","752","-6.7","704","-3.0","Total, all industries","02275","AK"
Yakutat Borough,"2019","First Quarter(p)","41","219","-8.4","826","10.1","Total, all industries","02282","AK"
Yukon-Koyukuk Census Area,"2019","First Quarter(p)","259","2209","0.7","703","-0.4","Total, all industries","02290","AK"
 
