"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Autauga County,"2019","First Quarter(p)","884","10982","0.0","802","5.1","Total, all industries","01001","AL"
Baldwin County,"2019","First Quarter(p)","6478","75924","3.9","717","4.8","Total, all industries","01003","AL"
Barbour County,"2019","First Quarter(p)","563","8054","0.0","727","1.3","Total, all industries","01005","AL"
Bibb County,"2019","First Quarter(p)","373","4478","6.4","785","5.1","Total, all industries","01007","AL"
Blount County,"2019","First Quarter(p)","785","8711","4.9","683","-0.4","Total, all industries","01009","AL"
Bullock County,"2019","First Quarter(p)","176","2938","-2.9","673","10.3","Total, all industries","01011","AL"
Butler County,"2019","First Quarter(p)","485","6790","0.9","659","2.6","Total, all industries","01013","AL"
Calhoun County,"2019","First Quarter(p)","2564","44528","0.2","794","4.6","Total, all industries","01015","AL"
Chambers County,"2019","First Quarter(p)","616","8348","-0.2","745","4.8","Total, all industries","01017","AL"
Cherokee County,"2019","First Quarter(p)","411","5290","0.2","658","2.5","Total, all industries","01019","AL"
Chilton County,"2019","First Quarter(p)","803","9503","0.5","741","1.9","Total, all industries","01021","AL"
Choctaw County,"2019","First Quarter(p)","322","4257","18.3","1028","5.2","Total, all industries","01023","AL"
Clarke County,"2019","First Quarter(p)","663","7962","0.5","789","1.5","Total, all industries","01025","AL"
Clay County,"2019","First Quarter(p)","218","4288","1.1","661","0.5","Total, all industries","01027","AL"
Cleburne County,"2019","First Quarter(p)","229","2039","-2.7","757","-10.0","Total, all industries","01029","AL"
Coffee County,"2019","First Quarter(p)","1073","16334","3.7","655","1.4","Total, all industries","01031","AL"
Colbert County,"2019","First Quarter(p)","1330","23836","1.4","854","1.5","Total, all industries","01033","AL"
Conecuh County,"2019","First Quarter(p)","257","3409","-1.7","699","2.6","Total, all industries","01035","AL"
Coosa County,"2019","First Quarter(p)","122","1436","3.3","695","-1.0","Total, all industries","01037","AL"
Covington County,"2019","First Quarter(p)","902","12213","-0.7","693","0.0","Total, all industries","01039","AL"
Crenshaw County,"2019","First Quarter(p)","264","3723","3.3","709","7.6","Total, all industries","01041","AL"
Cullman County,"2019","First Quarter(p)","1878","29047","0.2","739","2.8","Total, all industries","01043","AL"
Dale County,"2019","First Quarter(p)","870","17141","2.1","1069","1.8","Total, all industries","01045","AL"
Dallas County,"2019","First Quarter(p)","846","12306","-1.5","771","3.9","Total, all industries","01047","AL"
DeKalb County,"2019","First Quarter(p)","1212","22399","3.3","708","2.2","Total, all industries","01049","AL"
Elmore County,"2019","First Quarter(p)","1420","19847","-0.1","704","4.5","Total, all industries","01051","AL"
Escambia County,"2019","First Quarter(p)","841","12811","-0.4","770","3.4","Total, all industries","01053","AL"
Etowah County,"2019","First Quarter(p)","2106","35723","-1.5","711","2.7","Total, all industries","01055","AL"
Fayette County,"2019","First Quarter(p)","351","4059","-1.0","636","1.1","Total, all industries","01057","AL"
Franklin County,"2019","First Quarter(p)","595","10973","2.5","694","-1.1","Total, all industries","01059","AL"
Geneva County,"2019","First Quarter(p)","501","4994","2.0","613","-0.3","Total, all industries","01061","AL"
Greene County,"2019","First Quarter(p)","161","1751","-2.2","647","3.7","Total, all industries","01063","AL"
Hale County,"2019","First Quarter(p)","284","2669","-3.0","706","3.5","Total, all industries","01065","AL"
Henry County,"2019","First Quarter(p)","343","3373","2.1","783","6.4","Total, all industries","01067","AL"
Houston County,"2019","First Quarter(p)","3009","48833","2.0","836","1.5","Total, all industries","01069","AL"
Jackson County,"2019","First Quarter(p)","1006","15733","-1.0","687","1.3","Total, all industries","01071","AL"
Jefferson County,"2019","First Quarter(p)","19209","352118","1.4","1150","1.0","Total, all industries","01073","AL"
Lamar County,"2019","First Quarter(p)","280","3414","-1.5","778","3.5","Total, all industries","01075","AL"
Lauderdale County,"2019","First Quarter(p)","2125","29825","-0.1","674","2.1","Total, all industries","01077","AL"
Lawrence County,"2019","First Quarter(p)","474","5090","5.4","670","1.5","Total, all industries","01079","AL"
Lee County,"2019","First Quarter(p)","3281","59199","1.8","773","3.9","Total, all industries","01081","AL"
Limestone County,"2019","First Quarter(p)","1482","25479","5.1","917","-0.8","Total, all industries","01083","AL"
Lowndes County,"2019","First Quarter(p)","179","2297","-2.3","907","6.6","Total, all industries","01085","AL"
Macon County,"2019","First Quarter(p)","238","4513","-5.1","830","3.9","Total, all industries","01087","AL"
Madison County,"2019","First Quarter(p)","9933","203130","2.6","1206","4.8","Total, all industries","01089","AL"
Marengo County,"2019","First Quarter(p)","530","7348","2.7","812","2.1","Total, all industries","01091","AL"
Marion County,"2019","First Quarter(p)","632","9959","-0.4","674","-0.3","Total, all industries","01093","AL"
Marshall County,"2019","First Quarter(p)","2136","37470","2.8","717","4.2","Total, all industries","01095","AL"
Mobile County,"2019","First Quarter(p)","10347","171167","0.8","916","1.6","Total, all industries","01097","AL"
Monroe County,"2019","First Quarter(p)","454","6111","-0.1","866","3.5","Total, all industries","01099","AL"
Montgomery County,"2019","First Quarter(p)","6427","129940","-0.3","882","1.0","Total, all industries","01101","AL"
Morgan County,"2019","First Quarter(p)","2809","49399","3.5","921","6.0","Total, all industries","01103","AL"
Perry County,"2019","First Quarter(p)","156","2100","-0.5","616","2.8","Total, all industries","01105","AL"
Pickens County,"2019","First Quarter(p)","341","3797","-0.8","735","0.3","Total, all industries","01107","AL"
Pike County,"2019","First Quarter(p)","727","14164","-1.1","769","1.6","Total, all industries","01109","AL"
Randolph County,"2019","First Quarter(p)","404","4752","-1.0","645","1.3","Total, all industries","01111","AL"
Russell County,"2019","First Quarter(p)","920","14350","1.3","751","2.7","Total, all industries","01113","AL"
St. Clair County,"2019","First Quarter(p)","1538","19863","0.5","753","3.0","Total, all industries","01115","AL"
Shelby County,"2019","First Quarter(p)","5943","84826","0.1","1147","4.2","Total, all industries","01117","AL"
Sumter County,"2019","First Quarter(p)","243","2936","-0.8","737","-0.7","Total, all industries","01119","AL"
Talladega County,"2019","First Quarter(p)","1405","30120","1.9","858","1.2","Total, all industries","01121","AL"
Tallapoosa County,"2019","First Quarter(p)","854","13369","2.9","645","3.7","Total, all industries","01123","AL"
Tuscaloosa County,"2019","First Quarter(p)","4624","95953","2.4","900","2.5","Total, all industries","01125","AL"
Walker County,"2019","First Quarter(p)","1411","18771","3.3","771","2.3","Total, all industries","01127","AL"
Washington County,"2019","First Quarter(p)","272","3648","1.1","1312","2.3","Total, all industries","01129","AL"
Wilcox County,"2019","First Quarter(p)","244","2731","-1.8","905","0.0","Total, all industries","01131","AL"
Winston County,"2019","First Quarter(p)","495","7955","0.9","721","3.1","Total, all industries","01133","AL"
 
