"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Arkansas County,"2019","First Quarter(p)","830","10204","6.0","746","-0.1","Total, all industries","05001","AR"
Ashley County,"2019","First Quarter(p)","576","6585","-0.7","872","2.7","Total, all industries","05003","AR"
Baxter County,"2019","First Quarter(p)","1253","14751","-1.4","678","2.4","Total, all industries","05005","AR"
Benton County,"2019","First Quarter(p)","6767","121373","1.4","1496","-0.3","Total, all industries","05007","AR"
Boone County,"2019","First Quarter(p)","982","14302","1.5","720","1.0","Total, all industries","05009","AR"
Bradley County,"2019","First Quarter(p)","371","3877","0.7","682","6.2","Total, all industries","05011","AR"
Calhoun County,"2019","First Quarter(p)","108","3039","2.5","1194","6.1","Total, all industries","05013","AR"
Carroll County,"2019","First Quarter(p)","801","10501","0.5","589","1.2","Total, all industries","05015","AR"
Chicot County,"2019","First Quarter(p)","501","2972","-2.1","613","2.3","Total, all industries","05017","AR"
Clark County,"2019","First Quarter(p)","676","9450","0.4","688","2.2","Total, all industries","05019","AR"
Clay County,"2019","First Quarter(p)","381","3138","-5.1","565","3.9","Total, all industries","05021","AR"
Cleburne County,"2019","First Quarter(p)","656","6366","-0.1","623","1.1","Total, all industries","05023","AR"
Cleveland County,"2019","First Quarter(p)","133","1106","5.0","569","-5.8","Total, all industries","05025","AR"
Columbia County,"2019","First Quarter(p)","710","8135","2.8","781","0.3","Total, all industries","05027","AR"
Conway County,"2019","First Quarter(p)","538","6471","1.6","749","-0.5","Total, all industries","05029","AR"
Craighead County,"2019","First Quarter(p)","2863","51720","1.7","780","4.0","Total, all industries","05031","AR"
Crawford County,"2019","First Quarter(p)","1274","19688","0.2","704","3.7","Total, all industries","05033","AR"
Crittenden County,"2019","First Quarter(p)","1216","16207","-0.8","715","0.7","Total, all industries","05035","AR"
Cross County,"2019","First Quarter(p)","487","4771","-2.3","637","2.1","Total, all industries","05037","AR"
Dallas County,"2019","First Quarter(p)","237","2695","-0.7","649","3.8","Total, all industries","05039","AR"
Desha County,"2019","First Quarter(p)","543","4686","1.7","696","-1.4","Total, all industries","05041","AR"
Drew County,"2019","First Quarter(p)","532","6507","0.5","647","-3.1","Total, all industries","05043","AR"
