"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","11386","218688","4.6","1079","3.2","Total, all industries","08001","CO"
Alamosa County,"2019","First Quarter(p)","608","8225","0.6","743","3.3","Total, all industries","08003","CO"
Arapahoe County,"2019","First Quarter(p)","22317","328088","0.2","1442","5.0","Total, all industries","08005","CO"
Archuleta County,"2019","First Quarter(p)","584","4043","-1.1","693","4.2","Total, all industries","08007","CO"
Baca County,"2019","First Quarter(p)","114","1083","1.8","636","4.1","Total, all industries","08009","CO"
Bent County,"2019","First Quarter(p)","102","1063","-2.6","668","2.6","Total, all industries","08011","CO"
Boulder County,"2019","First Quarter(p)","15712","185211","2.2","1409","7.6","Total, all industries","08013","CO"
Broomfield County,"2019","First Quarter(p)","2870","39782","1.8","1958","9.9","Total, all industries","08014","CO"
Chaffee County,"2019","First Quarter(p)","1036","7940","3.4","715","4.2","Total, all industries","08015","CO"
Cheyenne County,"2019","First Quarter(p)","92","694","1.6","817","9.1","Total, all industries","08017","CO"
Clear Creek County,"2019","First Quarter(p)","375","3375","4.1","931","3.4","Total, all industries","08019","CO"
Conejos County,"2019","First Quarter(p)","172","1447","-0.1","601","4.7","Total, all industries","08021","CO"
Costilla County,"2019","First Quarter(p)","98","884","-0.9","618","8.6","Total, all industries","08023","CO"
Crowley County,"2019","First Quarter(p)","59","1076","-3.7","787","3.3","Total, all industries","08025","CO"
Custer County,"2019","First Quarter(p)","144","735","-4.2","634","2.3","Total, all industries","08027","CO"
Delta County,"2019","First Quarter(p)","918","8302","0.0","696","3.3","Total, all industries","08029","CO"
Denver County,"2019","First Quarter(p)","33700","518454","1.3","1533","5.1","Total, all industries","08031","CO"
Dolores County,"2019","First Quarter(p)","78","500","-2.2","696","6.3","Total, all industries","08033","CO"
Douglas County,"2019","First Quarter(p)","12376","126429","2.5","1366","1.3","Total, all industries","08035","CO"
Eagle County,"2019","First Quarter(p)","3518","35857","0.4","902","5.4","Total, all industries","08037","CO"
Elbert County,"2019","First Quarter(p)","689","3642","1.1","822","6.3","Total, all industries","08039","CO"
El Paso County,"2019","First Quarter(p)","20283","277286","1.8","1028","5.2","Total, all industries","08041","CO"
Fremont County,"2019","First Quarter(p)","937","13314","0.0","798","1.8","Total, all industries","08043","CO"
Garfield County,"2019","First Quarter(p)","2657","25724","1.8","982","2.8","Total, all industries","08045","CO"
