"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alachua County,"2019","First Quarter(p)","7620","134654","1.9","941","0.5","Total, all industries","12001","FL"
Baker County,"2019","First Quarter(p)","437","7662","-0.4","650","-2.0","Total, all industries","12003","FL"
Bay County,"2019","First Quarter(p)","5811","73525","-6.2","822","9.2","Total, all industries","12005","FL"
Bradford County,"2019","First Quarter(p)","543","6669","-2.3","705","-4.2","Total, all industries","12007","FL"
Brevard County,"2019","First Quarter(p)","16492","220804","3.1","976","3.9","Total, all industries","12009","FL"
Broward County,"2019","First Quarter(p)","71567","819244","0.9","1093","4.8","Total, all industries","12011","FL"
Calhoun County,"2019","First Quarter(p)","241","2859","-0.6","614","-1.0","Total, all industries","12013","FL"
Charlotte County,"2019","First Quarter(p)","4870","51134","4.8","761","3.3","Total, all industries","12015","FL"
Citrus County,"2019","First Quarter(p)","3216","33097","1.3","741","1.1","Total, all industries","12017","FL"
Clay County,"2019","First Quarter(p)","4626","53731","3.0","760","0.3","Total, all industries","12019","FL"
Collier County,"2019","First Quarter(p)","14923","156234","3.1","954","2.3","Total, all industries","12021","FL"
Columbia County,"2019","First Quarter(p)","1611","24578","1.0","738","0.3","Total, all industries","12023","FL"
DeSoto County,"2019","First Quarter(p)","689","9552","3.1","700","0.0","Total, all industries","12027","FL"
Dixie County,"2019","First Quarter(p)","245","2756","4.6","661","3.6","Total, all industries","12029","FL"
Duval County,"2019","First Quarter(p)","30308","519788","1.5","1125","2.8","Total, all industries","12031","FL"
Escambia County,"2019","First Quarter(p)","8364","138103","2.3","906","3.0","Total, all industries","12033","FL"
Flagler County,"2019","First Quarter(p)","2654","24117","1.1","671","2.4","Total, all industries","12035","FL"
Franklin County,"2019","First Quarter(p)","364","3249","-7.0","626","5.7","Total, all industries","12037","FL"
Gadsden County,"2019","First Quarter(p)","875","14435","8.2","713","3.2","Total, all industries","12039","FL"
Gilchrist County,"2019","First Quarter(p)","345","3529","4.3","660","4.4","Total, all industries","12041","FL"
Glades County,"2019","First Quarter(p)","184","2109","9.0","787","1.5","Total, all industries","12043","FL"
Gulf County,"2019","First Quarter(p)","413","3516","-7.3","755","5.9","Total, all industries","12045","FL"
Hamilton County,"2019","First Quarter(p)","230","3139","7.0","909","-5.7","Total, all industries","12047","FL"
Hardee County,"2019","First Quarter(p)","577","7206","-7.8","649","2.0","Total, all industries","12049","FL"
Hendry County,"2019","First Quarter(p)","913","12673","1.4","708","-10.2","Total, all industries","12051","FL"
Hernando County,"2019","First Quarter(p)","3887","45466","3.2","724","1.8","Total, all industries","12053","FL"
Highlands County,"2019","First Quarter(p)","2390","28097","-3.7","664","3.1","Total, all industries","12055","FL"
Hillsborough County,"2019","First Quarter(p)","44981","710343","3.5","1130","2.3","Total, all industries","12057","FL"
Holmes County,"2019","First Quarter(p)","368","3474","0.1","599","1.2","Total, all industries","12059","FL"
Indian River County,"2019","First Quarter(p)","5261","54792","2.6","841","4.5","Total, all industries","12061","FL"
Jackson County,"2019","First Quarter(p)","967","14628","1.3","694","1.9","Total, all industries","12063","FL"
Jefferson County,"2019","First Quarter(p)","315","2494","-3.7","668","2.0","Total, all industries","12065","FL"
Lafayette County,"2019","First Quarter(p)","132","1447","8.4","617","-4.0","Total, all industries","12067","FL"
Lake County,"2019","First Quarter(p)","8720","100891","2.4","740","3.9","Total, all industries","12069","FL"
Lee County,"2019","First Quarter(p)","23296","272536","2.4","877","2.0","Total, all industries","12071","FL"
Leon County,"2019","First Quarter(p)","8901","154152","2.1","875","1.2","Total, all industries","12073","FL"
Levy County,"2019","First Quarter(p)","975","9079","-1.3","628","2.4","Total, all industries","12075","FL"
Liberty County,"2019","First Quarter(p)","125","1899","3.3","797","4.5","Total, all industries","12077","FL"
Madison County,"2019","First Quarter(p)","382","4477","4.1","626","0.8","Total, all industries","12079","FL"
Manatee County,"2019","First Quarter(p)","11586","132247","5.4","836","1.1","Total, all industries","12081","FL"
Marion County,"2019","First Quarter(p)","8677","105335","2.2","739","2.2","Total, all industries","12083","FL"
Martin County,"2019","First Quarter(p)","6551","70276","2.5","819","2.4","Total, all industries","12085","FL"
Miami-Dade County,"2019","First Quarter(p)","101945","1164678","1.7","1129","1.9","Total, all industries","12086","FL"
Monroe County,"2019","First Quarter(p)","4605","42931","5.4","831","1.7","Total, all industries","12087","FL"
Nassau County,"2019","First Quarter(p)","2270","23749","3.1","813","2.9","Total, all industries","12089","FL"
Okaloosa County,"2019","First Quarter(p)","6724","85318","0.3","884","3.9","Total, all industries","12091","FL"
Okeechobee County,"2019","First Quarter(p)","1059","11651","-0.4","700","1.2","Total, all industries","12093","FL"
Orange County,"2019","First Quarter(p)","44517","868934","2.6","1006","2.3","Total, all industries","12095","FL"
Osceola County,"2019","First Quarter(p)","7585","99556","4.9","726","2.3","Total, all industries","12097","FL"
Palm Beach County,"2019","First Quarter(p)","58682","620663","1.3","1121","3.2","Total, all industries","12099","FL"
Pasco County,"2019","First Quarter(p)","11602","122366","2.1","759","3.4","Total, all industries","12101","FL"
Pinellas County,"2019","First Quarter(p)","34470","440106","0.9","962","1.8","Total, all industries","12103","FL"
Polk County,"2019","First Quarter(p)","14024","227601","3.7","839","1.8","Total, all industries","12105","FL"
Putnam County,"2019","First Quarter(p)","1439","16745","1.9","748","1.4","Total, all industries","12107","FL"
St. Johns County,"2019","First Quarter(p)","7839","78997","3.2","908","-4.3","Total, all industries","12109","FL"
St. Lucie County,"2019","First Quarter(p)","6810","80281","3.3","777","0.3","Total, all industries","12111","FL"
Santa Rosa County,"2019","First Quarter(p)","3699","39845","4.3","757","4.8","Total, all industries","12113","FL"
Sarasota County,"2019","First Quarter(p)","16557","175038","0.8","914","-1.0","Total, all industries","12115","FL"
Seminole County,"2019","First Quarter(p)","15562","199935","3.3","975","3.6","Total, all industries","12117","FL"
Sumter County,"2019","First Quarter(p)","1994","32311","7.5","770","-0.1","Total, all industries","12119","FL"
Suwannee County,"2019","First Quarter(p)","818","11429","0.3","684","1.3","Total, all industries","12121","FL"
Taylor County,"2019","First Quarter(p)","439","6345","-5.2","769","0.3","Total, all industries","12123","FL"
Union County,"2019","First Quarter(p)","206","3359","-1.5","737","0.0","Total, all industries","12125","FL"
Volusia County,"2019","First Quarter(p)","14818","176727","1.1","789","3.7","Total, all industries","12127","FL"
Wakulla County,"2019","First Quarter(p)","542","5935","3.1","723","3.1","Total, all industries","12129","FL"
Walton County,"2019","First Quarter(p)","2886","27241","4.4","767","6.8","Total, all industries","12131","FL"
Washington County,"2019","First Quarter(p)","473","6844","15.7","741","9.0","Total, all industries","12133","FL"
 
