"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Appling County,"2019","First Quarter(p)","510","6866","3.0","1198","4.0","Total, all industries","13001","GA"
Atkinson County,"2019","First Quarter(p)","211","2529","14.1","840","37.9","Total, all industries","13003","GA"
Bacon County,"2019","First Quarter(p)","251","3746","-1.2","681","0.7","Total, all industries","13005","GA"
Baker County,"2019","First Quarter(p)","59","420","1.0","732","-0.5","Total, all industries","13007","GA"
Baldwin County,"2019","First Quarter(p)","813","15596","-0.1","668","3.7","Total, all industries","13009","GA"
Banks County,"2019","First Quarter(p)","288","4655","3.3","633","2.4","Total, all industries","13011","GA"
Barrow County,"2019","First Quarter(p)","1220","19862","3.4","785","3.6","Total, all industries","13013","GA"
Bartow County,"2019","First Quarter(p)","2229","40235","4.8","879","2.7","Total, all industries","13015","GA"
Ben Hill County,"2019","First Quarter(p)","339","5476","-1.2","629","4.5","Total, all industries","13017","GA"
Berrien County,"2019","First Quarter(p)","265","3701","2.9","706","3.4","Total, all industries","13019","GA"
Bibb County,"2019","First Quarter(p)","4292","82843","0.2","874","2.3","Total, all industries","13021","GA"
Bleckley County,"2019","First Quarter(p)","187","2762","0.1","564","-0.7","Total, all industries","13023","GA"
Brantley County,"2019","First Quarter(p)","210","2417","1.7","646","4.5","Total, all industries","13025","GA"
Brooks County,"2019","First Quarter(p)","281","3323","8.6","718","5.9","Total, all industries","13027","GA"
Bryan County,"2019","First Quarter(p)","705","9062","4.2","680","-0.3","Total, all industries","13029","GA"
Bulloch County,"2019","First Quarter(p)","1523","26229","1.3","681","0.4","Total, all industries","13031","GA"
Burke County,"2019","First Quarter(p)","388","13116","4.1","1967","9.6","Total, all industries","13033","GA"
Butts County,"2019","First Quarter(p)","411","7048","3.6","706","2.8","Total, all industries","13035","GA"
Calhoun County,"2019","First Quarter(p)","108","1038","-2.2","576","1.9","Total, all industries","13037","GA"
Camden County,"2019","First Quarter(p)","897","14388","1.9","835","3.7","Total, all industries","13039","GA"
Candler County,"2019","First Quarter(p)","229","3173","16.3","544","-5.9","Total, all industries","13043","GA"
Carroll County,"2019","First Quarter(p)","2141","41901","2.7","850","-5.2","Total, all industries","13045","GA"
Catoosa County,"2019","First Quarter(p)","963","15486","1.9","671","4.2","Total, all industries","13047","GA"
Charlton County,"2019","First Quarter(p)","167","1895","0.8","713","3.9","Total, all industries","13049","GA"
Chatham County,"2019","First Quarter(p)","8149","158378","1.7","935","1.5","Total, all industries","13051","GA"
Chattahoochee County,"2019","First Quarter(p)","107","2256","-3.3","864","-9.0","Total, all industries","13053","GA"
Chattooga County,"2019","First Quarter(p)","322","6057","-3.6","646","-0.6","Total, all industries","13055","GA"
Cherokee County,"2019","First Quarter(p)","5799","62523","3.1","803","3.7","Total, all industries","13057","GA"
Clarke County,"2019","First Quarter(p)","3156","70024","-1.2","906","1.1","Total, all industries","13059","GA"
Clay County,"2019","First Quarter(p)","61","685","38.9","578","4.1","Total, all industries","13061","GA"
Clayton County,"2019","First Quarter(p)","4035","121406","0.5","1388","5.0","Total, all industries","13063","GA"
Clinch County,"2019","First Quarter(p)","170","2187","0.4","698","6.6","Total, all industries","13065","GA"
Cobb County,"2019","First Quarter(p)","21847","365293","1.2","1249","2.4","Total, all industries","13067","GA"
Coffee County,"2019","First Quarter(p)","908","17599","2.7","674","0.6","Total, all industries","13069","GA"
Colquitt County,"2019","First Quarter(p)","976","14842","2.3","670","2.3","Total, all industries","13071","GA"
Columbia County,"2019","First Quarter(p)","2582","36132","6.4","740","-1.2","Total, all industries","13073","GA"
Cook County,"2019","First Quarter(p)","354","4441","4.8","604","2.0","Total, all industries","13075","GA"
Coweta County,"2019","First Quarter(p)","2650","40075","1.9","806","3.6","Total, all industries","13077","GA"
Crawford County,"2019","First Quarter(p)","128","1265","-5.6","612","-1.3","Total, all industries","13079","GA"
Crisp County,"2019","First Quarter(p)","559","8223","2.1","708","1.0","Total, all industries","13081","GA"
Dade County,"2019","First Quarter(p)","247","3998","12.9","681","-1.0","Total, all industries","13083","GA"
Dawson County,"2019","First Quarter(p)","709","9391","2.5","614","5.1","Total, all industries","13085","GA"
Decatur County,"2019","First Quarter(p)","642","8331","0.7","678","0.7","Total, all industries","13087","GA"
DeKalb County,"2019","First Quarter(p)","17727","300803","0.9","1185","1.7","Total, all industries","13089","GA"
Dodge County,"2019","First Quarter(p)","331","5076","1.3","633","2.3","Total, all industries","13091","GA"
Dooly County,"2019","First Quarter(p)","189","3698","1.7","674","-3.4","Total, all industries","13093","GA"
Dougherty County,"2019","First Quarter(p)","2296","47991","-0.1","807","2.3","Total, all industries","13095","GA"
Douglas County,"2019","First Quarter(p)","2656","44302","0.2","770","4.3","Total, all industries","13097","GA"
Early County,"2019","First Quarter(p)","261","4093","-10.4","909","9.1","Total, all industries","13099","GA"
Echols County,"2019","First Quarter(p)","50","678","-1.0","725","4.2","Total, all industries","13101","GA"
Effingham County,"2019","First Quarter(p)","801","10716","1.7","850","-7.4","Total, all industries","13103","GA"
Elbert County,"2019","First Quarter(p)","473","5713","0.2","676","2.1","Total, all industries","13105","GA"
Emanuel County,"2019","First Quarter(p)","420","6636","0.8","664","-3.6","Total, all industries","13107","GA"
Evans County,"2019","First Quarter(p)","242","4393","-1.2","600","3.8","Total, all industries","13109","GA"
Fannin County,"2019","First Quarter(p)","626","6833","7.2","657","3.5","Total, all industries","13111","GA"
Fayette County,"2019","First Quarter(p)","3607","46513","6.2","894","3.8","Total, all industries","13113","GA"
Floyd County,"2019","First Quarter(p)","2008","40096","1.3","835","2.2","Total, all industries","13115","GA"
Forsyth County,"2019","First Quarter(p)","5933","76684","2.9","958","1.5","Total, all industries","13117","GA"
Franklin County,"2019","First Quarter(p)","473","8073","3.5","720","2.1","Total, all industries","13119","GA"
Fulton County,"2019","First Quarter(p)","43632","889981","2.5","1711","2.6","Total, all industries","13121","GA"
Gilmer County,"2019","First Quarter(p)","591","6928","1.0","628","1.5","Total, all industries","13123","GA"
Glascock County,"2019","First Quarter(p)","41","416","1.0","504","4.1","Total, all industries","13125","GA"
Glynn County,"2019","First Quarter(p)","2659","38057","-1.3","852","0.5","Total, all industries","13127","GA"
Gordon County,"2019","First Quarter(p)","1045","22978","2.4","865","10.9","Total, all industries","13129","GA"
Grady County,"2019","First Quarter(p)","470","6055","-0.3","686","2.2","Total, all industries","13131","GA"
Greene County,"2019","First Quarter(p)","485","6423","3.1","755","1.8","Total, all industries","13133","GA"
Gwinnett County,"2019","First Quarter(p)","25371","357789","1.5","1078","2.6","Total, all industries","13135","GA"
Habersham County,"2019","First Quarter(p)","885","14717","1.8","729","1.8","Total, all industries","13137","GA"
Hall County,"2019","First Quarter(p)","4579","89311","2.2","889","1.3","Total, all industries","13139","GA"
Hancock County,"2019","First Quarter(p)","76","1448","-4.7","725","-1.8","Total, all industries","13141","GA"
Haralson County,"2019","First Quarter(p)","482","6906","1.4","784","-1.3","Total, all industries","13143","GA"
Harris County,"2019","First Quarter(p)","449","5511","13.9","590","-1.2","Total, all industries","13145","GA"
Hart County,"2019","First Quarter(p)","422","6850","0.5","727","2.3","Total, all industries","13147","GA"
Heard County,"2019","First Quarter(p)","146","2063","-0.1","1097","12.4","Total, all industries","13149","GA"
Henry County,"2019","First Quarter(p)","3942","63484","6.1","761","1.1","Total, all industries","13151","GA"
Houston County,"2019","First Quarter(p)","2701","62067","2.2","863","1.9","Total, all industries","13153","GA"
Irwin County,"2019","First Quarter(p)","142","1990","5.9","652","2.4","Total, all industries","13155","GA"
Jackson County,"2019","First Quarter(p)","1433","28230","5.3","745","-2.2","Total, all industries","13157","GA"
Jasper County,"2019","First Quarter(p)","189","2272","0.3","626","0.0","Total, all industries","13159","GA"
Jeff Davis County,"2019","First Quarter(p)","233","4199","-0.1","671","2.4","Total, all industries","13161","GA"
Jefferson County,"2019","First Quarter(p)","368","4750","-2.2","767","4.5","Total, all industries","13163","GA"
Jenkins County,"2019","First Quarter(p)","121","1368","-0.1","609","4.3","Total, all industries","13165","GA"
Johnson County,"2019","First Quarter(p)","137","1555","1.0","566","-1.0","Total, all industries","13167","GA"
Jones County,"2019","First Quarter(p)","350","4132","2.1","679","0.4","Total, all industries","13169","GA"
Lamar County,"2019","First Quarter(p)","258","3670","3.0","754","10.9","Total, all industries","13171","GA"
Lanier County,"2019","First Quarter(p)","114","1418","-3.8","587","2.8","Total, all industries","13173","GA"
Laurens County,"2019","First Quarter(p)","1075","18984","1.8","760","2.4","Total, all industries","13175","GA"
Lee County,"2019","First Quarter(p)","470","6638","6.7","687","1.2","Total, all industries","13177","GA"
Liberty County,"2019","First Quarter(p)","872","19082","1.4","811","4.5","Total, all industries","13179","GA"
Lincoln County,"2019","First Quarter(p)","148","1217","-4.3","592","1.9","Total, all industries","13181","GA"
Long County,"2019","First Quarter(p)","70","990","1.0","796","35.8","Total, all industries","13183","GA"
Lowndes County,"2019","First Quarter(p)","2802","48650","-1.3","706","-0.1","Total, all industries","13185","GA"
Lumpkin County,"2019","First Quarter(p)","537","7527","0.5","714","4.5","Total, all industries","13187","GA"
McDuffie County,"2019","First Quarter(p)","427","6839","0.1","690","3.4","Total, all industries","13189","GA"
McIntosh County,"2019","First Quarter(p)","190","1784","2.4","648","9.6","Total, all industries","13191","GA"
Macon County,"2019","First Quarter(p)","195","2755","-0.9","874","10.5","Total, all industries","13193","GA"
Madison County,"2019","First Quarter(p)","362","3329","3.2","666","2.8","Total, all industries","13195","GA"
Marion County,"2019","First Quarter(p)","88","1099","-8.7","605","-1.6","Total, all industries","13197","GA"
Meriwether County,"2019","First Quarter(p)","339","4412","-5.6","734","4.0","Total, all industries","13199","GA"
Miller County,"2019","First Quarter(p)","157","1683","-1.9","714","7.4","Total, all industries","13201","GA"
Mitchell County,"2019","First Quarter(p)","438","6777","1.6","619","0.0","Total, all industries","13205","GA"
Monroe County,"2019","First Quarter(p)","523","7768","2.1","878","5.5","Total, all industries","13207","GA"
Montgomery County,"2019","First Quarter(p)","134","1617","4.5","608","0.2","Total, all industries","13209","GA"
Morgan County,"2019","First Quarter(p)","508","7101","-1.1","721","1.7","Total, all industries","13211","GA"
Murray County,"2019","First Quarter(p)","443","8602","-4.3","681","-2.4","Total, all industries","13213","GA"
Muscogee County,"2019","First Quarter(p)","4519","95114","1.0","955","-0.4","Total, all industries","13215","GA"
Newton County,"2019","First Quarter(p)","1569","25461","1.5","821","-0.7","Total, all industries","13217","GA"
Oconee County,"2019","First Quarter(p)","1125","13485","5.0","795","1.7","Total, all industries","13219","GA"
Oglethorpe County,"2019","First Quarter(p)","199","1696","2.4","652","5.0","Total, all industries","13221","GA"
Paulding County,"2019","First Quarter(p)","2129","24981","5.7","721","3.1","Total, all industries","13223","GA"
Peach County,"2019","First Quarter(p)","540","10203","3.8","701","0.6","Total, all industries","13225","GA"
Pickens County,"2019","First Quarter(p)","741","8001","1.5","869","-1.4","Total, all industries","13227","GA"
Pierce County,"2019","First Quarter(p)","351","4137","1.3","663","1.2","Total, all industries","13229","GA"
Pike County,"2019","First Quarter(p)","273","2995","0.9","673","0.1","Total, all industries","13231","GA"
Polk County,"2019","First Quarter(p)","644","11213","-0.9","731","0.6","Total, all industries","13233","GA"
Pulaski County,"2019","First Quarter(p)","204","2689","0.0","725","-4.9","Total, all industries","13235","GA"
Putnam County,"2019","First Quarter(p)","446","5635","-1.8","659","3.6","Total, all industries","13237","GA"
Quitman County,"2019","First Quarter(p)","38","365","-5.4","649","4.7","Total, all industries","13239","GA"
Rabun County,"2019","First Quarter(p)","490","5121","3.7","597","0.3","Total, all industries","13241","GA"
Randolph County,"2019","First Quarter(p)","167","1981","6.9","626","1.8","Total, all industries","13243","GA"
Richmond County,"2019","First Quarter(p)","4448","105102","-0.9","906","4.9","Total, all industries","13245","GA"
Rockdale County,"2019","First Quarter(p)","1996","32388","-0.2","898","2.2","Total, all industries","13247","GA"
Schley County,"2019","First Quarter(p)","58","1003","1.9","676","2.0","Total, all industries","13249","GA"
Screven County,"2019","First Quarter(p)","250","3182","-5.7","674","4.0","Total, all industries","13251","GA"
Seminole County,"2019","First Quarter(p)","207","2316","-2.9","656","1.4","Total, all industries","13253","GA"
Spalding County,"2019","First Quarter(p)","1188","22330","0.0","765","4.1","Total, all industries","13255","GA"
Stephens County,"2019","First Quarter(p)","556","9046","-1.3","759","1.1","Total, all industries","13257","GA"
Stewart County,"2019","First Quarter(p)","87","1360","1.8","892","8.8","Total, all industries","13259","GA"
Sumter County,"2019","First Quarter(p)","656","10755","-1.1","772","2.3","Total, all industries","13261","GA"
Talbot County,"2019","First Quarter(p)","82","795","6.4","700","9.4","Total, all industries","13263","GA"
Taliaferro County,"2019","First Quarter(p)","22","220","-12.4","613","6.4","Total, all industries","13265","GA"
Tattnall County,"2019","First Quarter(p)","331","5809","-1.2","695","4.4","Total, all industries","13267","GA"
Taylor County,"2019","First Quarter(p)","147","1767","6.8","726","7.4","Total, all industries","13269","GA"
Telfair County,"2019","First Quarter(p)","214","2896","-8.0","631","5.5","Total, all industries","13271","GA"
Terrell County,"2019","First Quarter(p)","206","2090","-10.9","626","-1.9","Total, all industries","13273","GA"
Thomas County,"2019","First Quarter(p)","1415","20728","1.6","839","3.6","Total, all industries","13275","GA"
Tift County,"2019","First Quarter(p)","1057","20548","3.0","722","1.3","Total, all industries","13277","GA"
Toombs County,"2019","First Quarter(p)","676","11603","0.8","677","0.3","Total, all industries","13279","GA"
Towns County,"2019","First Quarter(p)","286","3349","3.5","609","-2.2","Total, all industries","13281","GA"
Treutlen County,"2019","First Quarter(p)","97","1127","2.7","589","-1.5","Total, all industries","13283","GA"
Troup County,"2019","First Quarter(p)","1529","39442","2.3","871","2.1","Total, all industries","13285","GA"
