"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adair County,"2019","First Quarter(p)","297","2740","-0.1","668","1.2","Total, all industries","19001","IA"
Adams County,"2019","First Quarter(p)","153","1259","4.1","723","1.4","Total, all industries","19003","IA"
Allamakee County,"2019","First Quarter(p)","476","4927","-1.0","673","-0.3","Total, all industries","19005","IA"
Appanoose County,"2019","First Quarter(p)","359","4429","0.6","696","3.9","Total, all industries","19007","IA"
Audubon County,"2019","First Quarter(p)","227","1815","6.1","694","-4.4","Total, all industries","19009","IA"
Benton County,"2019","First Quarter(p)","688","5864","1.0","749","0.3","Total, all industries","19011","IA"
Black Hawk County,"2019","First Quarter(p)","3885","74253","0.8","898","0.9","Total, all industries","19013","IA"
Boone County,"2019","First Quarter(p)","734","8843","-0.9","796","1.3","Total, all industries","19015","IA"
Bremer County,"2019","First Quarter(p)","711","9778","-0.8","830","-1.0","Total, all industries","19017","IA"
Buchanan County,"2019","First Quarter(p)","626","6458","0.3","735","1.0","Total, all industries","19019","IA"
Buena Vista County,"2019","First Quarter(p)","662","10935","-0.8","794","0.1","Total, all industries","19021","IA"
Butler County,"2019","First Quarter(p)","425","3262","-3.4","701","3.2","Total, all industries","19023","IA"
Calhoun County,"2019","First Quarter(p)","319","2784","-2.5","682","3.8","Total, all industries","19025","IA"
Carroll County,"2019","First Quarter(p)","985","11208","-0.1","776","4.9","Total, all industries","19027","IA"
Cass County,"2019","First Quarter(p)","553","5742","-5.3","703","-2.2","Total, all industries","19029","IA"
Cedar County,"2019","First Quarter(p)","579","5308","-1.6","755","2.0","Total, all industries","19031","IA"
Cerro Gordo County,"2019","First Quarter(p)","1684","24257","-0.1","795","1.4","Total, all industries","19033","IA"
Cherokee County,"2019","First Quarter(p)","445","4752","2.4","761","2.8","Total, all industries","19035","IA"
Chickasaw County,"2019","First Quarter(p)","437","4850","3.2","771","0.7","Total, all industries","19037","IA"
Clarke County,"2019","First Quarter(p)","238","4446","0.6","765","3.1","Total, all industries","19039","IA"
Clay County,"2019","First Quarter(p)","736","8386","0.3","779","3.9","Total, all industries","19041","IA"
Clayton County,"2019","First Quarter(p)","629","6481","-2.8","724","1.4","Total, all industries","19043","IA"
Clinton County,"2019","First Quarter(p)","1421","20048","-2.3","825","3.8","Total, all industries","19045","IA"
Crawford County,"2019","First Quarter(p)","494","6661","-2.1","832","-0.7","Total, all industries","19047","IA"
Dallas County,"2019","First Quarter(p)","2673","45524","2.8","1220","2.6","Total, all industries","19049","IA"
Davis County,"2019","First Quarter(p)","248","2029","","703","","Total, all industries","19051","IA"
Decatur County,"2019","First Quarter(p)","227","2379","0.3","623","-0.3","Total, all industries","19053","IA"
Delaware County,"2019","First Quarter(p)","581","6453","-1.3","824","1.0","Total, all industries","19055","IA"
Des Moines County,"2019","First Quarter(p)","1364","21428","-1.6","832","3.4","Total, all industries","19057","IA"
Dickinson County,"2019","First Quarter(p)","877","8760","0.7","798","4.9","Total, all industries","19059","IA"
Dubuque County,"2019","First Quarter(p)","3341","57804","-0.1","889","2.9","Total, all industries","19061","IA"
Emmet County,"2019","First Quarter(p)","338","3749","-2.3","731","-2.0","Total, all industries","19063","IA"
Fayette County,"2019","First Quarter(p)","679","6988","-2.0","690","1.3","Total, all industries","19065","IA"
Floyd County,"2019","First Quarter(p)","503","6239","2.2","847","-2.3","Total, all industries","19067","IA"
Franklin County,"2019","First Quarter(p)","380","3815","-0.7","765","1.1","Total, all industries","19069","IA"
Fremont County,"2019","First Quarter(p)","273","2125","-2.7","705","8.5","Total, all industries","19071","IA"
Greene County,"2019","First Quarter(p)","324","3309","-2.1","774","3.2","Total, all industries","19073","IA"
Grundy County,"2019","First Quarter(p)","371","3784","-3.6","817","1.2","Total, all industries","19075","IA"
Guthrie County,"2019","First Quarter(p)","372","2956","-2.0","798","-0.1","Total, all industries","19077","IA"
Hamilton County,"2019","First Quarter(p)","492","5616","-2.7","794","2.1","Total, all industries","19079","IA"
Hancock County,"2019","First Quarter(p)","372","6127","-4.9","861","2.6","Total, all industries","19081","IA"
Hardin County,"2019","First Quarter(p)","678","6808","-2.9","765","1.6","Total, all industries","19083","IA"
Harrison County,"2019","First Quarter(p)","458","3959","-2.1","723","2.8","Total, all industries","19085","IA"
Henry County,"2019","First Quarter(p)","627","9431","1.4","806","-3.0","Total, all industries","19087","IA"
Howard County,"2019","First Quarter(p)","340","4065","-1.3","706","2.2","Total, all industries","19089","IA"
Humboldt County,"2019","First Quarter(p)","360","3784","-2.9","785","-0.4","Total, all industries","19091","IA"
Ida County,"2019","First Quarter(p)","304","3795","0.9","875","-0.2","Total, all industries","19093","IA"
Iowa County,"2019","First Quarter(p)","714","10003","1.3","747","2.3","Total, all industries","19095","IA"
Jackson County,"2019","First Quarter(p)","690","6142","-1.0","661","1.4","Total, all industries","19097","IA"
Jasper County,"2019","First Quarter(p)","929","11163","0.2","746","2.8","Total, all industries","19099","IA"
Jefferson County,"2019","First Quarter(p)","787","7682","0.3","770","0.5","Total, all industries","19101","IA"
Johnson County,"2019","First Quarter(p)","4336","83170","-1.0","995","1.9","Total, all industries","19103","IA"
Jones County,"2019","First Quarter(p)","646","6038","-0.2","738","0.1","Total, all industries","19105","IA"
Keokuk County,"2019","First Quarter(p)","312","2189","1.7","712","-0.3","Total, all industries","19107","IA"
Kossuth County,"2019","First Quarter(p)","639","6636","-2.3","790","-9.1","Total, all industries","19109","IA"
Lee County,"2019","First Quarter(p)","1056","15067","-0.2","873","3.9","Total, all industries","19111","IA"
Linn County,"2019","First Quarter(p)","6987","129868","0.3","1082","4.2","Total, all industries","19113","IA"
Louisa County,"2019","First Quarter(p)","271","3791","-1.5","802","-1.7","Total, all industries","19115","IA"
Lucas County,"2019","First Quarter(p)","237","3619","5.9","829","-0.2","Total, all industries","19117","IA"
Lyon County,"2019","First Quarter(p)","511","4566","1.2","696","-0.3","Total, all industries","19119","IA"
Madison County,"2019","First Quarter(p)","501","3736","-2.0","698","0.0","Total, all industries","19121","IA"
Mahaska County,"2019","First Quarter(p)","625","7823","-0.2","884","9.8","Total, all industries","19123","IA"
Marion County,"2019","First Quarter(p)","1008","17495","2.5","977","1.9","Total, all industries","19125","IA"
Marshall County,"2019","First Quarter(p)","1024","16427","-0.9","867","2.0","Total, all industries","19127","IA"
Mills County,"2019","First Quarter(p)","395","3567","-0.8","878","1.9","Total, all industries","19129","IA"
Mitchell County,"2019","First Quarter(p)","393","4243","14.6","805","6.5","Total, all industries","19131","IA"
Monona County,"2019","First Quarter(p)","305","2570","-0.8","672","0.3","Total, all industries","19133","IA"
