"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Ada County,"2019","First Quarter(p)","17105","248654","3.1","967","2.5","Total, all industries","16001","ID"
Adams County,"2019","First Quarter(p)","182","889","-2.3","737","7.0","Total, all industries","16003","ID"
Bannock County,"2019","First Quarter(p)","2402","33812","2.1","701","0.0","Total, all industries","16005","ID"
Bear Lake County,"2019","First Quarter(p)","228","1631","4.2","566","4.4","Total, all industries","16007","ID"
Benewah County,"2019","First Quarter(p)","350","3338","0.9","779","0.8","Total, all industries","16009","ID"
Bingham County,"2019","First Quarter(p)","1140","15068","2.6","686","3.6","Total, all industries","16011","ID"
Blaine County,"2019","First Quarter(p)","1670","12689","-0.9","804","2.7","Total, all industries","16013","ID"
Boise County,"2019","First Quarter(p)","205","1789","6.4","481","9.1","Total, all industries","16015","ID"
Bonner County,"2019","First Quarter(p)","1770","13979","1.8","691","3.3","Total, all industries","16017","ID"
Bonneville County,"2019","First Quarter(p)","4087","52311","3.4","767","-1.7","Total, all industries","16019","ID"
Boundary County,"2019","First Quarter(p)","486","3434","-0.3","753","8.0","Total, all industries","16021","ID"
Butte County,"2019","First Quarter(p)","137","8039","2.6","1792","3.5","Total, all industries","16023","ID"
Camas County,"2019","First Quarter(p)","60","377","12.5","952","-5.6","Total, all industries","16025","ID"
Canyon County,"2019","First Quarter(p)","5571","69607","5.2","703","0.1","Total, all industries","16027","ID"
Caribou County,"2019","First Quarter(p)","305","3524","12.2","1039","-4.2","Total, all industries","16029","ID"
Cassia County,"2019","First Quarter(p)","951","11169","5.2","703","2.6","Total, all industries","16031","ID"
Clark County,"2019","First Quarter(p)","46","323","-16.5","879","-2.5","Total, all industries","16033","ID"
Clearwater County,"2019","First Quarter(p)","311","2489","-1.2","699","0.9","Total, all industries","16035","ID"
Custer County,"2019","First Quarter(p)","254","1250","1.9","635","3.6","Total, all industries","16037","ID"
Elmore County,"2019","First Quarter(p)","638","6928","1.1","647","1.3","Total, all industries","16039","ID"
Franklin County,"2019","First Quarter(p)","435","3548","-0.2","585","4.3","Total, all industries","16041","ID"
Fremont County,"2019","First Quarter(p)","409","2726","-0.4","684","8.7","Total, all industries","16043","ID"
Gem County,"2019","First Quarter(p)","496","3717","4.2","645","3.4","Total, all industries","16045","ID"
Gooding County,"2019","First Quarter(p)","554","5660","-3.5","748","-1.1","Total, all industries","16047","ID"
Idaho County,"2019","First Quarter(p)","584","4153","2.8","685","3.2","Total, all industries","16049","ID"
Jefferson County,"2019","First Quarter(p)","733","6816","2.4","622","3.3","Total, all industries","16051","ID"
Jerome County,"2019","First Quarter(p)","718","10353","1.3","731","2.8","Total, all industries","16053","ID"
Kootenai County,"2019","First Quarter(p)","5621","60864","1.5","762","2.7","Total, all industries","16055","ID"
Latah County,"2019","First Quarter(p)","1130","13684","0.5","695","3.0","Total, all industries","16057","ID"
Lemhi County,"2019","First Quarter(p)","382","2320","1.0","716","8.6","Total, all industries","16059","ID"
Lewis County,"2019","First Quarter(p)","205","1636","2.2","602","2.7","Total, all industries","16061","ID"
Lincoln County,"2019","First Quarter(p)","167","1623","3.0","716","8.3","Total, all industries","16063","ID"
Madison County,"2019","First Quarter(p)","1075","15512","1.3","583","1.6","Total, all industries","16065","ID"
Minidoka County,"2019","First Quarter(p)","630","8006","3.3","713","2.3","Total, all industries","16067","ID"
Nez Perce County,"2019","First Quarter(p)","1255","20682","-1.7","815","1.9","Total, all industries","16069","ID"
Oneida County,"2019","First Quarter(p)","153","1164","-6.5","530","7.7","Total, all industries","16071","ID"
Owyhee County,"2019","First Quarter(p)","305","3060","3.4","651","-2.1","Total, all industries","16073","ID"
Payette County,"2019","First Quarter(p)","629","6323","0.3","708","4.7","Total, all industries","16075","ID"
Power County,"2019","First Quarter(p)","247","3223","-1.7","774","0.5","Total, all industries","16077","ID"
Shoshone County,"2019","First Quarter(p)","423","4539","0.4","673","-6.9","Total, all industries","16079","ID"
Teton County,"2019","First Quarter(p)","583","3116","7.1","695","3.1","Total, all industries","16081","ID"
Twin Falls County,"2019","First Quarter(p)","2998","39252","1.2","685","2.2","Total, all industries","16083","ID"
Valley County,"2019","First Quarter(p)","672","4641","5.5","696","4.8","Total, all industries","16085","ID"
Washington County,"2019","First Quarter(p)","284","2623","-4.2","624","-0.5","Total, all industries","16087","ID"
 
