"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","1733","32810","-1.0","834","3.5","Total, all industries","17001","IL"
Alexander County,"2019","First Quarter(p)","98","1041","-8.5","695","-5.3","Total, all industries","17003","IL"
Bond County,"2019","First Quarter(p)","306","4587","-4.0","819","-1.4","Total, all industries","17005","IL"
Boone County,"2019","First Quarter(p)","858","18746","0.5","956","-7.7","Total, all industries","17007","IL"
Brown County,"2019","First Quarter(p)","121","4295","4.2","959","10.9","Total, all industries","17009","IL"
Bureau County,"2019","First Quarter(p)","788","11520","-0.3","792","0.8","Total, all industries","17011","IL"
Calhoun County,"2019","First Quarter(p)","96","783","1.0","490","0.4","Total, all industries","17013","IL"
Carroll County,"2019","First Quarter(p)","406","3648","-3.4","680","1.5","Total, all industries","17015","IL"
Cass County,"2019","First Quarter(p)","287","5550","3.4","729","5.5","Total, all industries","17017","IL"
Champaign County,"2019","First Quarter(p)","4126","90153","0.5","926","1.8","Total, all industries","17019","IL"
Christian County,"2019","First Quarter(p)","699","10235","2.2","786","8.7","Total, all industries","17021","IL"
Clark County,"2019","First Quarter(p)","329","4573","0.9","720","-2.0","Total, all industries","17023","IL"
Clay County,"2019","First Quarter(p)","354","5149","-3.6","723","0.3","Total, all industries","17025","IL"
Clinton County,"2019","First Quarter(p)","886","12334","1.0","710","3.8","Total, all industries","17027","IL"
Coles County,"2019","First Quarter(p)","1065","23758","0.4","777","4.4","Total, all industries","17029","IL"
Cook County,"2019","First Quarter(p)","138400","2568434","0.1","1468","3.4","Total, all industries","17031","IL"
Crawford County,"2019","First Quarter(p)","415","7313","5.0","1012","-6.6","Total, all industries","17033","IL"
Cumberland County,"2019","First Quarter(p)","210","2808","1.5","600","1.4","Total, all industries","17035","IL"
DeKalb County,"2019","First Quarter(p)","2017","36409","-2.8","848","5.3","Total, all industries","17037","IL"
DeWitt County,"2019","First Quarter(p)","377","4789","-6.8","1222","14.1","Total, all industries","17039","IL"
Douglas County,"2019","First Quarter(p)","593","7344","1.7","772","7.4","Total, all industries","17041","IL"
DuPage County,"2019","First Quarter(p)","34610","612309","0.2","1340","2.4","Total, all industries","17043","IL"
Edgar County,"2019","First Quarter(p)","365","6930","-0.7","822","1.6","Total, all industries","17045","IL"
Edwards County,"2019","First Quarter(p)","156","2310","4.8","756","-11.3","Total, all industries","17047","IL"
Effingham County,"2019","First Quarter(p)","1198","22083","0.9","769","3.8","Total, all industries","17049","IL"
Fayette County,"2019","First Quarter(p)","471","5379","3.6","685","8.9","Total, all industries","17051","IL"
Ford County,"2019","First Quarter(p)","347","4677","3.9","831","1.1","Total, all industries","17053","IL"
Franklin County,"2019","First Quarter(p)","728","8754","-0.7","722","3.9","Total, all industries","17055","IL"
Fulton County,"2019","First Quarter(p)","671","8191","1.7","677","4.6","Total, all industries","17057","IL"
Gallatin County,"2019","First Quarter(p)","130","1170","-1.9","881","5.4","Total, all industries","17059","IL"
Greene County,"2019","First Quarter(p)","233","2314","0.8","616","0.8","Total, all industries","17061","IL"
Grundy County,"2019","First Quarter(p)","1177","19564","1.1","1252","8.9","Total, all industries","17063","IL"
Hamilton County,"2019","First Quarter(p)","208","2021","1.3","850","1.0","Total, all industries","17065","IL"
Hancock County,"2019","First Quarter(p)","410","4042","-0.2","645","-2.4","Total, all industries","17067","IL"
Hardin County,"2019","First Quarter(p)","64","630","-2.6","541","-4.9","Total, all industries","17069","IL"
Henderson County,"2019","First Quarter(p)","137","1019","-3.4","527","0.0","Total, all industries","17071","IL"
Henry County,"2019","First Quarter(p)","1008","13893","2.3","748","2.9","Total, all industries","17073","IL"
Iroquois County,"2019","First Quarter(p)","719","7663","0.1","638","2.4","Total, all industries","17075","IL"
Jackson County,"2019","First Quarter(p)","1185","25120","2.5","911","1.3","Total, all industries","17077","IL"
Jasper County,"2019","First Quarter(p)","239","1996","-2.7","765","3.0","Total, all industries","17079","IL"
Jefferson County,"2019","First Quarter(p)","892","20014","-0.2","817","2.4","Total, all industries","17081","IL"
Jersey County,"2019","First Quarter(p)","400","4878","-5.4","668","4.2","Total, all industries","17083","IL"
Jo Daviess County,"2019","First Quarter(p)","726","6839","-2.0","666","-0.4","Total, all industries","17085","IL"
Johnson County,"2019","First Quarter(p)","187","2293","4.0","816","-5.1","Total, all industries","17087","IL"
Kane County,"2019","First Quarter(p)","12595","209184","-0.4","947","1.2","Total, all industries","17089","IL"
Kankakee County,"2019","First Quarter(p)","2256","44432","1.6","842","4.2","Total, all industries","17091","IL"
Kendall County,"2019","First Quarter(p)","2168","28342","0.8","839","-2.4","Total, all industries","17093","IL"
Knox County,"2019","First Quarter(p)","1032","17394","-2.2","705","2.6","Total, all industries","17095","IL"
Lake County,"2019","First Quarter(p)","20207","332103","0.5","1729","2.2","Total, all industries","17097","IL"
LaSalle County,"2019","First Quarter(p)","2524","41700","-1.7","922","3.2","Total, all industries","17099","IL"
Lawrence County,"2019","First Quarter(p)","258","4517","-0.2","823","3.9","Total, all industries","17101","IL"
Lee County,"2019","First Quarter(p)","697","12788","-2.3","905","1.7","Total, all industries","17103","IL"
Livingston County,"2019","First Quarter(p)","878","13714","3.6","894","0.6","Total, all industries","17105","IL"
