"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","713","14063","1.4","730","2.0","Total, all industries","18001","IN"
Allen County,"2019","First Quarter(p)","9032","188734","1.6","941","1.3","Total, all industries","18003","IN"
Bartholomew County,"2019","First Quarter(p)","1943","50784","0.2","1266","-0.5","Total, all industries","18005","IN"
Benton County,"2019","First Quarter(p)","223","2362","-1.1","747","-1.5","Total, all industries","18007","IN"
Blackford County,"2019","First Quarter(p)","235","3088","-6.7","678","-5.7","Total, all industries","18009","IN"
Boone County,"2019","First Quarter(p)","1840","30104","4.2","825","3.8","Total, all industries","18011","IN"
Brown County,"2019","First Quarter(p)","313","2843","2.2","507","0.6","Total, all industries","18013","IN"
Carroll County,"2019","First Quarter(p)","390","5390","3.5","694","0.7","Total, all industries","18015","IN"
Cass County,"2019","First Quarter(p)","707","14588","-1.0","703","-0.7","Total, all industries","18017","IN"
Clark County,"2019","First Quarter(p)","2592","53627","1.8","814","3.4","Total, all industries","18019","IN"
Clay County,"2019","First Quarter(p)","503","7758","0.9","668","1.2","Total, all industries","18021","IN"
Clinton County,"2019","First Quarter(p)","600","11055","2.6","779","-1.6","Total, all industries","18023","IN"
Crawford County,"2019","First Quarter(p)","159","1838","-0.7","623","4.4","Total, all industries","18025","IN"
Daviess County,"2019","First Quarter(p)","901","12300","4.3","690","1.6","Total, all industries","18027","IN"
Dearborn County,"2019","First Quarter(p)","1019","14493","7.0","738","-0.4","Total, all industries","18029","IN"
Decatur County,"2019","First Quarter(p)","663","14284","2.0","883","-1.7","Total, all industries","18031","IN"
DeKalb County,"2019","First Quarter(p)","985","22195","2.0","977","3.2","Total, all industries","18033","IN"
Delaware County,"2019","First Quarter(p)","2209","45262","0.8","792","3.8","Total, all industries","18035","IN"
Dubois County,"2019","First Quarter(p)","1290","28869","-1.1","806","0.4","Total, all industries","18037","IN"
Elkhart County,"2019","First Quarter(p)","4811","135043","-1.9","930","-7.6","Total, all industries","18039","IN"
Fayette County,"2019","First Quarter(p)","426","6341","0.5","681","0.0","Total, all industries","18041","IN"
Floyd County,"2019","First Quarter(p)","1860","30999","2.0","809","1.1","Total, all industries","18043","IN"
Fountain County,"2019","First Quarter(p)","341","4785","2.7","687","4.4","Total, all industries","18045","IN"
Franklin County,"2019","First Quarter(p)","359","4359","2.9","617","-3.6","Total, all industries","18047","IN"
Fulton County,"2019","First Quarter(p)","479","6273","1.7","701","-0.6","Total, all industries","18049","IN"
Gibson County,"2019","First Quarter(p)","745","20900","2.6","942","-1.8","Total, all industries","18051","IN"
Grant County,"2019","First Quarter(p)","1227","26904","0.1","788","-0.5","Total, all industries","18053","IN"
Greene County,"2019","First Quarter(p)","573","6471","1.7","666","-2.6","Total, all industries","18055","IN"
Hamilton County,"2019","First Quarter(p)","9762","142168","1.9","1132","0.0","Total, all industries","18057","IN"
Hancock County,"2019","First Quarter(p)","1586","25579","10.5","934","5.5","Total, all industries","18059","IN"
Harrison County,"2019","First Quarter(p)","696","10331","-0.7","711","1.1","Total, all industries","18061","IN"
Hendricks County,"2019","First Quarter(p)","3420","72659","3.5","751","2.6","Total, all industries","18063","IN"
Henry County,"2019","First Quarter(p)","831","13233","-1.6","688","-0.9","Total, all industries","18065","IN"
Howard County,"2019","First Quarter(p)","1739","38724","-0.3","1005","0.5","Total, all industries","18067","IN"
Huntington County,"2019","First Quarter(p)","884","13487","-0.6","746","-0.5","Total, all industries","18069","IN"
Jackson County,"2019","First Quarter(p)","993","21836","1.8","909","1.2","Total, all industries","18071","IN"
Jasper County,"2019","First Quarter(p)","819","11592","-0.6","773","-1.7","Total, all industries","18073","IN"
Jay County,"2019","First Quarter(p)","408","7267","-1.1","708","-0.6","Total, all industries","18075","IN"
Jefferson County,"2019","First Quarter(p)","658","12492","1.6","778","1.4","Total, all industries","18077","IN"
Jennings County,"2019","First Quarter(p)","412","7447","-0.7","732","2.7","Total, all industries","18079","IN"
Johnson County,"2019","First Quarter(p)","3411","55341","1.6","762","1.6","Total, all industries","18081","IN"
Knox County,"2019","First Quarter(p)","946","17356","0.0","758","0.8","Total, all industries","18083","IN"
Kosciusko County,"2019","First Quarter(p)","1965","39155","1.3","1041","0.6","Total, all industries","18085","IN"
Lagrange County,"2019","First Quarter(p)","922","14111","-3.0","763","-10.1","Total, all industries","18087","IN"
Lake County,"2019","First Quarter(p)","10475","186571","0.4","946","2.7","Total, all industries","18089","IN"
LaPorte County,"2019","First Quarter(p)","2301","39970","0.4","783","1.8","Total, all industries","18091","IN"
