"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adair County,"2019","First Quarter(p)","389","4461","-2.6","621","3.0","Total, all industries","21001","KY"
Allen County,"2019","First Quarter(p)","299","4569","-0.7","706","6.0","Total, all industries","21003","KY"
Anderson County,"2019","First Quarter(p)","416","4902","2.5","736","7.4","Total, all industries","21005","KY"
Ballard County,"2019","First Quarter(p)","166","1504","3.2","920","-1.5","Total, all industries","21007","KY"
Barren County,"2019","First Quarter(p)","1030","16393","-0.8","692","2.1","Total, all industries","21009","KY"
Bath County,"2019","First Quarter(p)","188","1921","4.0","722","1.5","Total, all industries","21011","KY"
Bell County,"2019","First Quarter(p)","552","8228","0.2","644","-1.1","Total, all industries","21013","KY"
Boone County,"2019","First Quarter(p)","4502","93663","2.6","922","1.9","Total, all industries","21015","KY"
Bourbon County,"2019","First Quarter(p)","532","6756","2.7","808","4.7","Total, all industries","21017","KY"
Boyd County,"2019","First Quarter(p)","1564","24115","-0.2","908","-4.2","Total, all industries","21019","KY"
Boyle County,"2019","First Quarter(p)","848","14171","0.6","758","1.2","Total, all industries","21021","KY"
Bracken County,"2019","First Quarter(p)","158","1229","-6.7","686","0.3","Total, all industries","21023","KY"
Breathitt County,"2019","First Quarter(p)","319","2934","-4.9","643","-0.3","Total, all industries","21025","KY"
Breckinridge County,"2019","First Quarter(p)","353","3421","-1.1","637","1.3","Total, all industries","21027","KY"
Bullitt County,"2019","First Quarter(p)","1325","25539","1.1","761","2.1","Total, all industries","21029","KY"
Butler County,"2019","First Quarter(p)","258","2891","0.2","708","4.4","Total, all industries","21031","KY"
Caldwell County,"2019","First Quarter(p)","340","4156","0.9","667","2.5","Total, all industries","21033","KY"
Calloway County,"2019","First Quarter(p)","1013","16544","0.0","692","3.9","Total, all industries","21035","KY"
Campbell County,"2019","First Quarter(p)","2268","30070","-0.2","859","1.1","Total, all industries","21037","KY"
Carlisle County,"2019","First Quarter(p)","126","976","-8.3","635","8.4","Total, all industries","21039","KY"
Carroll County,"2019","First Quarter(p)","311","7077","3.4","1233","5.5","Total, all industries","21041","KY"
Carter County,"2019","First Quarter(p)","548","5493","0.2","629","2.1","Total, all industries","21043","KY"
Casey County,"2019","First Quarter(p)","290","3939","1.1","578","0.3","Total, all industries","21045","KY"
Christian County,"2019","First Quarter(p)","1691","30617","-1.5","832","3.9","Total, all industries","21047","KY"
Clark County,"2019","First Quarter(p)","856","14559","-1.1","828","6.2","Total, all industries","21049","KY"
Clay County,"2019","First Quarter(p)","383","3987","1.9","664","0.0","Total, all industries","21051","KY"
Clinton County,"2019","First Quarter(p)","256","3885","1.7","565","-0.2","Total, all industries","21053","KY"
Crittenden County,"2019","First Quarter(p)","176","1952","-2.4","623","3.8","Total, all industries","21055","KY"
Cumberland County,"2019","First Quarter(p)","137","1853","3.7","686","6.5","Total, all industries","21057","KY"
Daviess County,"2019","First Quarter(p)","2880","45758","-1.6","823","1.2","Total, all industries","21059","KY"
Edmonson County,"2019","First Quarter(p)","157","1562","-2.2","631","1.1","Total, all industries","21061","KY"
Elliott County,"2019","First Quarter(p)","94","930","0.0","595","-3.7","Total, all industries","21063","KY"
Estill County,"2019","First Quarter(p)","217","2223","-7.1","665","0.5","Total, all industries","21065","KY"
Fayette County,"2019","First Quarter(p)","11211","191546","0.0","952","2.9","Total, all industries","21067","KY"
Fleming County,"2019","First Quarter(p)","321","3221","6.4","680","4.0","Total, all industries","21069","KY"
Floyd County,"2019","First Quarter(p)","948","10636","1.5","743","-1.8","Total, all industries","21071","KY"
Franklin County,"2019","First Quarter(p)","1981","30809","-0.9","854","3.4","Total, all industries","21073","KY"
Fulton County,"2019","First Quarter(p)","198","2038","1.1","598","-1.3","Total, all industries","21075","KY"
Gallatin County,"2019","First Quarter(p)","141","2478","2.8","1117","11.8","Total, all industries","21077","KY"
Garrard County,"2019","First Quarter(p)","319","2197","-2.6","675","2.1","Total, all industries","21079","KY"
Grant County,"2019","First Quarter(p)","487","4841","-0.7","803","1.5","Total, all industries","21081","KY"
Graves County,"2019","First Quarter(p)","854","11241","1.9","739","2.8","Total, all industries","21083","KY"
Grayson County,"2019","First Quarter(p)","590","7927","0.7","684","1.9","Total, all industries","21085","KY"
Green County,"2019","First Quarter(p)","186","1717","2.0","614","-5.8","Total, all industries","21087","KY"
