"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Acadia Parish,"2019","First Quarter(p)","1317","14285","-3.4","682","1.3","Total, all industries","22001","LA"
Allen Parish,"2019","First Quarter(p)","418","7643","0.6","735","-2.3","Total, all industries","22003","LA"
Ascension Parish,"2019","First Quarter(p)","3032","47501","3.3","1151","3.3","Total, all industries","22005","LA"
Assumption Parish,"2019","First Quarter(p)","311","3795","-4.7","825","1.0","Total, all industries","22007","LA"
Avoyelles Parish,"2019","First Quarter(p)","885","10373","-3.1","601","-0.2","Total, all industries","22009","LA"
Beauregard Parish,"2019","First Quarter(p)","750","7222","-9.6","871","5.1","Total, all industries","22011","LA"
Bienville Parish,"2019","First Quarter(p)","308","4227","-4.3","767","0.8","Total, all industries","22013","LA"
Bossier Parish,"2019","First Quarter(p)","3016","44402","0.3","800","3.8","Total, all industries","22015","LA"
Caddo Parish,"2019","First Quarter(p)","7370","111522","0.0","859","2.6","Total, all industries","22017","LA"
Calcasieu Parish,"2019","First Quarter(p)","5460","102496","0.4","1007","4.0","Total, all industries","22019","LA"
Caldwell Parish,"2019","First Quarter(p)","215","2265","-3.0","637","2.4","Total, all industries","22021","LA"
Cameron Parish,"2019","First Quarter(p)","164","9467","-21.9","1900","5.8","Total, all industries","22023","LA"
Catahoula Parish,"2019","First Quarter(p)","248","1933","-3.1","594","4.4","Total, all industries","22025","LA"
Claiborne Parish,"2019","First Quarter(p)","283","3417","1.1","736","4.4","Total, all industries","22027","LA"
Concordia Parish,"2019","First Quarter(p)","453","5109","-1.8","677","4.0","Total, all industries","22029","LA"
De Soto Parish,"2019","First Quarter(p)","553","6967","1.6","1044","0.7","Total, all industries","22031","LA"
East Baton Rouge Parish,"2019","First Quarter(p)","16142","267609","-0.1","1050","2.4","Total, all industries","22033","LA"
East Carroll Parish,"2019","First Quarter(p)","180","1673","-3.2","584","-2.8","Total, all industries","22035","LA"
East Feliciana Parish,"2019","First Quarter(p)","352","5189","4.1","862","5.8","Total, all industries","22037","LA"
Evangeline Parish,"2019","First Quarter(p)","634","7661","-1.5","649","-3.0","Total, all industries","22039","LA"
Franklin Parish,"2019","First Quarter(p)","436","4742","0.9","574","0.7","Total, all industries","22041","LA"
Grant Parish,"2019","First Quarter(p)","233","3368","1.3","737","-0.5","Total, all industries","22043","LA"
Iberia Parish,"2019","First Quarter(p)","1880","26326","0.3","925","2.7","Total, all industries","22045","LA"
Iberville Parish,"2019","First Quarter(p)","776","15595","-12.3","1440","0.5","Total, all industries","22047","LA"
Jackson Parish,"2019","First Quarter(p)","294","3289","-4.8","753","3.6","Total, all industries","22049","LA"
Jefferson Parish,"2019","First Quarter(p)","14237","188182","-0.4","960","2.8","Total, all industries","22051","LA"
Jefferson Davis Parish,"2019","First Quarter(p)","762","8021","-3.5","709","3.8","Total, all industries","22053","LA"
Lafayette Parish,"2019","First Quarter(p)","10001","130353","0.6","914","3.0","Total, all industries","22055","LA"
Lafourche Parish,"2019","First Quarter(p)","2039","33727","-1.2","961","0.2","Total, all industries","22057","LA"
LaSalle Parish,"2019","First Quarter(p)","445","4684","7.4","745","5.2","Total, all industries","22059","LA"
Lincoln Parish,"2019","First Quarter(p)","1305","19330","0.8","696","-0.7","Total, all industries","22061","LA"
Livingston Parish,"2019","First Quarter(p)","2351","28620","3.0","732","2.2","Total, all industries","22063","LA"
Madison Parish,"2019","First Quarter(p)","269","3061","-4.7","600","3.8","Total, all industries","22065","LA"
Morehouse Parish,"2019","First Quarter(p)","537","6560","-1.4","660","4.3","Total, all industries","22067","LA"
Natchitoches Parish,"2019","First Quarter(p)","951","13265","-3.5","692","1.2","Total, all industries","22069","LA"
Orleans Parish,"2019","First Quarter(p)","13337","197774","0.4","1064","1.2","Total, all industries","22071","LA"
Ouachita Parish,"2019","First Quarter(p)","4816","70299","-1.1","800","0.6","Total, all industries","22073","LA"
Plaquemines Parish,"2019","First Quarter(p)","775","12171","-1.3","1450","7.3","Total, all industries","22075","LA"
Pointe Coupee Parish,"2019","First Quarter(p)","491","5250","-1.4","911","11.9","Total, all industries","22077","LA"
Rapides Parish,"2019","First Quarter(p)","3717","56397","-0.8","796","3.0","Total, all industries","22079","LA"
Red River Parish,"2019","First Quarter(p)","188","2519","-7.7","725","-5.7","Total, all industries","22081","LA"
Richland Parish,"2019","First Quarter(p)","534","6453","1.0","641","3.7","Total, all industries","22083","LA"
Sabine Parish,"2019","First Quarter(p)","572","5417","3.7","687","1.0","Total, all industries","22085","LA"
St. Bernard Parish,"2019","First Quarter(p)","839","10027","-3.5","1043","3.8","Total, all industries","22087","LA"
St. Charles Parish,"2019","First Quarter(p)","1259","23031","-1.2","1525","2.4","Total, all industries","22089","LA"
St. Helena Parish,"2019","First Quarter(p)","131","1542","5.7","711","0.4","Total, all industries","22091","LA"
St. James Parish,"2019","First Quarter(p)","420","8069","0.5","1575","8.2","Total, all industries","22093","LA"
St. John the Baptist Parish,"2019","First Quarter(p)","937","14801","-1.4","1118","-8.4","Total, all industries","22095","LA"
St. Landry Parish,"2019","First Quarter(p)","1900","23708","-0.1","698","1.9","Total, all industries","22097","LA"
St. Martin Parish,"2019","First Quarter(p)","1010","11761","-2.9","822","6.2","Total, all industries","22099","LA"
St. Mary Parish,"2019","First Quarter(p)","1440","21236","-0.1","969","2.5","Total, all industries","22101","LA"
St. Tammany Parish,"2019","First Quarter(p)","8709","89287","1.6","921","3.6","Total, all industries","22103","LA"
Tangipahoa Parish,"2019","First Quarter(p)","3048","43520","0.4","685","2.7","Total, all industries","22105","LA"
Tensas Parish,"2019","First Quarter(p)","148","868","-3.0","626","1.8","Total, all industries","22107","LA"
Terrebonne Parish,"2019","First Quarter(p)","3293","49782","0.3","974","1.6","Total, all industries","22109","LA"
Union Parish,"2019","First Quarter(p)","396","5160","1.1","625","2.1","Total, all industries","22111","LA"
Vermilion Parish,"2019","First Quarter(p)","1196","12544","-1.0","747","-3.9","Total, all industries","22113","LA"
Vernon Parish,"2019","First Quarter(p)","943","12547","-1.0","767","6.5","Total, all industries","22115","LA"
Washington Parish,"2019","First Quarter(p)","806","10301","-0.7","682","3.5","Total, all industries","22117","LA"
Webster Parish,"2019","First Quarter(p)","935","11707","0.6","736","-0.7","Total, all industries","22119","LA"
West Baton Rouge Parish,"2019","First Quarter(p)","745","12840","4.9","1127","9.4","Total, all industries","22121","LA"
West Carroll Parish,"2019","First Quarter(p)","212","2020","-13.4","630","-15.4","Total, all industries","22123","LA"
West Feliciana Parish,"2019","First Quarter(p)","278","5795","7.2","1419","26.8","Total, all industries","22125","LA"
Winn Parish,"2019","First Quarter(p)","337","4441","-3.8","730","6.3","Total, all industries","22127","LA"
 
