"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Allegany County,"2019","First Quarter(p)","1564","29113","0.3","751","2.6","Total, all industries","24001","MD"
Anne Arundel County,"2019","First Quarter(p)","15384","270523","0.3","1194","3.2","Total, all industries","24003","MD"
Baltimore County,"2019","First Quarter(p)","21389","378706","0.5","1122","1.2","Total, all industries","24005","MD"
Calvert County,"2019","First Quarter(p)","1886","22805","-0.3","988","-0.3","Total, all industries","24009","MD"
Caroline County,"2019","First Quarter(p)","687","9993","2.4","831","4.8","Total, all industries","24011","MD"
Carroll County,"2019","First Quarter(p)","4546","57797","0.0","829","1.6","Total, all industries","24013","MD"
Cecil County,"2019","First Quarter(p)","1919","32984","3.7","938","3.3","Total, all industries","24015","MD"
Charles County,"2019","First Quarter(p)","2854","40363","-2.1","890","0.7","Total, all industries","24017","MD"
Dorchester County,"2019","First Quarter(p)","703","10795","3.4","775","1.6","Total, all industries","24019","MD"
Frederick County,"2019","First Quarter(p)","6477","104168","1.8","1022","2.7","Total, all industries","24021","MD"
Garrett County,"2019","First Quarter(p)","932","11831","3.0","681","2.6","Total, all industries","24023","MD"
Harford County,"2019","First Quarter(p)","5906","94167","1.0","1052","5.8","Total, all industries","24025","MD"
Howard County,"2019","First Quarter(p)","10070","170980","0.6","1389","3.2","Total, all industries","24027","MD"
Kent County,"2019","First Quarter(p)","713","7796","0.3","793","3.5","Total, all industries","24029","MD"
Montgomery County,"2019","First Quarter(p)","32913","468661","0.0","1580","-0.3","Total, all industries","24031","MD"
Prince George's County,"2019","First Quarter(p)","16315","319280","1.5","1115","0.1","Total, all industries","24033","MD"
Queen Anne's County,"2019","First Quarter(p)","1484","15117","4.6","769","1.9","Total, all industries","24035","MD"
St. Mary's County,"2019","First Quarter(p)","2187","45588","2.9","1283","2.3","Total, all industries","24037","MD"
Somerset County,"2019","First Quarter(p)","472","6715","-0.7","863","7.5","Total, all industries","24039","MD"
Talbot County,"2019","First Quarter(p)","1555","18488","-1.9","816","1.2","Total, all industries","24041","MD"
Washington County,"2019","First Quarter(p)","3487","65081","-0.5","845","0.7","Total, all industries","24043","MD"
Wicomico County,"2019","First Quarter(p)","2590","45392","0.0","829","0.7","Total, all industries","24045","MD"
Worcester County,"2019","First Quarter(p)","2216","21680","0.6","685","2.5","Total, all industries","24047","MD"
Baltimore City,"2019","First Quarter(p)","13681","341457","-0.3","1316","2.9","Total, all industries","24510","MD"
 
