"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Androscoggin County,"2019","First Quarter(p)","3089","48529","0.4","837","4.5","Total, all industries","23001","ME"
Aroostook County,"2019","First Quarter(p)","2283","26119","-1.1","757","1.7","Total, all industries","23003","ME"
Cumberland County,"2019","First Quarter(p)","13665","181757","0.7","1083","3.2","Total, all industries","23005","ME"
Franklin County,"2019","First Quarter(p)","948","10941","2.5","713","5.0","Total, all industries","23007","ME"
Hancock County,"2019","First Quarter(p)","2611","19766","0.7","787","3.6","Total, all industries","23009","ME"
Kennebec County,"2019","First Quarter(p)","3804","59175","0.4","843","4.5","Total, all industries","23011","ME"
Knox County,"2019","First Quarter(p)","1970","16648","1.1","802","4.2","Total, all industries","23013","ME"
Lincoln County,"2019","First Quarter(p)","1563","9882","1.1","745","2.5","Total, all industries","23015","ME"
Oxford County,"2019","First Quarter(p)","1541","16664","-1.0","751","5.6","Total, all industries","23017","ME"
Penobscot County,"2019","First Quarter(p)","4524","68951","0.9","840","2.9","Total, all industries","23019","ME"
Piscataquis County,"2019","First Quarter(p)","540","5330","-2.5","688","6.8","Total, all industries","23021","ME"
Sagadahoc County,"2019","First Quarter(p)","1116","15427","1.3","951","-2.3","Total, all industries","23023","ME"
Somerset County,"2019","First Quarter(p)","1407","15394","-3.1","792","-1.5","Total, all industries","23025","ME"
Waldo County,"2019","First Quarter(p)","1186","11297","0.0","863","9.5","Total, all industries","23027","ME"
Washington County,"2019","First Quarter(p)","1051","9695","0.1","705","2.0","Total, all industries","23029","ME"
York County,"2019","First Quarter(p)","6742","68989","2.0","895","1.7","Total, all industries","23031","ME"
 
