"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alcona County,"2019","First Quarter(p)","171","1707","1.4","672","-4.0","Total, all industries","26001","MI"
Alger County,"2019","First Quarter(p)","216","2283","-1.8","820","-1.3","Total, all industries","26003","MI"
Allegan County,"2019","First Quarter(p)","2212","38707","2.5","985","1.8","Total, all industries","26005","MI"
Alpena County,"2019","First Quarter(p)","781","11145","-2.3","760","-7.0","Total, all industries","26007","MI"
Antrim County,"2019","First Quarter(p)","533","4911","-0.2","661","2.3","Total, all industries","26009","MI"
Arenac County,"2019","First Quarter(p)","301","4132","-6.0","669","3.9","Total, all industries","26011","MI"
Baraga County,"2019","First Quarter(p)","200","2801","-2.9","786","4.8","Total, all industries","26013","MI"
Barry County,"2019","First Quarter(p)","865","12450","1.3","767","2.0","Total, all industries","26015","MI"
Bay County,"2019","First Quarter(p)","2036","33736","1.6","817","-2.3","Total, all industries","26017","MI"
Benzie County,"2019","First Quarter(p)","442","3976","1.7","641","-1.7","Total, all industries","26019","MI"
Berrien County,"2019","First Quarter(p)","3404","59319","-1.7","1036","1.6","Total, all industries","26021","MI"
Branch County,"2019","First Quarter(p)","782","13505","-5.3","811","2.8","Total, all industries","26023","MI"
Calhoun County,"2019","First Quarter(p)","2212","54002","-0.5","1060","-2.1","Total, all industries","26025","MI"
Cass County,"2019","First Quarter(p)","725","9172","-2.3","787","3.3","Total, all industries","26027","MI"
Charlevoix County,"2019","First Quarter(p)","787","9618","-4.3","862","-1.1","Total, all industries","26029","MI"
Cheboygan County,"2019","First Quarter(p)","751","5474","-3.2","637","-0.5","Total, all industries","26031","MI"
Chippewa County,"2019","First Quarter(p)","774","11949","-3.6","759","1.9","Total, all industries","26033","MI"
