"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Aitkin County,"2019","First Quarter(p)","454","3908","-0.5","688","-0.7","Total, all industries","27001","MN"
Anoka County,"2019","First Quarter(p)","7764","125018","2.0","998","1.5","Total, all industries","27003","MN"
Becker County,"2019","First Quarter(p)","1041","14024","1.1","740","4.5","Total, all industries","27005","MN"
Beltrami County,"2019","First Quarter(p)","1261","19819","3.0","813","2.0","Total, all industries","27007","MN"
Benton County,"2019","First Quarter(p)","1001","17198","3.1","808","1.3","Total, all industries","27009","MN"
Big Stone County,"2019","First Quarter(p)","207","1610","0.6","656","-4.9","Total, all industries","27011","MN"
Blue Earth County,"2019","First Quarter(p)","2088","39757","0.0","856","1.7","Total, all industries","27013","MN"
Brown County,"2019","First Quarter(p)","824","13528","-2.2","789","3.8","Total, all industries","27015","MN"
Carlton County,"2019","First Quarter(p)","745","13015","-1.3","869","3.8","Total, all industries","27017","MN"
Carver County,"2019","First Quarter(p)","2566","39216","0.6","1078","1.9","Total, all industries","27019","MN"
Cass County,"2019","First Quarter(p)","913","9510","0.5","623","1.3","Total, all industries","27021","MN"
Chippewa County,"2019","First Quarter(p)","439","5692","1.5","754","-2.6","Total, all industries","27023","MN"
Chisago County,"2019","First Quarter(p)","1216","15110","0.6","883","2.4","Total, all industries","27025","MN"
Clay County,"2019","First Quarter(p)","1399","18760","0.3","795","2.2","Total, all industries","27027","MN"
Clearwater County,"2019","First Quarter(p)","237","2477","-1.4","749","-1.6","Total, all industries","27029","MN"
Cook County,"2019","First Quarter(p)","320","2584","2.0","633","0.0","Total, all industries","27031","MN"
Cottonwood County,"2019","First Quarter(p)","405","5053","1.6","722","-0.7","Total, all industries","27033","MN"
Crow Wing County,"2019","First Quarter(p)","2197","28222","-0.3","780","3.2","Total, all industries","27035","MN"
Dakota County,"2019","First Quarter(p)","10601","186439","0.1","1166","3.6","Total, all industries","27037","MN"
Dodge County,"2019","First Quarter(p)","473","5942","-0.6","877","2.7","Total, all industries","27039","MN"
Douglas County,"2019","First Quarter(p)","1434","18598","2.2","839","1.0","Total, all industries","27041","MN"
Faribault County,"2019","First Quarter(p)","473","4350","1.0","752","4.0","Total, all industries","27043","MN"
Fillmore County,"2019","First Quarter(p)","700","5837","0.7","664","2.9","Total, all industries","27045","MN"
