"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adair County,"2019","First Quarter(p)","679","9953","-2.8","645","3.5","Total, all industries","29001","MO"
Andrew County,"2019","First Quarter(p)","429","2483","-1.1","602","-5.2","Total, all industries","29003","MO"
Atchison County,"2019","First Quarter(p)","231","1652","1.1","622","4.5","Total, all industries","29005","MO"
Audrain County,"2019","First Quarter(p)","630","8874","-2.2","701","1.4","Total, all industries","29007","MO"
Barry County,"2019","First Quarter(p)","907","14558","0.3","709","0.6","Total, all industries","29009","MO"
Barton County,"2019","First Quarter(p)","323","3194","-1.4","627","5.4","Total, all industries","29011","MO"
Bates County,"2019","First Quarter(p)","461","3631","1.8","610","-1.5","Total, all industries","29013","MO"
Benton County,"2019","First Quarter(p)","552","3558","-0.3","572","-5.6","Total, all industries","29015","MO"
Bollinger County,"2019","First Quarter(p)","268","1848","3.0","564","-2.9","Total, all industries","29017","MO"
Boone County,"2019","First Quarter(p)","4924","94200","0.4","855","3.3","Total, all industries","29019","MO"
Buchanan County,"2019","First Quarter(p)","2421","46531","-1.3","868","1.3","Total, all industries","29021","MO"
Butler County,"2019","First Quarter(p)","1534","17899","-2.8","664","2.3","Total, all industries","29023","MO"
Caldwell County,"2019","First Quarter(p)","214","1836","-4.5","578","3.4","Total, all industries","29025","MO"
Callaway County,"2019","First Quarter(p)","848","14698","1.5","898","4.2","Total, all industries","29027","MO"
Camden County,"2019","First Quarter(p)","1635","15547","0.4","635","2.8","Total, all industries","29029","MO"
Cape Girardeau County,"2019","First Quarter(p)","2876","41382","1.2","765","2.7","Total, all industries","29031","MO"
Carroll County,"2019","First Quarter(p)","310","2823","17.8","635","3.4","Total, all industries","29033","MO"
Carter County,"2019","First Quarter(p)","236","1491","5.1","507","1.6","Total, all industries","29035","MO"
Cass County,"2019","First Quarter(p)","2235","26754","0.3","674","-2.9","Total, all industries","29037","MO"
Cedar County,"2019","First Quarter(p)","360","3128","1.3","530","0.4","Total, all industries","29039","MO"
Chariton County,"2019","First Quarter(p)","275","1856","0.4","578","0.2","Total, all industries","29041","MO"
Christian County,"2019","First Quarter(p)","1980","17795","2.7","623","4.0","Total, all industries","29043","MO"
Clark County,"2019","First Quarter(p)","174","1441","2.6","499","3.1","Total, all industries","29045","MO"
Clay County,"2019","First Quarter(p)","5771","102665","-0.2","960","0.9","Total, all industries","29047","MO"
Clinton County,"2019","First Quarter(p)","448","4053","0.6","674","4.2","Total, all industries","29049","MO"
Cole County,"2019","First Quarter(p)","2390","52967","0.7","806","2.0","Total, all industries","29051","MO"
Cooper County,"2019","First Quarter(p)","469","4835","-3.7","628","0.8","Total, all industries","29053","MO"
Crawford County,"2019","First Quarter(p)","658","6686","1.7","689","-2.5","Total, all industries","29055","MO"
Dade County,"2019","First Quarter(p)","182","1685","-1.6","563","0.9","Total, all industries","29057","MO"
