"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","832","10390","0.1","678","4.8","Total, all industries","28001","MS"
Alcorn County,"2019","First Quarter(p)","817","14450","0.7","720","1.6","Total, all industries","28003","MS"
Amite County,"2019","First Quarter(p)","190","1857","0.8","703","7.7","Total, all industries","28005","MS"
Attala County,"2019","First Quarter(p)","398","4512","0.0","625","3.5","Total, all industries","28007","MS"
Benton County,"2019","First Quarter(p)","87","970","0.3","650","0.6","Total, all industries","28009","MS"
Bolivar County,"2019","First Quarter(p)","840","10941","-2.0","697","-0.1","Total, all industries","28011","MS"
Calhoun County,"2019","First Quarter(p)","286","3204","1.8","590","-0.7","Total, all industries","28013","MS"
Carroll County,"2019","First Quarter(p)","148","1163","1.0","588","4.3","Total, all industries","28015","MS"
Chickasaw County,"2019","First Quarter(p)","364","5358","-1.3","683","4.8","Total, all industries","28017","MS"
Choctaw County,"2019","First Quarter(p)","155","2195","6.3","957","6.9","Total, all industries","28019","MS"
Claiborne County,"2019","First Quarter(p)","134","3473","-0.7","1065","6.4","Total, all industries","28021","MS"
Clarke County,"2019","First Quarter(p)","234","2943","0.4","622","5.4","Total, all industries","28023","MS"
Clay County,"2019","First Quarter(p)","382","5268","-0.3","711","-1.4","Total, all industries","28025","MS"
Coahoma County,"2019","First Quarter(p)","613","7071","-6.2","677","2.0","Total, all industries","28027","MS"
Copiah County,"2019","First Quarter(p)","475","6731","-4.9","641","-9.8","Total, all industries","28029","MS"
Covington County,"2019","First Quarter(p)","358","5430","0.5","691","3.0","Total, all industries","28031","MS"
DeSoto County,"2019","First Quarter(p)","3137","62894","2.2","677","3.0","Total, all industries","28033","MS"
Forrest County,"2019","First Quarter(p)","1877","40961","2.0","759","0.8","Total, all industries","28035","MS"
Franklin County,"2019","First Quarter(p)","137","1569","1.6","726","4.0","Total, all industries","28037","MS"
George County,"2019","First Quarter(p)","370","4905","-0.4","640","3.9","Total, all industries","28039","MS"
Greene County,"2019","First Quarter(p)","148","1919","-1.0","623","4.0","Total, all industries","28041","MS"
Grenada County,"2019","First Quarter(p)","587","10749","-0.7","651","0.2","Total, all industries","28043","MS"
Hancock County,"2019","First Quarter(p)","880","13542","1.9","943","1.2","Total, all industries","28045","MS"
Harrison County,"2019","First Quarter(p)","4661","85500","0.5","752","-0.4","Total, all industries","28047","MS"
Hinds County,"2019","First Quarter(p)","5774","120118","-0.2","928","2.7","Total, all industries","28049","MS"
Holmes County,"2019","First Quarter(p)","292","3344","-5.8","636","3.1","Total, all industries","28051","MS"
Humphreys County,"2019","First Quarter(p)","184","2261","2.2","556","1.6","Total, all industries","28053","MS"
Issaquena County,"2019","First Quarter(p)","33","170","-7.6","501","5.5","Total, all industries","28055","MS"
Itawamba County,"2019","First Quarter(p)","358","5993","0.0","695","0.3","Total, all industries","28057","MS"
Jackson County,"2019","First Quarter(p)","2456","48226","-1.1","987","-3.3","Total, all industries","28059","MS"
Jasper County,"2019","First Quarter(p)","223","4140","5.1","772","2.1","Total, all industries","28061","MS"
Jefferson County,"2019","First Quarter(p)","68","996","-5.8","635","4.6","Total, all industries","28063","MS"
Jefferson Davis County,"2019","First Quarter(p)","163","1637","0.7","669","8.8","Total, all industries","28065","MS"
Jones County,"2019","First Quarter(p)","1366","27913","3.4","763","3.5","Total, all industries","28067","MS"
Kemper County,"2019","First Quarter(p)","130","2184","-9.4","864","-12.4","Total, all industries","28069","MS"
Lafayette County,"2019","First Quarter(p)","1348","24136","-0.4","746","2.6","Total, all industries","28071","MS"
Lamar County,"2019","First Quarter(p)","1484","19223","0.8","620","3.5","Total, all industries","28073","MS"
Lauderdale County,"2019","First Quarter(p)","1941","32775","-0.4","736","7.0","Total, all industries","28075","MS"
Lawrence County,"2019","First Quarter(p)","191","2465","0.8","917","1.0","Total, all industries","28077","MS"
Leake County,"2019","First Quarter(p)","321","5257","3.5","595","-1.2","Total, all industries","28079","MS"
Lee County,"2019","First Quarter(p)","2509","53925","1.2","791","3.0","Total, all industries","28081","MS"
Leflore County,"2019","First Quarter(p)","817","14402","-0.6","647","3.9","Total, all industries","28083","MS"
Lincoln County,"2019","First Quarter(p)","825","11989","-0.8","745","4.1","Total, all industries","28085","MS"
Lowndes County,"2019","First Quarter(p)","1561","25353","1.8","829","4.3","Total, all industries","28087","MS"
Madison County,"2019","First Quarter(p)","3483","55000","0.7","846","0.1","Total, all industries","28089","MS"
Marion County,"2019","First Quarter(p)","566","7777","-1.2","711","5.2","Total, all industries","28091","MS"
Marshall County,"2019","First Quarter(p)","468","7404","6.4","744","0.7","Total, all industries","28093","MS"
Monroe County,"2019","First Quarter(p)","631","9564","-0.9","784","2.9","Total, all industries","28095","MS"
