"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Beaverhead County,"2019","First Quarter(p)","510","3856","2.1","713","3.6","Total, all industries","30001","MT"
Big Horn County,"2019","First Quarter(p)","268","3952","-4.5","903","5.7","Total, all industries","30003","MT"
Blaine County,"2019","First Quarter(p)","192","1425","-0.3","646","-1.4","Total, all industries","30005","MT"
Broadwater County,"2019","First Quarter(p)","198","1420","-1.0","714","8.2","Total, all industries","30007","MT"
Carbon County,"2019","First Quarter(p)","484","2650","-2.3","646","1.4","Total, all industries","30009","MT"
Carter County,"2019","First Quarter(p)","49","249","-6.4","648","0.0","Total, all industries","30011","MT"
Cascade County,"2019","First Quarter(p)","2735","35167","0.3","803","3.9","Total, all industries","30013","MT"
Chouteau County,"2019","First Quarter(p)","207","1164","0.5","570","-10.8","Total, all industries","30015","MT"
Custer County,"2019","First Quarter(p)","490","5075","-2.5","729","4.0","Total, all industries","30017","MT"
Daniels County,"2019","First Quarter(p)","87","573","-1.0","760","-4.4","Total, all industries","30019","MT"
Dawson County,"2019","First Quarter(p)","378","3614","-1.7","811","2.4","Total, all industries","30021","MT"
Deer Lodge County,"2019","First Quarter(p)","281","3105","-1.6","721","2.6","Total, all industries","30023","MT"
Fallon County,"2019","First Quarter(p)","169","1271","-0.9","1095","6.2","Total, all industries","30025","MT"
Fergus County,"2019","First Quarter(p)","533","4480","1.8","721","9.2","Total, all industries","30027","MT"
Flathead County,"2019","First Quarter(p)","4780","42311","-0.2","793","0.9","Total, all industries","30029","MT"
Gallatin County,"2019","First Quarter(p)","6788","58903","4.0","847","3.5","Total, all industries","30031","MT"
Garfield County,"2019","First Quarter(p)","56","309","2.7","502","-3.8","Total, all industries","30033","MT"
Glacier County,"2019","First Quarter(p)","298","3883","-0.7","771","1.3","Total, all industries","30035","MT"
Golden Valley County,"2019","First Quarter(p)","31","193","-5.4","494","-2.6","Total, all industries","30037","MT"
Granite County,"2019","First Quarter(p)","141","974","1.9","516","-4.6","Total, all industries","30039","MT"
Hill County,"2019","First Quarter(p)","589","6718","-1.2","711","-4.9","Total, all industries","30041","MT"
Jefferson County,"2019","First Quarter(p)","369","2397","-3.3","827","2.7","Total, all industries","30043","MT"
Judith Basin County,"2019","First Quarter(p)","95","473","5.1","592","0.3","Total, all industries","30045","MT"
Lake County,"2019","First Quarter(p)","978","8670","-1.2","703","3.2","Total, all industries","30047","MT"
Lewis and Clark County,"2019","First Quarter(p)","2917","35734","1.7","907","1.2","Total, all industries","30049","MT"
