"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alamance County,"2019","First Quarter(p)","3547","62349","1.7","809","2.4","Total, all industries","37001","NC"
Alexander County,"2019","First Quarter(p)","577","9408","3.9","676","2.3","Total, all industries","37003","NC"
Alleghany County,"2019","First Quarter(p)","304","3085","1.4","615","5.1","Total, all industries","37005","NC"
Anson County,"2019","First Quarter(p)","454","7155","0.5","674","2.0","Total, all industries","37007","NC"
Ashe County,"2019","First Quarter(p)","650","7069","0.1","699","0.7","Total, all industries","37009","NC"
Avery County,"2019","First Quarter(p)","601","6326","-0.8","636","5.0","Total, all industries","37011","NC"
Beaufort County,"2019","First Quarter(p)","1197","15468","-3.3","779","2.4","Total, all industries","37013","NC"
Bertie County,"2019","First Quarter(p)","307","5748","0.6","629","1.5","Total, all industries","37015","NC"
Bladen County,"2019","First Quarter(p)","605","13294","4.3","727","-5.5","Total, all industries","37017","NC"
Brunswick County,"2019","First Quarter(p)","2938","32944","1.1","832","7.2","Total, all industries","37019","NC"
Buncombe County,"2019","First Quarter(p)","9594","134432","2.2","848","4.3","Total, all industries","37021","NC"
Burke County,"2019","First Quarter(p)","1465","29515","1.5","711","2.3","Total, all industries","37023","NC"
Cabarrus County,"2019","First Quarter(p)","4784","76207","0.6","822","3.8","Total, all industries","37025","NC"
Caldwell County,"2019","First Quarter(p)","1366","25111","-0.4","832","0.4","Total, all industries","37027","NC"
Camden County,"2019","First Quarter(p)","179","1194","-2.5","678","3.2","Total, all industries","37029","NC"
Carteret County,"2019","First Quarter(p)","2224","22861","-0.7","682","3.8","Total, all industries","37031","NC"
Caswell County,"2019","First Quarter(p)","288","3012","-3.3","689","13.3","Total, all industries","37033","NC"
Catawba County,"2019","First Quarter(p)","4466","88529","0.8","857","1.9","Total, all industries","37035","NC"
Chatham County,"2019","First Quarter(p)","1521","15229","2.8","750","4.2","Total, all industries","37037","NC"
Cherokee County,"2019","First Quarter(p)","715","8149","0.1","647","2.7","Total, all industries","37039","NC"
Chowan County,"2019","First Quarter(p)","379","4555","-2.5","688","5.4","Total, all industries","37041","NC"
Clay County,"2019","First Quarter(p)","260","2018","0.4","632","6.2","Total, all industries","37043","NC"
Cleveland County,"2019","First Quarter(p)","2015","35461","1.5","800","3.6","Total, all industries","37045","NC"
Columbus County,"2019","First Quarter(p)","1071","15116","-1.0","698","2.8","Total, all industries","37047","NC"
Craven County,"2019","First Quarter(p)","2293","39694","1.6","835","2.8","Total, all industries","37049","NC"
