"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","123","920","-2.2","818","3.2","Total, all industries","38001","ND"
Barnes County,"2019","First Quarter(p)","417","4438","-1.2","761","3.7","Total, all industries","38003","ND"
Benson County,"2019","First Quarter(p)","134","1976","1.0","750","4.7","Total, all industries","38005","ND"
Billings County,"2019","First Quarter(p)","52","320","13.1","937","3.8","Total, all industries","38007","ND"
Bottineau County,"2019","First Quarter(p)","301","2339","1.8","828","5.7","Total, all industries","38009","ND"
Bowman County,"2019","First Quarter(p)","189","1620","11.1","873","14.1","Total, all industries","38011","ND"
Burke County,"2019","First Quarter(p)","116","709","-0.7","1037","1.1","Total, all industries","38013","ND"
Burleigh County,"2019","First Quarter(p)","3821","55408","0.1","1007","1.7","Total, all industries","38015","ND"
Cass County,"2019","First Quarter(p)","7386","118090","1.7","985","1.4","Total, all industries","38017","ND"
Cavalier County,"2019","First Quarter(p)","170","1313","-5.0","779","6.4","Total, all industries","38019","ND"
Dickey County,"2019","First Quarter(p)","249","1751","-7.1","714","3.5","Total, all industries","38021","ND"
Divide County,"2019","First Quarter(p)","129","762","-2.2","1000","3.8","Total, all industries","38023","ND"
Dunn County,"2019","First Quarter(p)","200","2090","9.5","1521","1.7","Total, all industries","38025","ND"
Eddy County,"2019","First Quarter(p)","100","744","0.0","582","-1.5","Total, all industries","38027","ND"
Emmons County,"2019","First Quarter(p)","163","896","-1.3","671","7.2","Total, all industries","38029","ND"
Foster County,"2019","First Quarter(p)","160","1534","-5.2","867","-0.8","Total, all industries","38031","ND"
Golden Valley County,"2019","First Quarter(p)","89","615","-3.8","665","1.4","Total, all industries","38033","ND"
Grand Forks County,"2019","First Quarter(p)","2252","39781","-0.8","855","2.3","Total, all industries","38035","ND"
Grant County,"2019","First Quarter(p)","90","547","-0.4","647","1.7","Total, all industries","38037","ND"
Griggs County,"2019","First Quarter(p)","102","808","-2.7","695","0.9","Total, all industries","38039","ND"
Hettinger County,"2019","First Quarter(p)","134","679","1.3","805","-1.6","Total, all industries","38041","ND"
Kidder County,"2019","First Quarter(p)","110","623","2.0","688","0.4","Total, all industries","38043","ND"
LaMoure County,"2019","First Quarter(p)","215","1319","-3.7","722","2.3","Total, all industries","38045","ND"
Logan County,"2019","First Quarter(p)","95","628","-3.2","565","6.2","Total, all industries","38047","ND"
McHenry County,"2019","First Quarter(p)","195","1268","2.0","851","3.9","Total, all industries","38049","ND"
McIntosh County,"2019","First Quarter(p)","145","1006","-5.0","694","6.9","Total, all industries","38051","ND"
McKenzie County,"2019","First Quarter(p)","793","11692","20.1","1556","6.8","Total, all industries","38053","ND"
McLean County,"2019","First Quarter(p)","362","3251","-2.0","1183","4.5","Total, all industries","38055","ND"
Mercer County,"2019","First Quarter(p)","312","4110","-8.9","1463","13.1","Total, all industries","38057","ND"
Morton County,"2019","First Quarter(p)","1049","11172","1.5","868","1.2","Total, all industries","38059","ND"
Mountrail County,"2019","First Quarter(p)","536","6016","6.1","1357","4.1","Total, all industries","38061","ND"
Nelson County,"2019","First Quarter(p)","162","925","-0.6","646","2.2","Total, all industries","38063","ND"
Oliver County,"2019","First Quarter(p)","56","689","-3.8","1509","4.0","Total, all industries","38065","ND"
Pembina County,"2019","First Quarter(p)","387","3335","1.4","815","-0.9","Total, all industries","38067","ND"
Pierce County,"2019","First Quarter(p)","193","1627","-5.2","781","-1.0","Total, all industries","38069","ND"
Ramsey County,"2019","First Quarter(p)","525","5553","-0.6","778","3.3","Total, all industries","38071","ND"
Ransom County,"2019","First Quarter(p)","252","2014","-4.7","717","2.9","Total, all industries","38073","ND"
Renville County,"2019","First Quarter(p)","131","731","-0.1","699","-5.2","Total, all industries","38075","ND"
Richland County,"2019","First Quarter(p)","623","7680","-0.2","816","2.5","Total, all industries","38077","ND"
Rolette County,"2019","First Quarter(p)","264","4345","0.9","775","-1.1","Total, all industries","38079","ND"
Sargent County,"2019","First Quarter(p)","162","3521","10.8","1003","6.4","Total, all industries","38081","ND"
Sheridan County,"2019","First Quarter(p)","51","223","4.2","491","-2.4","Total, all industries","38083","ND"
Sioux County,"2019","First Quarter(p)","65","1557","0.0","801","-0.2","Total, all industries","38085","ND"
Slope County,"2019","First Quarter(p)","23","127","0.8","1328","10.4","Total, all industries","38087","ND"
Stark County,"2019","First Quarter(p)","1415","19710","4.6","1220","3.7","Total, all industries","38089","ND"
Steele County,"2019","First Quarter(p)","80","577","-1.9","937","2.3","Total, all industries","38091","ND"
Stutsman County,"2019","First Quarter(p)","829","10844","-1.4","847","1.4","Total, all industries","38093","ND"
Towner County,"2019","First Quarter(p)","103","729","-0.8","806","3.5","Total, all industries","38095","ND"
Traill County,"2019","First Quarter(p)","371","3320","-0.3","824","1.4","Total, all industries","38097","ND"
Walsh County,"2019","First Quarter(p)","510","4660","-1.8","780","2.6","Total, all industries","38099","ND"
Ward County,"2019","First Quarter(p)","2353","30985","0.1","964","3.7","Total, all industries","38101","ND"
Wells County,"2019","First Quarter(p)","192","1397","-6.1","717","6.4","Total, all industries","38103","ND"
Williams County,"2019","First Quarter(p)","2007","28865","5.5","1561","4.1","Total, all industries","38105","ND"
 
