"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","1126","15026","0.0","751","2.5","Total, all industries","31001","NE"
Antelope County,"2019","First Quarter(p)","287","2058","-0.2","678","4.0","Total, all industries","31003","NE"
Arthur County,"2019","First Quarter(p)","18","85","13.3","536","-2.7","Total, all industries","31005","NE"
Banner County,"2019","First Quarter(p)","10","98","-16.2","720","7.0","Total, all industries","31007","NE"
Blaine County,"2019","First Quarter(p)","26","126","3.3","663","-5.3","Total, all industries","31009","NE"
Boone County,"2019","First Quarter(p)","268","2350","-0.1","725","1.1","Total, all industries","31011","NE"
Box Butte County,"2019","First Quarter(p)","429","3692","-2.3","700","1.9","Total, all industries","31013","NE"
Boyd County,"2019","First Quarter(p)","105","590","-1.2","546","2.8","Total, all industries","31015","NE"
Brown County,"2019","First Quarter(p)","177","1203","-1.1","657","4.0","Total, all industries","31017","NE"
Buffalo County,"2019","First Quarter(p)","1930","26675","-1.5","782","4.7","Total, all industries","31019","NE"
Burt County,"2019","First Quarter(p)","263","1720","-1.0","700","2.6","Total, all industries","31021","NE"
Butler County,"2019","First Quarter(p)","273","2537","2.4","803","-2.3","Total, all industries","31023","NE"
Cass County,"2019","First Quarter(p)","699","5567","-0.4","770","3.1","Total, all industries","31025","NE"
Cedar County,"2019","First Quarter(p)","350","2593","1.9","678","2.3","Total, all industries","31027","NE"
Chase County,"2019","First Quarter(p)","234","1788","0.6","723","6.0","Total, all industries","31029","NE"
Cherry County,"2019","First Quarter(p)","329","2217","-0.3","588","-6.2","Total, all industries","31031","NE"
Cheyenne County,"2019","First Quarter(p)","387","4212","-9.9","788","-30.3","Total, all industries","31033","NE"
Clay County,"2019","First Quarter(p)","293","2311","1.8","779","1.0","Total, all industries","31035","NE"
Colfax County,"2019","First Quarter(p)","310","5061","0.0","805","6.6","Total, all industries","31037","NE"
Cuming County,"2019","First Quarter(p)","436","3635","-0.6","739","4.2","Total, all industries","31039","NE"
Custer County,"2019","First Quarter(p)","509","4447","-2.4","733","3.2","Total, all industries","31041","NE"
