"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Belknap County,"2019","First Quarter(p)","2041","25082","0.6","841","2.4","Total, all industries","33001","NH"
Carroll County,"2019","First Quarter(p)","2006","19329","1.8","712","4.2","Total, all industries","33003","NH"
Cheshire County,"2019","First Quarter(p)","2148","31348","1.0","914","1.9","Total, all industries","33005","NH"
Coos County,"2019","First Quarter(p)","1000","11879","1.5","748","0.1","Total, all industries","33007","NH"
Grafton County,"2019","First Quarter(p)","3307","54341","0.4","1157","1.9","Total, all industries","33009","NH"
Hillsborough County,"2019","First Quarter(p)","12211","204661","1.3","1269","2.2","Total, all industries","33011","NH"
Merrimack County,"2019","First Quarter(p)","5215","77714","0.6","1039","3.9","Total, all industries","33013","NH"
Rockingham County,"2019","First Quarter(p)","11070","147861","1.2","1142","5.4","Total, all industries","33015","NH"
Strafford County,"2019","First Quarter(p)","2915","48322","0.7","1052","3.0","Total, all industries","33017","NH"
Sullivan County,"2019","First Quarter(p)","1090","13712","0.0","838","0.5","Total, all industries","33019","NH"
 
