"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Atlantic County,"2019","First Quarter(p)","6596","125986","5.1","908","0.1","Total, all industries","34001","NJ"
Bergen County,"2019","First Quarter(p)","33319","440581","0.3","1333","1.1","Total, all industries","34003","NJ"
Burlington County,"2019","First Quarter(p)","11126","199566","-1.6","1172","2.5","Total, all industries","34005","NJ"
Camden County,"2019","First Quarter(p)","12205","204296","0.6","1077","2.6","Total, all industries","34007","NJ"
Cape May County,"2019","First Quarter(p)","3893","33891","0.9","781","2.5","Total, all industries","34009","NJ"
Cumberland County,"2019","First Quarter(p)","3199","58572","1.2","890","2.2","Total, all industries","34011","NJ"
Essex County,"2019","First Quarter(p)","20829","344868","1.0","1535","1.9","Total, all industries","34013","NJ"
Gloucester County,"2019","First Quarter(p)","6430","113077","2.8","903","1.1","Total, all industries","34015","NJ"
Hudson County,"2019","First Quarter(p)","15369","269817","2.8","1745","-0.5","Total, all industries","34017","NJ"
Hunterdon County,"2019","First Quarter(p)","4076","47542","3.1","1387","-1.6","Total, all industries","34019","NJ"
Mercer County,"2019","First Quarter(p)","11263","256577","3.6","1636","6.9","Total, all industries","34021","NJ"
Middlesex County,"2019","First Quarter(p)","22624","428386","1.1","1340","-2.0","Total, all industries","34023","NJ"
Monmouth County,"2019","First Quarter(p)","20459","258107","1.4","1137","1.2","Total, all industries","34025","NJ"
Morris County,"2019","First Quarter(p)","17270","290052","0.3","1892","4.9","Total, all industries","34027","NJ"
Ocean County,"2019","First Quarter(p)","13679","166268","2.0","878","1.6","Total, all industries","34029","NJ"
Passaic County,"2019","First Quarter(p)","12650","165344","-0.1","1051","1.0","Total, all industries","34031","NJ"
Salem County,"2019","First Quarter(p)","1313","20517","1.0","1189","0.9","Total, all industries","34033","NJ"
Somerset County,"2019","First Quarter(p)","10320","187285","1.4","2139","3.0","Total, all industries","34035","NJ"
Sussex County,"2019","First Quarter(p)","3490","37397","0.0","957","2.7","Total, all industries","34037","NJ"
Union County,"2019","First Quarter(p)","14614","227454","0.7","1409","0.7","Total, all industries","34039","NJ"
Warren County,"2019","First Quarter(p)","2763","32536","0.3","995","5.3","Total, all industries","34041","NJ"
 
