"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Bernalillo County,"2019","First Quarter(p)","19548","328958","0.6","941","2.6","Total, all industries","35001","NM"
Catron County,"2019","First Quarter(p)","105","583","-6.9","525","-0.6","Total, all industries","35003","NM"
Chaves County,"2019","First Quarter(p)","1843","21188","0.2","692","4.1","Total, all industries","35005","NM"
Cibola County,"2019","First Quarter(p)","491","7661","1.5","674","0.9","Total, all industries","35006","NM"
Colfax County,"2019","First Quarter(p)","534","4323","-0.1","657","5.5","Total, all industries","35007","NM"
Curry County,"2019","First Quarter(p)","1263","16983","0.1","715","3.5","Total, all industries","35009","NM"
De Baca County,"2019","First Quarter(p)","80","438","1.6","614","2.7","Total, all industries","35011","NM"
Dona Ana County,"2019","First Quarter(p)","4931","72416","0.7","738","1.4","Total, all industries","35013","NM"
Eddy County,"2019","First Quarter(p)","1873","32575","10.1","1198","7.2","Total, all industries","35015","NM"
Grant County,"2019","First Quarter(p)","760","9204","1.0","853","1.8","Total, all industries","35017","NM"
Guadalupe County,"2019","First Quarter(p)","163","1399","-8.3","608","6.1","Total, all industries","35019","NM"
Harding County,"2019","First Quarter(p)","40","148","-10.8","657","5.8","Total, all industries","35021","NM"
Hidalgo County,"2019","First Quarter(p)","169","1577","-1.0","745","-3.4","Total, all industries","35023","NM"
Lea County,"2019","First Quarter(p)","2080","32439","5.3","1083","6.6","Total, all industries","35025","NM"
Lincoln County,"2019","First Quarter(p)","821","6354","3.3","619","2.3","Total, all industries","35027","NM"
Los Alamos County,"2019","First Quarter(p)","472","16738","4.5","1793","4.7","Total, all industries","35028","NM"
Luna County,"2019","First Quarter(p)","543","7183","-0.3","684","1.5","Total, all industries","35029","NM"
Mckinley County,"2019","First Quarter(p)","1279","20516","-1.0","675","3.8","Total, all industries","35031","NM"
Mora County,"2019","First Quarter(p)","134","701","-0.8","611","4.4","Total, all industries","35033","NM"
Otero County,"2019","First Quarter(p)","1206","17334","0.2","723","3.3","Total, all industries","35035","NM"
Quay County,"2019","First Quarter(p)","326","2583","-0.2","648","7.8","Total, all industries","35037","NM"
Rio Arriba County,"2019","First Quarter(p)","861","9567","-1.0","714","5.9","Total, all industries","35039","NM"
Roosevelt County,"2019","First Quarter(p)","448","5875","-2.9","668","5.0","Total, all industries","35041","NM"
Sandoval County,"2019","First Quarter(p)","2432","31283","4.1","800","4.8","Total, all industries","35043","NM"
San Juan County,"2019","First Quarter(p)","2916","46582","-1.7","880","-1.1","Total, all industries","35045","NM"
San Miguel County,"2019","First Quarter(p)","799","8115","-0.3","602","4.2","Total, all industries","35047","NM"
Santa Fe County,"2019","First Quarter(p)","5909","61625","1.9","833","2.1","Total, all industries","35049","NM"
Sierra County,"2019","First Quarter(p)","352","3198","-1.7","594","3.3","Total, all industries","35051","NM"
Socorro County,"2019","First Quarter(p)","388","5216","-0.5","725","4.5","Total, all industries","35053","NM"
Taos County,"2019","First Quarter(p)","1344","11367","2.9","609","-1.1","Total, all industries","35055","NM"
Torrance County,"2019","First Quarter(p)","330","3095","-0.9","653","1.1","Total, all industries","35057","NM"
Union County,"2019","First Quarter(p)","190","1345","0.7","677","1.3","Total, all industries","35059","NM"
Valencia County,"2019","First Quarter(p)","1351","15329","2.7","668","0.1","Total, all industries","35061","NM"
 
