"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Albany County,"2019","First Quarter(p)","10238","232079","0.1","1142","3.1","Total, all industries","36001","NY"
Allegany County,"2019","First Quarter(p)","919","13174","-1.7","741","1.2","Total, all industries","36003","NY"
Bronx County,"2019","First Quarter(p)","18793","323716","1.4","1086","4.5","Total, all industries","36005","NY"
Broome County,"2019","First Quarter(p)","4426","85643","0.1","900","3.9","Total, all industries","36007","NY"
Cattaraugus County,"2019","First Quarter(p)","1786","29560","1.9","749","-0.3","Total, all industries","36009","NY"
Cayuga County,"2019","First Quarter(p)","1683","24967","0.0","861","1.2","Total, all industries","36011","NY"
Chautauqua County,"2019","First Quarter(p)","3088","48093","0.1","790","0.8","Total, all industries","36013","NY"
Chemung County,"2019","First Quarter(p)","1903","34871","-0.2","926","0.7","Total, all industries","36015","NY"
Chenango County,"2019","First Quarter(p)","1033","16930","-1.9","963","3.4","Total, all industries","36017","NY"
Clinton County,"2019","First Quarter(p)","1952","34093","0.7","864","-1.9","Total, all industries","36019","NY"
Columbia County,"2019","First Quarter(p)","1996","21385","0.7","806","3.1","Total, all industries","36021","NY"
Cortland County,"2019","First Quarter(p)","1077","18456","0.9","782","3.2","Total, all industries","36023","NY"
Delaware County,"2019","First Quarter(p)","1169","14519","1.0","918","5.6","Total, all industries","36025","NY"
Dutchess County,"2019","First Quarter(p)","8317","113597","1.5","1060","2.3","Total, all industries","36027","NY"
Erie County,"2019","First Quarter(p)","24282","468492","0.6","1017","2.4","Total, all industries","36029","NY"
Essex County,"2019","First Quarter(p)","1240","14462","0.7","805","2.4","Total, all industries","36031","NY"
Franklin County,"2019","First Quarter(p)","1123","17995","0.4","846","2.1","Total, all industries","36033","NY"
Fulton County,"2019","First Quarter(p)","1204","17039","1.7","765","-1.4","Total, all industries","36035","NY"
Genesee County,"2019","First Quarter(p)","1469","22762","0.5","819","3.1","Total, all industries","36037","NY"
Greene County,"2019","First Quarter(p)","1270","14553","-0.5","839","3.8","Total, all industries","36039","NY"
Hamilton County,"2019","First Quarter(p)","240","1582","2.7","689","-0.7","Total, all industries","36041","NY"
Herkimer County,"2019","First Quarter(p)","1231","16389","0.8","756","4.1","Total, all industries","36043","NY"
Jefferson County,"2019","First Quarter(p)","2828","39950","-0.5","816","2.9","Total, all industries","36045","NY"
