"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","616","5823","-2.7","740","4.1","Total, all industries","39001","OH"
Allen County,"2019","First Quarter(p)","2488","50378","0.0","923","3.7","Total, all industries","39003","OH"
Ashland County,"2019","First Quarter(p)","1152","19123","4.5","751","0.8","Total, all industries","39005","OH"
Ashtabula County,"2019","First Quarter(p)","2103","30271","0.1","728","2.1","Total, all industries","39007","OH"
Athens County,"2019","First Quarter(p)","1253","21057","1.3","817","1.4","Total, all industries","39009","OH"
Auglaize County,"2019","First Quarter(p)","1072","21936","2.5","858","2.4","Total, all industries","39011","OH"
Belmont County,"2019","First Quarter(p)","1658","22273","-0.4","815","0.9","Total, all industries","39013","OH"
Brown County,"2019","First Quarter(p)","678","7818","-2.8","646","-7.8","Total, all industries","39015","OH"
Butler County,"2019","First Quarter(p)","8015","155612","1.5","1016","1.2","Total, all industries","39017","OH"
Carroll County,"2019","First Quarter(p)","539","6124","1.6","771","11.1","Total, all industries","39019","OH"
Champaign County,"2019","First Quarter(p)","686","10679","-0.9","841","4.7","Total, all industries","39021","OH"
Clark County,"2019","First Quarter(p)","2497","47819","0.0","812","2.3","Total, all industries","39023","OH"
Clermont County,"2019","First Quarter(p)","4108","58923","1.2","872","1.6","Total, all industries","39025","OH"
Clinton County,"2019","First Quarter(p)","852","17896","1.9","988","2.7","Total, all industries","39027","OH"
Columbiana County,"2019","First Quarter(p)","2139","29475","0.7","727","1.3","Total, all industries","39029","OH"
Coshocton County,"2019","First Quarter(p)","711","10164","1.5","813","3.6","Total, all industries","39031","OH"
Crawford County,"2019","First Quarter(p)","911","12340","0.4","781","3.0","Total, all industries","39033","OH"
Cuyahoga County,"2019","First Quarter(p)","36173","719845","0.5","1176","2.3","Total, all industries","39035","OH"
Darke County,"2019","First Quarter(p)","1225","18041","-1.3","786","-2.1","Total, all industries","39037","OH"
Defiance County,"2019","First Quarter(p)","858","15320","-1.2","865","-1.0","Total, all industries","39039","OH"
Delaware County,"2019","First Quarter(p)","5565","87868","2.4","1256","3.6","Total, all industries","39041","OH"
Erie County,"2019","First Quarter(p)","1983","34448","-1.5","768","-1.0","Total, all industries","39043","OH"
Fairfield County,"2019","First Quarter(p)","3031","43621","0.9","732","1.9","Total, all industries","39045","OH"
Fayette County,"2019","First Quarter(p)","642","10883","-6.0","702","2.3","Total, all industries","39047","OH"
Franklin County,"2019","First Quarter(p)","33265","752006","1.1","1187","3.4","Total, all industries","39049","OH"
Fulton County,"2019","First Quarter(p)","1084","17864","-3.1","804","1.9","Total, all industries","39051","OH"
Gallia County,"2019","First Quarter(p)","707","11290","-1.3","732","-0.3","Total, all industries","39053","OH"
