"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adair County,"2019","First Quarter(p)","273","4492","-1.0","614","1.0","Total, all industries","40001","OK"
Alfalfa County,"2019","First Quarter(p)","165","1512","0.4","805","7.6","Total, all industries","40003","OK"
Atoka County,"2019","First Quarter(p)","323","3335","-3.0","605","-1.5","Total, all industries","40005","OK"
Beaver County,"2019","First Quarter(p)","174","1602","-6.9","828","0.4","Total, all industries","40007","OK"
Beckham County,"2019","First Quarter(p)","821","10072","-3.1","938","-0.7","Total, all industries","40009","OK"
Blaine County,"2019","First Quarter(p)","329","3318","11.6","950","15.4","Total, all industries","40011","OK"
Bryan County,"2019","First Quarter(p)","979","18873","5.7","720","2.1","Total, all industries","40013","OK"
Caddo County,"2019","First Quarter(p)","614","7677","0.5","783","0.1","Total, all industries","40015","OK"
Canadian County,"2019","First Quarter(p)","3175","37752","4.2","875","4.9","Total, all industries","40017","OK"
Carter County,"2019","First Quarter(p)","1725","23725","0.6","847","1.9","Total, all industries","40019","OK"
Cherokee County,"2019","First Quarter(p)","771","15780","1.1","680","2.1","Total, all industries","40021","OK"
Choctaw County,"2019","First Quarter(p)","351","3971","-8.7","608","3.9","Total, all industries","40023","OK"
Cimarron County,"2019","First Quarter(p)","100","742","-0.5","637","2.2","Total, all industries","40025","OK"
Cleveland County,"2019","First Quarter(p)","5957","82823","2.5","781","2.9","Total, all industries","40027","OK"
Coal County,"2019","First Quarter(p)","110","1451","23.3","781","25.6","Total, all industries","40029","OK"
Comanche County,"2019","First Quarter(p)","2421","42049","-0.1","786","4.1","Total, all industries","40031","OK"
Cotton County,"2019","First Quarter(p)","110","1678","11.7","701","9.7","Total, all industries","40033","OK"
Craig County,"2019","First Quarter(p)","410","5339","-0.1","695","5.0","Total, all industries","40035","OK"
Creek County,"2019","First Quarter(p)","1525","19310","3.2","895","11.6","Total, all industries","40037","OK"
Custer County,"2019","First Quarter(p)","1013","13099","1.9","843","5.4","Total, all industries","40039","OK"
Delaware County,"2019","First Quarter(p)","814","8644","0.5","632","2.3","Total, all industries","40041","OK"
Dewey County,"2019","First Quarter(p)","194","1843","4.1","952","4.5","Total, all industries","40043","OK"
Ellis County,"2019","First Quarter(p)","141","1237","3.4","799","6.5","Total, all industries","40045","OK"
Garfield County,"2019","First Quarter(p)","1755","24187","-0.5","803","1.8","Total, all industries","40047","OK"
Garvin County,"2019","First Quarter(p)","804","10192","3.4","942","6.7","Total, all industries","40049","OK"
Grady County,"2019","First Quarter(p)","1199","13489","1.9","824","15.1","Total, all industries","40051","OK"
Grant County,"2019","First Quarter(p)","167","1349","-2.8","1144","14.9","Total, all industries","40053","OK"
Greer County,"2019","First Quarter(p)","112","1070","0.0","624","4.0","Total, all industries","40055","OK"
Harmon County,"2019","First Quarter(p)","73","692","7.6","646","0.3","Total, all industries","40057","OK"
Harper County,"2019","First Quarter(p)","141","1087","0.7","728","8.3","Total, all industries","40059","OK"
Haskell County,"2019","First Quarter(p)","248","3360","-0.1","597","4.6","Total, all industries","40061","OK"
Hughes County,"2019","First Quarter(p)","287","3169","3.7","606","8.8","Total, all industries","40063","OK"
Jackson County,"2019","First Quarter(p)","654","9528","-1.1","742","1.6","Total, all industries","40065","OK"
Jefferson County,"2019","First Quarter(p)","141","1149","1.2","588","6.5","Total, all industries","40067","OK"
Johnston County,"2019","First Quarter(p)","226","4333","0.7","545","7.1","Total, all industries","40069","OK"
Kay County,"2019","First Quarter(p)","1207","17733","0.0","881","2.7","Total, all industries","40071","OK"
Kingfisher County,"2019","First Quarter(p)","592","7186","10.1","966","1.6","Total, all industries","40073","OK"
Kiowa County,"2019","First Quarter(p)","232","1803","-9.8","624","-4.4","Total, all industries","40075","OK"
Latimer County,"2019","First Quarter(p)","189","2402","-1.4","837","0.4","Total, all industries","40077","OK"
Le Flore County,"2019","First Quarter(p)","947","12477","-0.4","700","5.4","Total, all industries","40079","OK"
Lincoln County,"2019","First Quarter(p)","657","6742","2.4","723","4.8","Total, all industries","40081","OK"
Logan County,"2019","First Quarter(p)","774","7478","-1.9","677","4.3","Total, all industries","40083","OK"
Love County,"2019","First Quarter(p)","227","6007","-3.1","718","7.2","Total, all industries","40085","OK"
McClain County,"2019","First Quarter(p)","1088","9502","-1.1","714","5.5","Total, all industries","40087","OK"
McCurtain County,"2019","First Quarter(p)","712","11143","0.9","710","0.0","Total, all industries","40089","OK"
McIntosh County,"2019","First Quarter(p)","409","4172","7.2","567","5.8","Total, all industries","40091","OK"
Major County,"2019","First Quarter(p)","262","2527","-2.1","819","6.4","Total, all industries","40093","OK"
Marshall County,"2019","First Quarter(p)","283","4387","7.0","739","5.1","Total, all industries","40095","OK"
Mayes County,"2019","First Quarter(p)","893","12946","1.5","850","2.7","Total, all industries","40097","OK"
Murray County,"2019","First Quarter(p)","375","5636","-3.5","702","3.2","Total, all industries","40099","OK"
Muskogee County,"2019","First Quarter(p)","1532","29857","1.7","790","4.5","Total, all industries","40101","OK"
Noble County,"2019","First Quarter(p)","259","4821","2.9","1205","20.9","Total, all industries","40103","OK"
Nowata County,"2019","First Quarter(p)","184","1821","3.1","679","4.8","Total, all industries","40105","OK"
Okfuskee County,"2019","First Quarter(p)","215","2524","9.5","648","15.7","Total, all industries","40107","OK"
Oklahoma County,"2019","First Quarter(p)","28305","459373","1.7","1095","3.0","Total, all industries","40109","OK"
Okmulgee County,"2019","First Quarter(p)","759","9449","-2.6","707","-0.3","Total, all industries","40111","OK"
Osage County,"2019","First Quarter(p)","572","6584","1.4","752","3.7","Total, all industries","40113","OK"
Ottawa County,"2019","First Quarter(p)","697","12254","0.0","634","5.1","Total, all industries","40115","OK"
Pawnee County,"2019","First Quarter(p)","305","3572","1.2","718","1.8","Total, all industries","40117","OK"
Payne County,"2019","First Quarter(p)","2044","33895","-0.8","782","1.7","Total, all industries","40119","OK"
Pittsburg County,"2019","First Quarter(p)","1025","16613","-2.4","875","4.3","Total, all industries","40121","OK"
Pontotoc County,"2019","First Quarter(p)","1133","19238","3.8","846","3.4","Total, all industries","40123","OK"
Pottawatomie County,"2019","First Quarter(p)","1430","22326","-0.4","682","3.8","Total, all industries","40125","OK"
Pushmataha County,"2019","First Quarter(p)","257","2476","-2.4","607","8.0","Total, all industries","40127","OK"
Roger Mills County,"2019","First Quarter(p)","120","933","13.2","756","5.0","Total, all industries","40129","OK"
Rogers County,"2019","First Quarter(p)","1954","28232","1.7","952","10.8","Total, all industries","40131","OK"
Seminole County,"2019","First Quarter(p)","519","7527","1.7","705","1.0","Total, all industries","40133","OK"
Sequoyah County,"2019","First Quarter(p)","703","8933","-0.9","568","9.4","Total, all industries","40135","OK"
Stephens County,"2019","First Quarter(p)","1145","14771","3.7","817","3.0","Total, all industries","40137","OK"
Texas County,"2019","First Quarter(p)","558","9588","-1.1","809","5.1","Total, all industries","40139","OK"
