"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Baker County,"2019","First Quarter(p)","709","5454","2.3","713","1.0","Total, all industries","41001","OR"
Benton County,"2019","First Quarter(p)","2868","38441","0.7","976","-0.6","Total, all industries","41003","OR"
Clackamas County,"2019","First Quarter(p)","15749","167649","2.1","1033","2.7","Total, all industries","41005","OR"
Clatsop County,"2019","First Quarter(p)","1777","18559","2.3","721","1.4","Total, all industries","41007","OR"
Columbia County,"2019","First Quarter(p)","1359","11916","2.2","759","1.5","Total, all industries","41009","OR"
Coos County,"2019","First Quarter(p)","2029","23130","0.8","761","2.8","Total, all industries","41011","OR"
Crook County,"2019","First Quarter(p)","725","5797","2.5","866","1.5","Total, all industries","41013","OR"
Curry County,"2019","First Quarter(p)","854","6417","0.1","691","2.8","Total, all industries","41015","OR"
Deschutes County,"2019","First Quarter(p)","9282","82507","1.4","887","2.4","Total, all industries","41017","OR"
Douglas County,"2019","First Quarter(p)","3366","38401","1.2","781","3.7","Total, all industries","41019","OR"
Gilliam County,"2019","First Quarter(p)","123","815","3.2","830","4.7","Total, all industries","41021","OR"
Grant County,"2019","First Quarter(p)","341","2380","4.0","723","-0.3","Total, all industries","41023","OR"
Harney County,"2019","First Quarter(p)","321","2406","2.5","718","2.6","Total, all industries","41025","OR"
Hood River County,"2019","First Quarter(p)","1409","13509","-2.5","773","-1.9","Total, all industries","41027","OR"
Jackson County,"2019","First Quarter(p)","7918","88650","0.2","819","3.4","Total, all industries","41029","OR"
Jefferson County,"2019","First Quarter(p)","624","6764","-0.6","746","0.9","Total, all industries","41031","OR"
Josephine County,"2019","First Quarter(p)","2719","27935","3.3","677","0.1","Total, all industries","41033","OR"
Klamath County,"2019","First Quarter(p)","2209","22616","-0.9","744","1.2","Total, all industries","41035","OR"
Lake County,"2019","First Quarter(p)","343","2417","-0.2","752","-0.7","Total, all industries","41037","OR"
Lane County,"2019","First Quarter(p)","12758","156343","0.5","845","2.5","Total, all industries","41039","OR"
Lincoln County,"2019","First Quarter(p)","1985","18100","0.2","729","1.4","Total, all industries","41041","OR"
Linn County,"2019","First Quarter(p)","3744","47618","1.4","842","3.7","Total, all industries","41043","OR"
Malheur County,"2019","First Quarter(p)","1102","12536","-2.2","697","3.7","Total, all industries","41045","OR"
Marion County,"2019","First Quarter(p)","11536","155325","1.3","901","4.0","Total, all industries","41047","OR"
Morrow County,"2019","First Quarter(p)","379","5818","-1.6","1035","4.5","Total, all industries","41049","OR"
Multnomah County,"2019","First Quarter(p)","36799","514940","1.4","1200","2.6","Total, all industries","41051","OR"
Polk County,"2019","First Quarter(p)","2070","20728","3.0","722","2.1","Total, all industries","41053","OR"
Sherman County,"2019","First Quarter(p)","115","873","3.9","956","7.3","Total, all industries","41055","OR"
Tillamook County,"2019","First Quarter(p)","1007","9617","2.8","763","4.7","Total, all industries","41057","OR"
Umatilla County,"2019","First Quarter(p)","2354","30298","-1.0","770","2.4","Total, all industries","41059","OR"
Union County,"2019","First Quarter(p)","1042","10097","0.8","751","1.9","Total, all industries","41061","OR"
Wallowa County,"2019","First Quarter(p)","442","2404","2.8","695","0.6","Total, all industries","41063","OR"
Wasco County,"2019","First Quarter(p)","1095","10665","-1.9","806","1.1","Total, all industries","41065","OR"
Washington County,"2019","First Quarter(p)","20470","299372","2.1","1497","5.3","Total, all industries","41067","OR"
Wheeler County,"2019","First Quarter(p)","70","315","-4.5","631","18.6","Total, all industries","41069","OR"
Yamhill County,"2019","First Quarter(p)","3351","36299","0.7","803","1.9","Total, all industries","41071","OR"
 
