"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","2183","34933","0.6","819","4.7","Total, all industries","42001","PA"
Allegheny County,"2019","First Quarter(p)","35632","694907","0.3","1251","1.1","Total, all industries","42003","PA"
Armstrong County,"2019","First Quarter(p)","1466","16211","-0.8","793","2.2","Total, all industries","42005","PA"
Beaver County,"2019","First Quarter(p)","3690","54311","5.1","1003","9.7","Total, all industries","42007","PA"
Bedford County,"2019","First Quarter(p)","1221","15239","-0.9","695","2.1","Total, all industries","42009","PA"
Berks County,"2019","First Quarter(p)","8903","174361","1.4","988","1.0","Total, all industries","42011","PA"
Blair County,"2019","First Quarter(p)","3396","57619","-0.3","813","4.2","Total, all industries","42013","PA"
Bradford County,"2019","First Quarter(p)","1593","22689","-0.3","947","4.0","Total, all industries","42015","PA"
Bucks County,"2019","First Quarter(p)","20213","264370","0.9","1026","2.6","Total, all industries","42017","PA"
Butler County,"2019","First Quarter(p)","5119","86252","1.5","1033","6.8","Total, all industries","42019","PA"
Cambria County,"2019","First Quarter(p)","3455","50131","-0.9","771","3.6","Total, all industries","42021","PA"
Cameron County,"2019","First Quarter(p)","153","1851","-4.4","783","3.2","Total, all industries","42023","PA"
Carbon County,"2019","First Quarter(p)","1265","16422","-1.6","699","1.3","Total, all industries","42025","PA"
Centre County,"2019","First Quarter(p)","3611","67567","-2.0","1005","6.0","Total, all industries","42027","PA"
Chester County,"2019","First Quarter(p)","15697","249686","0.8","1501","1.5","Total, all industries","42029","PA"
Clarion County,"2019","First Quarter(p)","1076","12808","-3.6","690","3.0","Total, all industries","42031","PA"
Clearfield County,"2019","First Quarter(p)","2139","29775","1.0","799","3.6","Total, all industries","42033","PA"
Clinton County,"2019","First Quarter(p)","910","13304","0.6","868","8.5","Total, all industries","42035","PA"
Columbia County,"2019","First Quarter(p)","1562","24864","1.0","787","0.8","Total, all industries","42037","PA"
Crawford County,"2019","First Quarter(p)","2206","29502","-0.7","793","2.2","Total, all industries","42039","PA"
Cumberland County,"2019","First Quarter(p)","6557","134123","1.1","1023","2.6","Total, all industries","42041","PA"
Dauphin County,"2019","First Quarter(p)","7455","183511","1.8","1107","2.0","Total, all industries","42043","PA"
Delaware County,"2019","First Quarter(p)","14099","224006","0.7","1265","-0.6","Total, all industries","42045","PA"
Elk County,"2019","First Quarter(p)","978","14732","-0.8","857","2.0","Total, all industries","42047","PA"
Erie County,"2019","First Quarter(p)","6926","120422","0.0","834","1.5","Total, all industries","42049","PA"
Fayette County,"2019","First Quarter(p)","2848","38902","1.1","792","5.0","Total, all industries","42051","PA"
Forest County,"2019","First Quarter(p)","162","1926","-0.1","848","-0.4","Total, all industries","42053","PA"
Franklin County,"2019","First Quarter(p)","3333","59810","1.9","854","2.8","Total, all industries","42055","PA"
Fulton County,"2019","First Quarter(p)","315","5884","-1.5","942","4.9","Total, all industries","42057","PA"
Greene County,"2019","First Quarter(p)","809","12861","0.3","1221","10.9","Total, all industries","42059","PA"
Huntingdon County,"2019","First Quarter(p)","985","12469","2.1","754","0.7","Total, all industries","42061","PA"
Indiana County,"2019","First Quarter(p)","1989","29888","1.5","937","2.0","Total, all industries","42063","PA"
Jefferson County,"2019","First Quarter(p)","1221","15741","1.2","769","0.4","Total, all industries","42065","PA"
Juniata County,"2019","First Quarter(p)","533","6780","-0.4","668","0.1","Total, all industries","42067","PA"
Lackawanna County,"2019","First Quarter(p)","5603","96746","-0.5","814","1.0","Total, all industries","42069","PA"
Lancaster County,"2019","First Quarter(p)","13714","241302","1.1","911","1.1","Total, all industries","42071","PA"
Lawrence County,"2019","First Quarter(p)","1984","28206","1.6","799","2.6","Total, all industries","42073","PA"
Lebanon County,"2019","First Quarter(p)","2851","51051","2.4","821","1.9","Total, all industries","42075","PA"
Lehigh County,"2019","First Quarter(p)","8819","192589","1.4","1121","4.7","Total, all industries","42077","PA"
Luzerne County,"2019","First Quarter(p)","7414","143165","-0.4","867","3.6","Total, all industries","42079","PA"
Lycoming County,"2019","First Quarter(p)","3138","50407","-1.4","860","2.4","Total, all industries","42081","PA"
Mckean County,"2019","First Quarter(p)","1156","14460","-3.7","805","1.0","Total, all industries","42083","PA"
Mercer County,"2019","First Quarter(p)","2942","45399","-1.2","838","4.8","Total, all industries","42085","PA"
Mifflin County,"2019","First Quarter(p)","1050","15898","1.7","771","4.0","Total, all industries","42087","PA"
Monroe County,"2019","First Quarter(p)","3564","56042","1.3","871","1.9","Total, all industries","42089","PA"
Montgomery County,"2019","First Quarter(p)","27811","498099","1.7","1547","3.3","Total, all industries","42091","PA"
Montour County,"2019","First Quarter(p)","461","15749","1.1","1295","3.7","Total, all industries","42093","PA"
Northampton County,"2019","First Quarter(p)","6804","117099","3.3","955","2.7","Total, all industries","42095","PA"
Northumberland County,"2019","First Quarter(p)","1865","26873","0.5","808","4.3","Total, all industries","42097","PA"
Perry County,"2019","First Quarter(p)","894","7670","-0.9","620","1.3","Total, all industries","42099","PA"
Philadelphia County,"2019","First Quarter(p)","34774","691773","2.1","1374","3.9","Total, all industries","42101","PA"
Pike County,"2019","First Quarter(p)","1049","10879","0.8","652","1.4","Total, all industries","42103","PA"
Potter County,"2019","First Quarter(p)","460","5297","-1.9","850","3.8","Total, all industries","42105","PA"
Schuylkill County,"2019","First Quarter(p)","3045","49448","0.8","824","0.7","Total, all industries","42107","PA"
Snyder County,"2019","First Quarter(p)","979","16060","-3.4","703","-3.0","Total, all industries","42109","PA"
Somerset County,"2019","First Quarter(p)","1889","24247","2.0","785","3.3","Total, all industries","42111","PA"
Sullivan County,"2019","First Quarter(p)","197","1444","-10.6","714","1.7","Total, all industries","42113","PA"
Susquehanna County,"2019","First Quarter(p)","982","9021","0.2","863","4.2","Total, all industries","42115","PA"
Tioga County,"2019","First Quarter(p)","1053","12414","0.0","852","6.0","Total, all industries","42117","PA"
Union County,"2019","First Quarter(p)","1010","17426","-0.4","866","1.8","Total, all industries","42119","PA"
Venango County,"2019","First Quarter(p)","1255","17683","-0.2","754","3.6","Total, all industries","42121","PA"
Warren County,"2019","First Quarter(p)","1071","14381","-0.5","806","2.8","Total, all industries","42123","PA"
Washington County,"2019","First Quarter(p)","5559","86670","0.5","1262","2.9","Total, all industries","42125","PA"
Wayne County,"2019","First Quarter(p)","1405","14360","0.5","769","3.4","Total, all industries","42127","PA"
Westmoreland County,"2019","First Quarter(p)","9207","132146","0.1","901","2.4","Total, all industries","42129","PA"
Wyoming County,"2019","First Quarter(p)","705","9407","-0.3","969","5.3","Total, all industries","42131","PA"
York County,"2019","First Quarter(p)","9166","178431","0.3","945","1.1","Total, all industries","42133","PA"
 
