"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adjuntas Municipio,"2019","First Quarter(p)","220","1659","4.1","332","1.2","Total, all industries","72001","PR"
Aguada Municipio,"2019","First Quarter(p)","494","4205","-0.1","369","5.4","Total, all industries","72003","PR"
Aguadilla Municipio,"2019","First Quarter(p)","856","17619","1.3","565","-0.5","Total, all industries","72005","PR"
Aguas Buenas Municipio,"2019","First Quarter(p)","145","1729","8.2","365","-2.1","Total, all industries","72007","PR"
Aibonito Municipio,"2019","First Quarter(p)","312","5644","3.7","508","5.8","Total, all industries","72009","PR"
Anasco Municipio,"2019","First Quarter(p)","258","5067","3.0","564","-1.1","Total, all industries","72011","PR"
Arecibo Municipio,"2019","First Quarter(p)","1052","20785","5.3","482","-2.0","Total, all industries","72013","PR"
Arroyo Municipio,"2019","First Quarter(p)","84","2162","-1.4","672","-9.6","Total, all industries","72015","PR"
Barceloneta Municipio,"2019","First Quarter(p)","261","10349","3.3","595","-9.0","Total, all industries","72017","PR"
Barranquitas Municipio,"2019","First Quarter(p)","322","3002","0.0","399","-3.2","Total, all industries","72019","PR"
Bayamon Municipio,"2019","First Quarter(p)","2873","52424","0.2","490","1.7","Total, all industries","72021","PR"
Cabo Rojo Municipio,"2019","First Quarter(p)","536","5845","16.2","326","4.8","Total, all industries","72023","PR"
Caguas Municipio,"2019","First Quarter(p)","2217","44121","1.5","523","0.2","Total, all industries","72025","PR"
Camuy Municipio,"2019","First Quarter(p)","329","3845","12.9","365","1.1","Total, all industries","72027","PR"
Canovanas Municipio,"2019","First Quarter(p)","327","4899","2.9","456","-11.6","Total, all industries","72029","PR"
Carolina Municipio,"2019","First Quarter(p)","1932","45786","5.3","526","0.0","Total, all industries","72031","PR"
Catano Municipio,"2019","First Quarter(p)","314","10406","2.3","600","-1.3","Total, all industries","72033","PR"
Cayey Municipio,"2019","First Quarter(p)","469","9464","1.5","502","-2.7","Total, all industries","72035","PR"
Ceiba Municipio,"2019","First Quarter(p)","97","1226","11.9","418","1.5","Total, all industries","72037","PR"
Ciales Municipio,"2019","First Quarter(p)","135","1607","4.8","371","0.0","Total, all industries","72039","PR"
Cidra Municipio,"2019","First Quarter(p)","362","6020","3.1","493","-6.6","Total, all industries","72041","PR"
Coamo Municipio,"2019","First Quarter(p)","289","3341","5.9","388","-1.5","Total, all industries","72043","PR"
Comerio Municipio,"2019","First Quarter(p)","129","1606","0.6","386","0.3","Total, all industries","72045","PR"
Corozal Municipio,"2019","First Quarter(p)","312","3802","1.3","380","1.6","Total, all industries","72047","PR"
Culebra Municipio,"2019","First Quarter(p)","50","451","9.2","368","-12.0","Total, all industries","72049","PR"
Dorado Municipio,"2019","First Quarter(p)","551","8584","7.1","537","-1.8","Total, all industries","72051","PR"
Fajardo Municipio,"2019","First Quarter(p)","498","9090","-11.7","506","2.8","Total, all industries","72053","PR"
Florida Municipio,"2019","First Quarter(p)","65","1059","5.1","382","-2.8","Total, all industries","72054","PR"
Guanica Municipio,"2019","First Quarter(p)","114","2985","38.1","319","-6.2","Total, all industries","72055","PR"
Guayama Municipio,"2019","First Quarter(p)","441","10151","2.4","529","-2.9","Total, all industries","72057","PR"
Guayanilla Municipio,"2019","First Quarter(p)","125","2199","0.5","429","-3.8","Total, all industries","72059","PR"
Guaynabo Municipio,"2019","First Quarter(p)","2482","52701","8.4","681","-2.4","Total, all industries","72061","PR"
Gurabo Municipio,"2019","First Quarter(p)","332","8012","25.8","640","2.4","Total, all industries","72063","PR"
Hatillo Municipio,"2019","First Quarter(p)","541","8636","6.5","366","-2.9","Total, all industries","72065","PR"
Hormigueros Municipio,"2019","First Quarter(p)","169","2540","5.4","364","1.4","Total, all industries","72067","PR"
Humacao Municipio,"2019","First Quarter(p)","726","14741","-1.5","557","-10.0","Total, all industries","72069","PR"
Isabela Municipio,"2019","First Quarter(p)","441","6516","-5.3","501","5.5","Total, all industries","72071","PR"
Jayuya Municipio,"2019","First Quarter(p)","163","2722","0.8","546","-4.4","Total, all industries","72073","PR"
Juana Diaz Municipio,"2019","First Quarter(p)","323","6359","5.6","522","4.0","Total, all industries","72075","PR"
Juncos Municipio,"2019","First Quarter(p)","244","6998","4.0","1171","11.2","Total, all industries","72077","PR"
Lajas Municipio,"2019","First Quarter(p)","232","3258","7.3","329","2.8","Total, all industries","72079","PR"
Lares Municipio,"2019","First Quarter(p)","289","4065","5.0","332","-3.5","Total, all industries","72081","PR"
Las Marias Municipio,"2019","First Quarter(p)","88","1189","5.8","294","-1.3","Total, all industries","72083","PR"
Las Piedras Municipio,"2019","First Quarter(p)","275","7363","2.5","599","-1.5","Total, all industries","72085","PR"
Loiza Municipio,"2019","First Quarter(p)","95","1540","-3.9","374","-35.3","Total, all industries","72087","PR"
Luquillo Municipio,"2019","First Quarter(p)","143","1930","10.4","418","-4.8","Total, all industries","72089","PR"
Manati Municipio,"2019","First Quarter(p)","603","13720","0.9","608","-2.1","Total, all industries","72091","PR"
Maricao Municipio,"2019","First Quarter(p)","73","1241","8.7","466","-2.1","Total, all industries","72093","PR"
Maunabo Municipio,"2019","First Quarter(p)","66","1320","12.5","535","-7.8","Total, all industries","72095","PR"
Mayaguez Municipio,"2019","First Quarter(p)","1507","28565","-0.8","470","0.2","Total, all industries","72097","PR"
Moca Municipio,"2019","First Quarter(p)","377","4200","2.8","325","0.3","Total, all industries","72099","PR"
Morovis Municipio,"2019","First Quarter(p)","176","2210","2.8","390","8.0","Total, all industries","72101","PR"
Naguabo Municipio,"2019","First Quarter(p)","156","1988","2.1","426","0.7","Total, all industries","72103","PR"
Naranjito Municipio,"2019","First Quarter(p)","316","3163","8.9","402","-1.5","Total, all industries","72105","PR"
Orocovis Municipio,"2019","First Quarter(p)","217","2514","-2.8","339","-2.3","Total, all industries","72107","PR"
Patillas Municipio,"2019","First Quarter(p)","113","1469","1.7","517","22.5","Total, all industries","72109","PR"
Penuelas Municipio,"2019","First Quarter(p)","174","2399","-3.0","452","7.4","Total, all industries","72111","PR"
Ponce Municipio,"2019","First Quarter(p)","2219","45977","1.5","451","-3.0","Total, all industries","72113","PR"
