"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Abbeville County,"2019","First Quarter(p)","362","5571","1.1","732","5.6","Total, all industries","45001","SC"
Aiken County,"2019","First Quarter(p)","3065","61442","2.2","972","1.1","Total, all industries","45003","SC"
Allendale County,"2019","First Quarter(p)","167","2896","-0.7","851","1.3","Total, all industries","45005","SC"
Anderson County,"2019","First Quarter(p)","3757","66647","3.2","788","0.6","Total, all industries","45007","SC"
Bamberg County,"2019","First Quarter(p)","287","3646","-4.4","671","4.5","Total, all industries","45009","SC"
Barnwell County,"2019","First Quarter(p)","400","5385","-2.7","689","1.6","Total, all industries","45011","SC"
Beaufort County,"2019","First Quarter(p)","6045","67155","2.9","768","2.8","Total, all industries","45013","SC"
Berkeley County,"2019","First Quarter(p)","3182","54224","4.2","1099","3.8","Total, all industries","45015","SC"
Calhoun County,"2019","First Quarter(p)","255","4586","0.1","949","16.7","Total, all industries","45017","SC"
Charleston County,"2019","First Quarter(p)","16753","256868","2.8","1013","3.7","Total, all industries","45019","SC"
Cherokee County,"2019","First Quarter(p)","876","21484","0.4","692","2.4","Total, all industries","45021","SC"
Chester County,"2019","First Quarter(p)","550","9541","0.6","831","-0.7","Total, all industries","45023","SC"
Chesterfield County,"2019","First Quarter(p)","706","15312","-0.3","731","-0.3","Total, all industries","45025","SC"
Clarendon County,"2019","First Quarter(p)","598","6890","1.5","565","2.2","Total, all industries","45027","SC"
Colleton County,"2019","First Quarter(p)","768","10564","-1.2","654","3.8","Total, all industries","45029","SC"
Darlington County,"2019","First Quarter(p)","1082","20701","-1.7","1011","6.5","Total, all industries","45031","SC"
Dillon County,"2019","First Quarter(p)","483","9156","3.2","627","5.4","Total, all industries","45033","SC"
Dorchester County,"2019","First Quarter(p)","2493","35996","0.2","734","3.1","Total, all industries","45035","SC"
Edgefield County,"2019","First Quarter(p)","351","5281","0.2","734","-2.8","Total, all industries","45037","SC"
Fairfield County,"2019","First Quarter(p)","361","5452","-8.4","999","0.5","Total, all industries","45039","SC"
Florence County,"2019","First Quarter(p)","3284","65849","1.9","760","4.8","Total, all industries","45041","SC"
Georgetown County,"2019","First Quarter(p)","1886","23647","0.9","858","13.5","Total, all industries","45043","SC"
Greenville County,"2019","First Quarter(p)","15105","277335","2.0","942","1.0","Total, all industries","45045","SC"
Greenwood County,"2019","First Quarter(p)","1429","29336","2.9","782","3.2","Total, all industries","45047","SC"
Hampton County,"2019","First Quarter(p)","379","4651","-2.0","721","2.6","Total, all industries","45049","SC"
Horry County,"2019","First Quarter(p)","9585","129604","2.2","652","3.5","Total, all industries","45051","SC"
Jasper County,"2019","First Quarter(p)","744","9827","1.3","751","4.7","Total, all industries","45053","SC"
Kershaw County,"2019","First Quarter(p)","1284","17644","2.1","728","1.7","Total, all industries","45055","SC"
Lancaster County,"2019","First Quarter(p)","1403","25393","3.6","945","-0.4","Total, all industries","45057","SC"
Laurens County,"2019","First Quarter(p)","885","21556","-3.5","780","-2.0","Total, all industries","45059","SC"
Lee County,"2019","First Quarter(p)","281","3681","-1.1","702","0.3","Total, all industries","45061","SC"
Lexington County,"2019","First Quarter(p)","7030","119727","1.0","851","6.0","Total, all industries","45063","SC"
McCormick County,"2019","First Quarter(p)","135","1692","-3.6","690","1.5","Total, all industries","45065","SC"
Marion County,"2019","First Quarter(p)","513","6931","1.6","636","5.3","Total, all industries","45067","SC"
Marlboro County,"2019","First Quarter(p)","364","6892","1.5","886","-5.8","Total, all industries","45069","SC"
Newberry County,"2019","First Quarter(p)","819","14712","2.0","758","7.4","Total, all industries","45071","SC"
Oconee County,"2019","First Quarter(p)","1665","24256","1.8","997","4.9","Total, all industries","45073","SC"
Orangeburg County,"2019","First Quarter(p)","1684","29177","1.0","750","-0.3","Total, all industries","45075","SC"
Pickens County,"2019","First Quarter(p)","2346","36957","1.5","791","2.9","Total, all industries","45077","SC"
Richland County,"2019","First Quarter(p)","10663","223982","0.8","966","2.2","Total, all industries","45079","SC"
Saluda County,"2019","First Quarter(p)","272","4646","0.6","648","6.1","Total, all industries","45081","SC"
Spartanburg County,"2019","First Quarter(p)","6594","145268","3.0","928","0.1","Total, all industries","45083","SC"
Sumter County,"2019","First Quarter(p)","2077","37144","-1.3","762","4.5","Total, all industries","45085","SC"
Union County,"2019","First Quarter(p)","450","8546","11.1","767","1.6","Total, all industries","45087","SC"
Williamsburg County,"2019","First Quarter(p)","604","9171","-0.6","718","1.7","Total, all industries","45089","SC"
York County,"2019","First Quarter(p)","6329","98494","5.2","972","3.7","Total, all industries","45091","SC"
 
