"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Aurora County,"2019","First Quarter(p)","106","928","0.3","644","0.8","Total, all industries","46003","SD"
Beadle County,"2019","First Quarter(p)","665","8475","0.1","814","1.5","Total, all industries","46005","SD"
Bennett County,"2019","First Quarter(p)","88","813","-3.9","602","-2.4","Total, all industries","46007","SD"
Bon Homme County,"2019","First Quarter(p)","215","1680","-2.4","667","2.9","Total, all industries","46009","SD"
Brookings County,"2019","First Quarter(p)","1085","18296","-1.6","852","2.0","Total, all industries","46011","SD"
Brown County,"2019","First Quarter(p)","1466","20100","-1.7","830","2.6","Total, all industries","46013","SD"
Brule County,"2019","First Quarter(p)","268","1804","-2.2","608","-0.2","Total, all industries","46015","SD"
Buffalo County,"2019","First Quarter(p)","28","499","-2.5","750","1.6","Total, all industries","46017","SD"
Butte County,"2019","First Quarter(p)","397","2820","-0.9","645","4.4","Total, all industries","46019","SD"
Campbell County,"2019","First Quarter(p)","70","413","-2.8","694","8.9","Total, all industries","46021","SD"
Charles Mix County,"2019","First Quarter(p)","349","3233","-0.7","666","2.5","Total, all industries","46023","SD"
Clark County,"2019","First Quarter(p)","176","988","-0.1","595","3.8","Total, all industries","46025","SD"
Clay County,"2019","First Quarter(p)","402","6037","3.1","718","1.0","Total, all industries","46027","SD"
Codington County,"2019","First Quarter(p)","1226","15800","0.2","802","1.0","Total, all industries","46029","SD"
Corson County,"2019","First Quarter(p)","65","798","-5.2","673","0.7","Total, all industries","46031","SD"
Custer County,"2019","First Quarter(p)","340","1948","-0.2","725","1.5","Total, all industries","46033","SD"
Davison County,"2019","First Quarter(p)","824","11974","0.5","787","2.9","Total, all industries","46035","SD"
Day County,"2019","First Quarter(p)","244","1787","-2.2","622","-0.2","Total, all industries","46037","SD"
Deuel County,"2019","First Quarter(p)","176","1175","-5.3","800","8.0","Total, all industries","46039","SD"
Dewey County,"2019","First Quarter(p)","138","2209","3.3","755","-2.7","Total, all industries","46041","SD"
Douglas County,"2019","First Quarter(p)","128","1071","4.9","634","1.3","Total, all industries","46043","SD"
Edmunds County,"2019","First Quarter(p)","177","1136","-2.2","741","3.8","Total, all industries","46045","SD"
Fall River County,"2019","First Quarter(p)","298","2375","-0.2","719","1.6","Total, all industries","46047","SD"
Faulk County,"2019","First Quarter(p)","102","572","-7.1","660","5.1","Total, all industries","46049","SD"
Grant County,"2019","First Quarter(p)","359","3728","1.6","790","2.5","Total, all industries","46051","SD"
Gregory County,"2019","First Quarter(p)","233","1413","-0.7","614","2.8","Total, all industries","46053","SD"
Haakon County,"2019","First Quarter(p)","102","727","-4.0","738","3.2","Total, all industries","46055","SD"
Hamlin County,"2019","First Quarter(p)","248","1973","8.0","739","-0.4","Total, all industries","46057","SD"
Hand County,"2019","First Quarter(p)","165","1316","-0.8","639","6.3","Total, all industries","46059","SD"
Hanson County,"2019","First Quarter(p)","97","602","-0.5","726","4.6","Total, all industries","46061","SD"
Harding County,"2019","First Quarter(p)","72","440","-3.3","892","16.8","Total, all industries","46063","SD"
Hughes County,"2019","First Quarter(p)","870","10461","-0.4","877","1.0","Total, all industries","46065","SD"
Hutchinson County,"2019","First Quarter(p)","269","2572","1.4","700","2.5","Total, all industries","46067","SD"
Hyde County,"2019","First Quarter(p)","69","558","1.1","729","0.3","Total, all industries","46069","SD"
Jackson County,"2019","First Quarter(p)","83","619","1.0","584","-0.5","Total, all industries","46071","SD"
Jerauld County,"2019","First Quarter(p)","108","1425","-2.1","781","6.4","Total, all industries","46073","SD"
Jones County,"2019","First Quarter(p)","69","372","-3.6","619","2.0","Total, all industries","46075","SD"
Kingsbury County,"2019","First Quarter(p)","214","1728","4.3","713","-1.0","Total, all industries","46077","SD"
Lake County,"2019","First Quarter(p)","477","5017","0.2","806","0.9","Total, all industries","46079","SD"
Lawrence County,"2019","First Quarter(p)","1243","11416","-0.4","718","2.6","Total, all industries","46081","SD"
Lincoln County,"2019","First Quarter(p)","2038","22940","3.8","1039","7.7","Total, all industries","46083","SD"
Lyman County,"2019","First Quarter(p)","126","1250","-2.8","578","3.8","Total, all industries","46085","SD"
McCook County,"2019","First Quarter(p)","225","1242","1.6","700","1.3","Total, all industries","46087","SD"
McPherson County,"2019","First Quarter(p)","88","553","-2.1","640","-2.0","Total, all industries","46089","SD"
Marshall County,"2019","First Quarter(p)","198","1506","-2.5","839","5.5","Total, all industries","46091","SD"
Meade County,"2019","First Quarter(p)","838","7082","3.8","788","2.6","Total, all industries","46093","SD"
Mellette County,"2019","First Quarter(p)","44","325","-3.6","517","3.2","Total, all industries","46095","SD"
Miner County,"2019","First Quarter(p)","107","721","-3.7","650","1.7","Total, all industries","46097","SD"
Minnehaha County,"2019","First Quarter(p)","7548","126270","0.8","967","2.0","Total, all industries","46099","SD"
Moody County,"2019","First Quarter(p)","216","2625","5.1","721","-1.0","Total, all industries","46101","SD"
Oglala Lakota County,"2019","First Quarter(p)","120","3606","-1.5","779","-1.3","Total, all industries","46102","SD"
Pennington County,"2019","First Quarter(p)","4589","55263","-0.6","851","3.5","Total, all industries","46103","SD"
Perkins County,"2019","First Quarter(p)","143","1086","0.1","616","0.2","Total, all industries","46105","SD"
Potter County,"2019","First Quarter(p)","136","748","-3.9","744","5.1","Total, all industries","46107","SD"
Roberts County,"2019","First Quarter(p)","299","3435","-2.6","676","2.7","Total, all industries","46109","SD"
Sanborn County,"2019","First Quarter(p)","84","549","3.0","639","3.7","Total, all industries","46111","SD"
Spink County,"2019","First Quarter(p)","277","2291","-2.3","736","3.1","Total, all industries","46115","SD"
Stanley County,"2019","First Quarter(p)","146","1084","-5.9","642","2.1","Total, all industries","46117","SD"
Sully County,"2019","First Quarter(p)","95","729","40.2","945","36.2","Total, all industries","46119","SD"
Todd County,"2019","First Quarter(p)","102","2992","3.5","686","-6.5","Total, all industries","46121","SD"
Tripp County,"2019","First Quarter(p)","264","2215","3.1","647","-1.5","Total, all industries","46123","SD"
Turner County,"2019","First Quarter(p)","314","1984","-1.7","672","3.1","Total, all industries","46125","SD"
Union County,"2019","First Quarter(p)","708","9924","2.0","1009","1.5","Total, all industries","46127","SD"
Walworth County,"2019","First Quarter(p)","256","1971","-7.2","658","1.9","Total, all industries","46129","SD"
Yankton County,"2019","First Quarter(p)","834","12733","0.6","867","3.3","Total, all industries","46135","SD"
Ziebach County,"2019","First Quarter(p)","34","288","-6.8","672","2.6","Total, all industries","46137","SD"
 
