"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Anderson County,"2019","First Quarter(p)","1707","39501","1.8","1168","3.6","Total, all industries","47001","TN"
Bedford County,"2019","First Quarter(p)","879","16274","-1.4","736","-0.1","Total, all industries","47003","TN"
Benton County,"2019","First Quarter(p)","328","4205","2.5","652","0.2","Total, all industries","47005","TN"
Bledsoe County,"2019","First Quarter(p)","150","2189","1.2","674","4.8","Total, all industries","47007","TN"
Blount County,"2019","First Quarter(p)","2544","50416","3.2","895","-0.9","Total, all industries","47009","TN"
Bradley County,"2019","First Quarter(p)","1944","41753","0.8","813","3.8","Total, all industries","47011","TN"
Campbell County,"2019","First Quarter(p)","665","9031","-1.7","679","1.0","Total, all industries","47013","TN"
Cannon County,"2019","First Quarter(p)","214","2218","-1.5","653","6.0","Total, all industries","47015","TN"
Carroll County,"2019","First Quarter(p)","475","6836","-4.9","651","-12.4","Total, all industries","47017","TN"
Carter County,"2019","First Quarter(p)","702","11360","1.4","675","3.5","Total, all industries","47019","TN"
Cheatham County,"2019","First Quarter(p)","687","8552","0.0","890","6.3","Total, all industries","47021","TN"
Chester County,"2019","First Quarter(p)","271","3720","1.2","651","3.8","Total, all industries","47023","TN"
Claiborne County,"2019","First Quarter(p)","517","9226","1.0","662","-1.3","Total, all industries","47025","TN"
Clay County,"2019","First Quarter(p)","140","1409","-3.4","600","5.6","Total, all industries","47027","TN"
Cocke County,"2019","First Quarter(p)","512","7714","1.1","664","0.5","Total, all industries","47029","TN"
Coffee County,"2019","First Quarter(p)","1312","27058","3.1","900","6.0","Total, all industries","47031","TN"
Crockett County,"2019","First Quarter(p)","270","3612","-1.6","777","-1.4","Total, all industries","47033","TN"
Cumberland County,"2019","First Quarter(p)","1189","17515","-1.2","648","0.8","Total, all industries","47035","TN"
Davidson County,"2019","First Quarter(p)","24316","503719","3.2","1222","-0.3","Total, all industries","47037","TN"
Decatur County,"2019","First Quarter(p)","235","3358","-7.4","718","-0.4","Total, all industries","47039","TN"
DeKalb County,"2019","First Quarter(p)","357","5701","-2.1","742","3.8","Total, all industries","47041","TN"
Dickson County,"2019","First Quarter(p)","1088","18037","3.2","740","1.6","Total, all industries","47043","TN"
Dyer County,"2019","First Quarter(p)","846","15484","2.1","773","1.0","Total, all industries","47045","TN"
Fayette County,"2019","First Quarter(p)","635","7967","2.6","863","3.2","Total, all industries","47047","TN"
Fentress County,"2019","First Quarter(p)","300","5199","8.6","594","2.1","Total, all industries","47049","TN"
Franklin County,"2019","First Quarter(p)","813","11590","1.8","728","3.9","Total, all industries","47051","TN"
Gibson County,"2019","First Quarter(p)","986","14395","2.2","700","1.2","Total, all industries","47053","TN"
Giles County,"2019","First Quarter(p)","633","10189","-4.6","743","1.4","Total, all industries","47055","TN"
Grainger County,"2019","First Quarter(p)","284","3796","-0.5","714","-0.7","Total, all industries","47057","TN"
Greene County,"2019","First Quarter(p)","1234","25063","-1.3","743","2.9","Total, all industries","47059","TN"
Grundy County,"2019","First Quarter(p)","184","2145","4.1","524","5.0","Total, all industries","47061","TN"
Hamblen County,"2019","First Quarter(p)","1359","32105","2.6","783","3.7","Total, all industries","47063","TN"
Hamilton County,"2019","First Quarter(p)","10197","206358","1.5","996","3.4","Total, all industries","47065","TN"
Hancock County,"2019","First Quarter(p)","69","944","12.2","504","-3.1","Total, all industries","47067","TN"
Hardeman County,"2019","First Quarter(p)","386","6831","3.4","743","-3.5","Total, all industries","47069","TN"
Hardin County,"2019","First Quarter(p)","544","8090","0.5","865","2.2","Total, all industries","47071","TN"
Hawkins County,"2019","First Quarter(p)","720","12878","-1.5","796","-0.7","Total, all industries","47073","TN"
Haywood County,"2019","First Quarter(p)","336","4819","-3.2","773","3.3","Total, all industries","47075","TN"
Henderson County,"2019","First Quarter(p)","526","7997","2.3","795","0.8","Total, all industries","47077","TN"
Henry County,"2019","First Quarter(p)","762","11474","-0.2","737","0.3","Total, all industries","47079","TN"
Hickman County,"2019","First Quarter(p)","319","3645","-1.3","705","3.2","Total, all industries","47081","TN"
Houston County,"2019","First Quarter(p)","122","1511","2.6","607","2.4","Total, all industries","47083","TN"
Humphreys County,"2019","First Quarter(p)","356","5962","3.2","978","-3.5","Total, all industries","47085","TN"
Jackson County,"2019","First Quarter(p)","127","1388","-3.1","611","0.8","Total, all industries","47087","TN"
Jefferson County,"2019","First Quarter(p)","774","13354","1.1","790","2.3","Total, all industries","47089","TN"
Johnson County,"2019","First Quarter(p)","267","4162","-2.8","766","0.3","Total, all industries","47091","TN"
Knox County,"2019","First Quarter(p)","12951","239672","1.0","952","-3.1","Total, all industries","47093","TN"
Lake County,"2019","First Quarter(p)","115","1635","-6.1","659","6.6","Total, all industries","47095","TN"
Lauderdale County,"2019","First Quarter(p)","371","6586","-1.2","732","0.5","Total, all industries","47097","TN"
Lawrence County,"2019","First Quarter(p)","764","10796","4.4","673","1.2","Total, all industries","47099","TN"
Lewis County,"2019","First Quarter(p)","221","2647","0.0","592","2.6","Total, all industries","47101","TN"
Lincoln County,"2019","First Quarter(p)","645","10370","3.3","708","4.6","Total, all industries","47103","TN"
Loudon County,"2019","First Quarter(p)","1038","15913","5.0","837","1.8","Total, all industries","47105","TN"
McMinn County,"2019","First Quarter(p)","931","19017","5.7","859","5.4","Total, all industries","47107","TN"
McNairy County,"2019","First Quarter(p)","447","5493","-1.5","636","1.0","Total, all industries","47109","TN"
Macon County,"2019","First Quarter(p)","362","4995","-0.3","637","1.3","Total, all industries","47111","TN"
Madison County,"2019","First Quarter(p)","2544","59447","1.6","835","1.7","Total, all industries","47113","TN"
Marion County,"2019","First Quarter(p)","482","7333","-3.9","725","1.4","Total, all industries","47115","TN"
Marshall County,"2019","First Quarter(p)","555","9882","1.9","795","1.1","Total, all industries","47117","TN"
Maury County,"2019","First Quarter(p)","2081","37099","7.3","954","1.1","Total, all industries","47119","TN"
Meigs County,"2019","First Quarter(p)","122","2208","2.6","743","4.1","Total, all industries","47121","TN"
Monroe County,"2019","First Quarter(p)","752","14437","0.8","755","2.7","Total, all industries","47123","TN"
Montgomery County,"2019","First Quarter(p)","3282","55377","2.5","754","4.1","Total, all industries","47125","TN"
