"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Anderson County,"2019","First Quarter(p)","1605","20636","3.3","860","3.0","Total, all industries","48001","TX"
Andrews County,"2019","First Quarter(p)","527","8067","10.1","1318","4.5","Total, all industries","48003","TX"
Angelina County,"2019","First Quarter(p)","1887","35277","-0.1","773","0.1","Total, all industries","48005","TX"
Aransas County,"2019","First Quarter(p)","608","5520","6.6","761","-0.4","Total, all industries","48007","TX"
Archer County,"2019","First Quarter(p)","259","1760","-1.9","726","1.4","Total, all industries","48009","TX"
Armstrong County,"2019","First Quarter(p)","65","395","2.9","852","16.1","Total, all industries","48011","TX"
Atascosa County,"2019","First Quarter(p)","919","14174","6.9","1078","14.0","Total, all industries","48013","TX"
Austin County,"2019","First Quarter(p)","1130","10341","3.2","924","2.6","Total, all industries","48015","TX"
Bailey County,"2019","First Quarter(p)","253","2508","-3.4","762","1.3","Total, all industries","48017","TX"
Bandera County,"2019","First Quarter(p)","472","3431","3.4","675","1.7","Total, all industries","48019","TX"
Bastrop County,"2019","First Quarter(p)","1512","18567","-0.8","763","4.2","Total, all industries","48021","TX"
Baylor County,"2019","First Quarter(p)","172","1371","19.5","632","-2.5","Total, all industries","48023","TX"
Bee County,"2019","First Quarter(p)","576","8975","0.1","693","-5.7","Total, all industries","48025","TX"
Bell County,"2019","First Quarter(p)","5687","119726","1.3","917","4.9","Total, all industries","48027","TX"
Bexar County,"2019","First Quarter(p)","42776","868116","0.7","1025","1.6","Total, all industries","48029","TX"
Blanco County,"2019","First Quarter(p)","408","3323","5.8","870","-7.7","Total, all industries","48031","TX"
Borden County,"2019","First Quarter(p)","64","236","9.3","781","5.7","Total, all industries","48033","TX"
Bosque County,"2019","First Quarter(p)","385","3711","1.1","815","9.0","Total, all industries","48035","TX"
Bowie County,"2019","First Quarter(p)","2404","41840","0.9","761","2.0","Total, all industries","48037","TX"
Brazoria County,"2019","First Quarter(p)","6120","115589","4.3","1211","0.4","Total, all industries","48039","TX"
Brazos County,"2019","First Quarter(p)","4705","108816","2.8","803","-0.4","Total, all industries","48041","TX"
Brewster County,"2019","First Quarter(p)","387","4162","6.8","751","-1.3","Total, all industries","48043","TX"
Briscoe County,"2019","First Quarter(p)","80","351","15.5","610","-10.9","Total, all industries","48045","TX"
Brooks County,"2019","First Quarter(p)","172","2595","4.6","807","-2.9","Total, all industries","48047","TX"
Brown County,"2019","First Quarter(p)","895","15874","-0.7","731","-2.0","Total, all industries","48049","TX"
Burleson County,"2019","First Quarter(p)","425","4676","6.8","954","11.7","Total, all industries","48051","TX"
Burnet County,"2019","First Quarter(p)","1362","14781","3.6","825","1.2","Total, all industries","48053","TX"
