"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Beaver County,"2019","First Quarter(p)","238","2854","2.2","661","3.9","Total, all industries","49001","UT"
Box Elder County,"2019","First Quarter(p)","1434","21435","4.6","768","4.8","Total, all industries","49003","UT"
Cache County,"2019","First Quarter(p)","3728","57036","3.6","719","3.2","Total, all industries","49005","UT"
Carbon County,"2019","First Quarter(p)","602","8387","1.5","850","4.4","Total, all industries","49007","UT"
Daggett County,"2019","First Quarter(p)","46","306","7.4","643","-8.7","Total, all industries","49009","UT"
Davis County,"2019","First Quarter(p)","8854","129875","2.1","887","2.4","Total, all industries","49011","UT"
Duchesne County,"2019","First Quarter(p)","803","7710","0.2","915","2.6","Total, all industries","49013","UT"
Emery County,"2019","First Quarter(p)","258","3366","5.4","850","1.9","Total, all industries","49015","UT"
Garfield County,"2019","First Quarter(p)","261","2058","3.9","651","10.3","Total, all industries","49017","UT"
Grand County,"2019","First Quarter(p)","596","5789","1.7","636","1.6","Total, all industries","49019","UT"
Iron County,"2019","First Quarter(p)","1700","19371","7.0","635","1.3","Total, all industries","49021","UT"
Juab County,"2019","First Quarter(p)","300","3738","1.8","685","3.3","Total, all industries","49023","UT"
Kane County,"2019","First Quarter(p)","340","3355","0.4","605","-0.8","Total, all industries","49025","UT"
Millard County,"2019","First Quarter(p)","400","4650","-2.7","747","-0.3","Total, all industries","49027","UT"
Morgan County,"2019","First Quarter(p)","362","2566","6.2","802","-0.1","Total, all industries","49029","UT"
Piute County,"2019","First Quarter(p)","46","282","2.9","507","1.0","Total, all industries","49031","UT"
Rich County,"2019","First Quarter(p)","129","682","1.0","543","2.3","Total, all industries","49033","UT"
Salt Lake County,"2019","First Quarter(p)","47432","709957","2.7","1130","4.3","Total, all industries","49035","UT"
San Juan County,"2019","First Quarter(p)","356","4228","3.2","682","0.0","Total, all industries","49037","UT"
Sanpete County,"2019","First Quarter(p)","644","8244","4.2","618","0.8","Total, all industries","49039","UT"
Sevier County,"2019","First Quarter(p)","709","8946","2.5","719","2.1","Total, all industries","49041","UT"
Summit County,"2019","First Quarter(p)","2986","31009","3.1","892","0.0","Total, all industries","49043","UT"
Tooele County,"2019","First Quarter(p)","1180","16293","2.7","792","3.1","Total, all industries","49045","UT"
Uintah County,"2019","First Quarter(p)","1255","12862","2.1","846","-3.0","Total, all industries","49047","UT"
Utah County,"2019","First Quarter(p)","17501","248642","3.8","938","1.0","Total, all industries","49049","UT"
Wasatch County,"2019","First Quarter(p)","1197","9686","9.5","829","11.3","Total, all industries","49051","UT"
Washington County,"2019","First Quarter(p)","6169","68888","3.7","717","0.3","Total, all industries","49053","UT"
Wayne County,"2019","First Quarter(p)","144","955","-0.3","632","5.7","Total, all industries","49055","UT"
Weber County,"2019","First Quarter(p)","6284","108277","2.0","823","2.0","Total, all industries","49057","UT"
 
