"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Accomack County,"2019","First Quarter(p)","1164","13093","-0.9","760","0.4","Total, all industries","51001","VA"
Albemarle County,"2019","First Quarter(p)","3867","57137","2.5","1123","5.5","Total, all industries","51003","VA"
Alleghany County,"2019","First Quarter(p)","363","3741","-0.2","652","-1.1","Total, all industries","51005","VA"
Amelia County,"2019","First Quarter(p)","425","2498","0.7","694","5.3","Total, all industries","51007","VA"
Amherst County,"2019","First Quarter(p)","800","8003","-1.5","739","2.1","Total, all industries","51009","VA"
Appomattox County,"2019","First Quarter(p)","522","3233","-0.6","560","2.2","Total, all industries","51011","VA"
Arlington County,"2019","First Quarter(p)","9338","179954","2.3","1966","2.2","Total, all industries","51013","VA"
Augusta County,"2019","First Quarter(p)","1925","28426","4.6","852","1.2","Total, all industries","51015","VA"
Bath County,"2019","First Quarter(p)","212","2079","-2.9","793","13.0","Total, all industries","51017","VA"
Bedford County,"2019","First Quarter(p)","2316","18613","0.2","755","3.9","Total, all industries","51019","VA"
Bland County,"2019","First Quarter(p)","132","1979","-0.6","863","0.9","Total, all industries","51021","VA"
Botetourt County,"2019","First Quarter(p)","900","11307","7.5","821","5.5","Total, all industries","51023","VA"
Brunswick County,"2019","First Quarter(p)","668","3550","-2.8","668","3.7","Total, all industries","51025","VA"
Buchanan County,"2019","First Quarter(p)","569","6466","-2.7","974","12.5","Total, all industries","51027","VA"
Buckingham County,"2019","First Quarter(p)","456","3218","-1.4","711","4.6","Total, all industries","51029","VA"
Campbell County,"2019","First Quarter(p)","1543","17298","1.4","1004","2.4","Total, all industries","51031","VA"
Caroline County,"2019","First Quarter(p)","619","5585","-0.3","749","-2.1","Total, all industries","51033","VA"
Carroll County,"2019","First Quarter(p)","635","6179","-4.5","605","1.2","Total, all industries","51035","VA"
Charles City County,"2019","First Quarter(p)","227","1568","-8.4","867","0.8","Total, all industries","51036","VA"
Charlotte County,"2019","First Quarter(p)","370","2820","0.4","660","2.8","Total, all industries","51037","VA"
Chesterfield County,"2019","First Quarter(p)","9624","134986","-1.1","937","-0.5","Total, all industries","51041","VA"
Clarke County,"2019","First Quarter(p)","474","3882","0.6","854","0.5","Total, all industries","51043","VA"
Craig County,"2019","First Quarter(p)","124","717","-0.3","662","7.5","Total, all industries","51045","VA"
Culpeper County,"2019","First Quarter(p)","1520","15904","0.4","811","1.5","Total, all industries","51047","VA"
Cumberland County,"2019","First Quarter(p)","232","1240","-6.7","609","-9.5","Total, all industries","51049","VA"
Dickenson County,"2019","First Quarter(p)","349","3340","3.7","784","1.2","Total, all industries","51051","VA"
Dinwiddie County,"2019","First Quarter(p)","497","8630","0.1","856","5.7","Total, all industries","51053","VA"
Essex County,"2019","First Quarter(p)","372","3709","-0.2","642","2.6","Total, all industries","51057","VA"
Fairfax County,"2019","First Quarter(p)","37586","613335","1.5","1837","2.1","Total, all industries","51059","VA"
Fauquier County,"2019","First Quarter(p)","2499","22037","-0.6","940","1.4","Total, all industries","51061","VA"
Floyd County,"2019","First Quarter(p)","497","3432","2.0","572","2.7","Total, all industries","51063","VA"
Fluvanna County,"2019","First Quarter(p)","606","4354","2.4","779","3.9","Total, all industries","51065","VA"
Franklin County,"2019","First Quarter(p)","1562","15021","-1.4","638","2.6","Total, all industries","51067","VA"
