"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Addison County,"2019","First Quarter(p)","1461","14621","0.9","946","3.7","Total, all industries","50001","VT"
Bennington County,"2019","First Quarter(p)","1562","17438","3.5","829","1.5","Total, all industries","50003","VT"
Caledonia County,"2019","First Quarter(p)","1013","10432","-0.5","789","3.5","Total, all industries","50005","VT"
Chittenden County,"2019","First Quarter(p)","7093","101221","0.8","1104","4.8","Total, all industries","50007","VT"
Essex County,"2019","First Quarter(p)","170","1076","-1.6","693","-2.8","Total, all industries","50009","VT"
Franklin County,"2019","First Quarter(p)","1286","17805","1.0","911","-1.9","Total, all industries","50011","VT"
Grand Isle County,"2019","First Quarter(p)","249","1048","2.0","720","1.6","Total, all industries","50013","VT"
Lamoille County,"2019","First Quarter(p)","1175","12519","0.5","770","3.9","Total, all industries","50015","VT"
Orange County,"2019","First Quarter(p)","837","7556","0.3","788","0.5","Total, all industries","50017","VT"
Orleans County,"2019","First Quarter(p)","927","10989","-0.6","726","2.8","Total, all industries","50019","VT"
Rutland County,"2019","First Quarter(p)","2349","26997","-0.4","912","6.2","Total, all industries","50021","VT"
Washington County,"2019","First Quarter(p)","2637","33376","0.2","1035","2.1","Total, all industries","50023","VT"
Windham County,"2019","First Quarter(p)","1945","22202","-1.2","806","4.8","Total, all industries","50025","VT"
Windsor County,"2019","First Quarter(p)","2404","23018","-1.0","898","3.0","Total, all industries","50027","VT"
 
