"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","839","7445","-6.1","786","5.8","Total, all industries","53001","WA"
Asotin County,"2019","First Quarter(p)","626","6292","0.1","753","2.7","Total, all industries","53003","WA"
Benton County,"2019","First Quarter(p)","5898","88351","0.7","1096","3.3","Total, all industries","53005","WA"
Chelan County,"2019","First Quarter(p)","3399","40991","-2.4","822","3.8","Total, all industries","53007","WA"
Clallam County,"2019","First Quarter(p)","2399","22865","0.0","795","3.4","Total, all industries","53009","WA"
Clark County,"2019","First Quarter(p)","15166","162159","1.4","1047","3.7","Total, all industries","53011","WA"
Columbia County,"2019","First Quarter(p)","237","1356","3.0","753","-1.4","Total, all industries","53013","WA"
Cowlitz County,"2019","First Quarter(p)","3017","38688","0.8","979","1.5","Total, all industries","53015","WA"
Douglas County,"2019","First Quarter(p)","1243","11186","-6.6","742","4.7","Total, all industries","53017","WA"
Ferry County,"2019","First Quarter(p)","298","1622","-1.5","751","1.8","Total, all industries","53019","WA"
Franklin County,"2019","First Quarter(p)","2740","32161","-3.1","842","3.8","Total, all industries","53021","WA"
Garfield County,"2019","First Quarter(p)","89","617","-4.3","977","8.1","Total, all industries","53023","WA"
Grant County,"2019","First Quarter(p)","3260","36797","-3.9","826","-0.4","Total, all industries","53025","WA"
Grays Harbor County,"2019","First Quarter(p)","2331","22813","0.0","814","4.6","Total, all industries","53027","WA"
Island County,"2019","First Quarter(p)","2061","16719","0.9","789","3.4","Total, all industries","53029","WA"
Jefferson County,"2019","First Quarter(p)","1149","8923","3.2","776","3.7","Total, all industries","53031","WA"
King County,"2019","First Quarter(p)","89676","1412334","2.8","1853","5.5","Total, all industries","53033","WA"
Kitsap County,"2019","First Quarter(p)","6880","90786","2.4","988","3.2","Total, all industries","53035","WA"
Kittitas County,"2019","First Quarter(p)","1403","14702","0.3","824","5.4","Total, all industries","53037","WA"
Klickitat County,"2019","First Quarter(p)","800","7063","-1.4","1097","-1.6","Total, all industries","53039","WA"
Lewis County,"2019","First Quarter(p)","2445","26260","0.2","834","4.0","Total, all industries","53041","WA"
Lincoln County,"2019","First Quarter(p)","522","2639","-4.3","743","3.5","Total, all industries","53043","WA"
Mason County,"2019","First Quarter(p)","1379","14057","0.3","821","3.8","Total, all industries","53045","WA"
Okanogan County,"2019","First Quarter(p)","1887","15437","-2.9","672","3.2","Total, all industries","53047","WA"
Pacific County,"2019","First Quarter(p)","816","6255","0.7","730","2.4","Total, all industries","53049","WA"
Pend Oreille County,"2019","First Quarter(p)","407","3183","3.7","946","0.6","Total, all industries","53051","WA"
Pierce County,"2019","First Quarter(p)","22845","312590","2.1","1032","5.3","Total, all industries","53053","WA"
San Juan County,"2019","First Quarter(p)","1011","5502","3.4","701","2.5","Total, all industries","53055","WA"
Skagit County,"2019","First Quarter(p)","4052","52045","2.8","1008","5.8","Total, all industries","53057","WA"
Skamania County,"2019","First Quarter(p)","269","1959","-3.8","740","9.5","Total, all industries","53059","WA"
Snohomish County,"2019","First Quarter(p)","21689","289650","1.9","1309","2.6","Total, all industries","53061","WA"
Spokane County,"2019","First Quarter(p)","16365","223918","1.4","962","2.8","Total, all industries","53063","WA"
Stevens County,"2019","First Quarter(p)","1185","10524","0.5","752","2.9","Total, all industries","53065","WA"
Thurston County,"2019","First Quarter(p)","8448","117780","1.8","1034","5.3","Total, all industries","53067","WA"
Wahkiakum County,"2019","First Quarter(p)","127","747","4.3","712","2.6","Total, all industries","53069","WA"
Walla Walla County,"2019","First Quarter(p)","2145","26788","1.3","856","-0.3","Total, all industries","53071","WA"
Whatcom County,"2019","First Quarter(p)","7331","91775","1.9","958","3.7","Total, all industries","53073","WA"
Whitman County,"2019","First Quarter(p)","1266","18733","1.5","964","3.9","Total, all industries","53075","WA"
Yakima County,"2019","First Quarter(p)","7778","108170","-2.8","773","1.8","Total, all industries","53077","WA"
 
