"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Adams County,"2019","First Quarter(p)","342","4068","-2.7","705","-0.8","Total, all industries","55001","WI"
Ashland County,"2019","First Quarter(p)","601","7854","-0.4","747","3.6","Total, all industries","55003","WI"
Barron County,"2019","First Quarter(p)","1497","21563","-2.1","740","2.1","Total, all industries","55005","WI"
Bayfield County,"2019","First Quarter(p)","526","3760","0.2","591","0.9","Total, all industries","55007","WI"
Brown County,"2019","First Quarter(p)","7229","157491","0.4","1012","1.7","Total, all industries","55009","WI"
Buffalo County,"2019","First Quarter(p)","382","3704","0.8","826","14.4","Total, all industries","55011","WI"
Burnett County,"2019","First Quarter(p)","433","4459","-2.6","643","2.7","Total, all industries","55013","WI"
Calumet County,"2019","First Quarter(p)","832","14130","4.1","775","3.5","Total, all industries","55015","WI"
Chippewa County,"2019","First Quarter(p)","1675","23848","0.2","796","1.7","Total, all industries","55017","WI"
Clark County,"2019","First Quarter(p)","894","11049","0.5","730","1.2","Total, all industries","55019","WI"
Columbia County,"2019","First Quarter(p)","1666","21978","-0.2","807","3.2","Total, all industries","55021","WI"
Crawford County,"2019","First Quarter(p)","455","7038","-2.5","691","0.6","Total, all industries","55023","WI"
Dane County,"2019","First Quarter(p)","16305","335477","1.0","1203","5.1","Total, all industries","55025","WI"
Dodge County,"2019","First Quarter(p)","1913","34625","-0.5","912","3.5","Total, all industries","55027","WI"
Door County,"2019","First Quarter(p)","1295","12049","-0.5","695","1.2","Total, all industries","55029","WI"
Douglas County,"2019","First Quarter(p)","1150","15748","-0.5","827","3.8","Total, all industries","55031","WI"
Dunn County,"2019","First Quarter(p)","1040","17577","0.7","786","-0.5","Total, all industries","55033","WI"
Eau Claire County,"2019","First Quarter(p)","2887","57976","-0.3","918","0.4","Total, all industries","55035","WI"
Florence County,"2019","First Quarter(p)","140","1030","0.6","533","1.9","Total, all industries","55037","WI"
Fond Du Lac County,"2019","First Quarter(p)","2412","46967","1.2","917","3.9","Total, all industries","55039","WI"
Forest County,"2019","First Quarter(p)","302","3150","3.4","715","1.0","Total, all industries","55041","WI"
Grant County,"2019","First Quarter(p)","1416","17766","0.0","731","2.0","Total, all industries","55043","WI"
Green County,"2019","First Quarter(p)","1037","15360","-0.8","766","3.0","Total, all industries","55045","WI"
Green Lake County,"2019","First Quarter(p)","507","5593","-3.4","756","8.9","Total, all industries","55047","WI"
Iowa County,"2019","First Quarter(p)","670","9793","0.2","823","3.3","Total, all industries","55049","WI"
Iron County,"2019","First Quarter(p)","225","1606","-0.1","603","5.8","Total, all industries","55051","WI"
Jackson County,"2019","First Quarter(p)","494","8443","-1.6","802","0.0","Total, all industries","55053","WI"
Jefferson County,"2019","First Quarter(p)","2130","32749","0.7","800","4.3","Total, all industries","55055","WI"
Juneau County,"2019","First Quarter(p)","667","9133","-0.4","782","-1.1","Total, all industries","55057","WI"
Kenosha County,"2019","First Quarter(p)","3661","65819","-0.3","863","4.6","Total, all industries","55059","WI"
Kewaunee County,"2019","First Quarter(p)","559","6684","-4.4","755","-0.1","Total, all industries","55061","WI"
La Crosse County,"2019","First Quarter(p)","3190","69051","-0.6","876","1.9","Total, all industries","55063","WI"
Lafayette County,"2019","First Quarter(p)","465","4241","-1.2","689","2.4","Total, all industries","55065","WI"
Langlade County,"2019","First Quarter(p)","637","7352","0.1","668","2.5","Total, all industries","55067","WI"
Lincoln County,"2019","First Quarter(p)","770","10753","-2.0","831","-1.9","Total, all industries","55069","WI"
Manitowoc County,"2019","First Quarter(p)","1884","33117","0.5","851","-1.0","Total, all industries","55071","WI"
Marathon County,"2019","First Quarter(p)","3566","71025","0.5","900","2.5","Total, all industries","55073","WI"
Marinette County,"2019","First Quarter(p)","1203","18034","-0.7","813","3.2","Total, all industries","55075","WI"
Marquette County,"2019","First Quarter(p)","368","3786","0.3","869","15.4","Total, all industries","55077","WI"
Menominee County,"2019","First Quarter(p)","101","2037","-1.0","627","2.3","Total, all industries","55078","WI"
Milwaukee County,"2019","First Quarter(p)","27505","484264","-0.6","1095","0.2","Total, all industries","55079","WI"
Monroe County,"2019","First Quarter(p)","1158","20669","0.1","816","1.5","Total, all industries","55081","WI"
Oconto County,"2019","First Quarter(p)","806","8600","-1.5","680","3.8","Total, all industries","55083","WI"
Oneida County,"2019","First Quarter(p)","1451","15540","-1.0","813","-0.1","Total, all industries","55085","WI"
Outagamie County,"2019","First Quarter(p)","5518","107205","0.7","946","1.7","Total, all industries","55087","WI"
Ozaukee County,"2019","First Quarter(p)","3000","41863","-0.7","938","1.7","Total, all industries","55089","WI"
Pepin County,"2019","First Quarter(p)","279","2154","0.7","749","3.5","Total, all industries","55091","WI"
Pierce County,"2019","First Quarter(p)","941","10179","-1.2","732","-2.0","Total, all industries","55093","WI"
Polk County,"2019","First Quarter(p)","1204","15616","0.2","709","0.9","Total, all industries","55095","WI"
Portage County,"2019","First Quarter(p)","1788","33201","-0.5","908","0.9","Total, all industries","55097","WI"
Price County,"2019","First Quarter(p)","468","5256","-1.9","756","4.0","Total, all industries","55099","WI"
Racine County,"2019","First Quarter(p)","4607","74360","-0.2","944","1.0","Total, all industries","55101","WI"
Richland County,"2019","First Quarter(p)","471","5787","0.9","687","0.7","Total, all industries","55103","WI"
Rock County,"2019","First Quarter(p)","3590","66742","1.1","968","6.6","Total, all industries","55105","WI"
Rusk County,"2019","First Quarter(p)","373","4891","-4.8","687","4.2","Total, all industries","55107","WI"
St. Croix County,"2019","First Quarter(p)","2469","33542","0.0","807","3.6","Total, all industries","55109","WI"
Sauk County,"2019","First Quarter(p)","2048","35952","1.0","766","3.4","Total, all industries","55111","WI"
Sawyer County,"2019","First Quarter(p)","701","6528","1.2","710","4.3","Total, all industries","55113","WI"
Shawano County,"2019","First Quarter(p)","1055","12390","0.4","665","3.1","Total, all industries","55115","WI"
Sheboygan County,"2019","First Quarter(p)","2895","60455","0.3","1022","5.9","Total, all industries","55117","WI"
Taylor County,"2019","First Quarter(p)","521","7976","-0.3","725","2.7","Total, all industries","55119","WI"
Trempealeau County,"2019","First Quarter(p)","805","13533","-2.5","795","1.8","Total, all industries","55121","WI"
Vernon County,"2019","First Quarter(p)","722","8684","0.8","683","1.0","Total, all industries","55123","WI"
Vilas County,"2019","First Quarter(p)","1006","7357","2.5","637","2.4","Total, all industries","55125","WI"
Walworth County,"2019","First Quarter(p)","3016","41181","-0.1","761","0.8","Total, all industries","55127","WI"
Washburn County,"2019","First Quarter(p)","604","5553","-0.5","695","3.6","Total, all industries","55129","WI"
Washington County,"2019","First Quarter(p)","3575","56244","1.0","897","2.3","Total, all industries","55131","WI"
Waukesha County,"2019","First Quarter(p)","13678","241693","0.7","1167","2.2","Total, all industries","55133","WI"
Waupaca County,"2019","First Quarter(p)","1348","19300","0.1","743","3.3","Total, all industries","55135","WI"
Waushara County,"2019","First Quarter(p)","525","6035","1.1","673","6.8","Total, all industries","55137","WI"
Winnebago County,"2019","First Quarter(p)","3918","91991","-1.2","1053","4.7","Total, all industries","55139","WI"
Wood County,"2019","First Quarter(p)","2040","37823","-0.1","897","4.3","Total, all industries","55141","WI"
 
