"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Barbour County,"2019","First Quarter(p)","284","3648","6.6","774","6.6","Total, all industries","54001","WV"
Berkeley County,"2019","First Quarter(p)","2086","34956","1.4","816","1.5","Total, all industries","54003","WV"
Boone County,"2019","First Quarter(p)","398","4717","-1.2","821","-2.5","Total, all industries","54005","WV"
Braxton County,"2019","First Quarter(p)","342","3733","0.4","657","2.8","Total, all industries","54007","WV"
Brooke County,"2019","First Quarter(p)","485","7512","-2.6","781","-2.7","Total, all industries","54009","WV"
Cabell County,"2019","First Quarter(p)","2792","52163","0.4","854","3.9","Total, all industries","54011","WV"
Calhoun County,"2019","First Quarter(p)","133","1119","-2.9","718","-7.2","Total, all industries","54013","WV"
Clay County,"2019","First Quarter(p)","137","1315","2.7","573","2.3","Total, all industries","54015","WV"
Doddridge County,"2019","First Quarter(p)","112","1600","-2.0","1224","2.9","Total, all industries","54017","WV"
Fayette County,"2019","First Quarter(p)","983","10005","-0.1","764","4.7","Total, all industries","54019","WV"
Gilmer County,"2019","First Quarter(p)","162","1831","-3.7","730","-0.5","Total, all industries","54021","WV"
Grant County,"2019","First Quarter(p)","298","3327","1.5","783","-1.3","Total, all industries","54023","WV"
Greenbrier County,"2019","First Quarter(p)","1158","12873","-0.2","708","2.0","Total, all industries","54025","WV"
Hampshire County,"2019","First Quarter(p)","451","3755","1.7","642","2.9","Total, all industries","54027","WV"
Hancock County,"2019","First Quarter(p)","653","9561","2.3","782","2.8","Total, all industries","54029","WV"
Hardy County,"2019","First Quarter(p)","343","5826","-2.3","663","3.9","Total, all industries","54031","WV"
Harrison County,"2019","First Quarter(p)","2113","36975","1.0","1011","2.3","Total, all industries","54033","WV"
Jackson County,"2019","First Quarter(p)","634","8686","-8.0","908","7.2","Total, all industries","54035","WV"
Jefferson County,"2019","First Quarter(p)","1166","15783","2.5","925","2.3","Total, all industries","54037","WV"
Kanawha County,"2019","First Quarter(p)","5701","96198","-2.1","957","2.7","Total, all industries","54039","WV"
Lewis County,"2019","First Quarter(p)","472","6282","8.1","1017","18.9","Total, all industries","54041","WV"
Lincoln County,"2019","First Quarter(p)","261","2302","-1.7","673","1.4","Total, all industries","54043","WV"
Logan County,"2019","First Quarter(p)","848","10298","4.5","859","5.0","Total, all industries","54045","WV"
McDowell County,"2019","First Quarter(p)","371","4335","-2.1","819","-1.9","Total, all industries","54047","WV"
Marion County,"2019","First Quarter(p)","1360","17880","0.9","869","3.0","Total, all industries","54049","WV"
Marshall County,"2019","First Quarter(p)","569","11091","-4.5","1238","0.7","Total, all industries","54051","WV"
Mason County,"2019","First Quarter(p)","422","5497","0.5","963","10.7","Total, all industries","54053","WV"
Mercer County,"2019","First Quarter(p)","1398","18725","-1.7","728","4.1","Total, all industries","54055","WV"
Mineral County,"2019","First Quarter(p)","528","7930","1.4","854","5.7","Total, all industries","54057","WV"
Mingo County,"2019","First Quarter(p)","533","5160","-2.3","849","-2.1","Total, all industries","54059","WV"
Monongalia County,"2019","First Quarter(p)","2744","56371","-0.5","1077","2.4","Total, all industries","54061","WV"
Monroe County,"2019","First Quarter(p)","237","1887","-2.2","766","0.8","Total, all industries","54063","WV"
Morgan County,"2019","First Quarter(p)","265","2831","2.3","659","-1.1","Total, all industries","54065","WV"
Nicholas County,"2019","First Quarter(p)","712","7273","0.3","719","4.4","Total, all industries","54067","WV"
Ohio County,"2019","First Quarter(p)","1533","28762","0.8","827","1.1","Total, all industries","54069","WV"
Pendleton County,"2019","First Quarter(p)","192","1486","6.0","589","-2.2","Total, all industries","54071","WV"
Pleasants County,"2019","First Quarter(p)","170","2855","5.2","1076","8.7","Total, all industries","54073","WV"
Pocahontas County,"2019","First Quarter(p)","279","3444","-0.8","596","3.3","Total, all industries","54075","WV"
Preston County,"2019","First Quarter(p)","688","7220","0.1","764","2.7","Total, all industries","54077","WV"
Putnam County,"2019","First Quarter(p)","1492","20088","-1.5","1002","5.1","Total, all industries","54079","WV"
Raleigh County,"2019","First Quarter(p)","2218","32208","3.5","799","2.7","Total, all industries","54081","WV"
Randolph County,"2019","First Quarter(p)","863","11024","-1.0","687","3.8","Total, all industries","54083","WV"
Ritchie County,"2019","First Quarter(p)","244","3112","-2.8","810","5.5","Total, all industries","54085","WV"
Roane County,"2019","First Quarter(p)","292","2874","-1.6","727","5.4","Total, all industries","54087","WV"
Summers County,"2019","First Quarter(p)","201","2061","3.6","644","3.7","Total, all industries","54089","WV"
Taylor County,"2019","First Quarter(p)","276","3113","-1.9","926","7.2","Total, all industries","54091","WV"
Tucker County,"2019","First Quarter(p)","212","2580","-5.8","647","-0.2","Total, all industries","54093","WV"
Tyler County,"2019","First Quarter(p)","153","2103","1.2","883","4.0","Total, all industries","54095","WV"
Upshur County,"2019","First Quarter(p)","692","7370","0.6","759","3.8","Total, all industries","54097","WV"
Wayne County,"2019","First Quarter(p)","577","8236","1.1","843","2.3","Total, all industries","54099","WV"
Webster County,"2019","First Quarter(p)","213","1639","-2.2","662","1.7","Total, all industries","54101","WV"
Wetzel County,"2019","First Quarter(p)","412","4451","1.0","682","7.4","Total, all industries","54103","WV"
Wirt County,"2019","First Quarter(p)","89","551","-0.4","589","7.3","Total, all industries","54105","WV"
Wood County,"2019","First Quarter(p)","2301","34805","-0.2","823","1.4","Total, all industries","54107","WV"
Wyoming County,"2019","First Quarter(p)","403","4121","-4.6","796","-4.8","Total, all industries","54109","WV"
 
