"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Albany County,"2019","First Quarter(p)","1340","15439","0.9","775","2.1","Total, all industries","56001","WY"
Big Horn County,"2019","First Quarter(p)","466","3863","0.3","778","1.2","Total, all industries","56003","WY"
Campbell County,"2019","First Quarter(p)","1870","24751","1.2","1143","1.9","Total, all industries","56005","WY"
Carbon County,"2019","First Quarter(p)","673","6651","4.3","1034","1.3","Total, all industries","56007","WY"
Converse County,"2019","First Quarter(p)","592","6745","20.3","1036","5.4","Total, all industries","56009","WY"
Crook County,"2019","First Quarter(p)","307","2338","0.9","811","1.2","Total, all industries","56011","WY"
Fremont County,"2019","First Quarter(p)","1740","14820","-0.8","794","1.4","Total, all industries","56013","WY"
Goshen County,"2019","First Quarter(p)","452","4169","-4.1","726","3.0","Total, all industries","56015","WY"
Hot Springs County,"2019","First Quarter(p)","252","1838","-1.3","718","4.8","Total, all industries","56017","WY"
Johnson County,"2019","First Quarter(p)","495","3061","1.2","737","-7.9","Total, all industries","56019","WY"
Laramie County,"2019","First Quarter(p)","3762","45939","1.8","915","2.9","Total, all industries","56021","WY"
Lincoln County,"2019","First Quarter(p)","912","6271","3.1","913","4.9","Total, all industries","56023","WY"
Natrona County,"2019","First Quarter(p)","3540","38416","1.5","979","4.8","Total, all industries","56025","WY"
Niobrara County,"2019","First Quarter(p)","134","846","-3.1","699","3.4","Total, all industries","56027","WY"
Park County,"2019","First Quarter(p)","1575","12332","-0.6","810","3.6","Total, all industries","56029","WY"
Platte County,"2019","First Quarter(p)","409","3698","8.2","979","18.8","Total, all industries","56031","WY"
Sheridan County,"2019","First Quarter(p)","1433","13238","1.8","812","4.5","Total, all industries","56033","WY"
Sublette County,"2019","First Quarter(p)","532","3839","-4.6","1135","-2.2","Total, all industries","56035","WY"
Sweetwater County,"2019","First Quarter(p)","1634","22271","0.8","1158","2.4","Total, all industries","56037","WY"
Teton County,"2019","First Quarter(p)","2462","20058","2.5","1016","8.7","Total, all industries","56039","WY"
Uinta County,"2019","First Quarter(p)","773","8227","1.7","805","3.9","Total, all industries","56041","WY"
Washakie County,"2019","First Quarter(p)","448","3402","-3.8","812","5.7","Total, all industries","56043","WY"
Weston County,"2019","First Quarter(p)","274","2228","1.2","788","5.1","Total, all industries","56045","WY"
 
